ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"1",769221,0,0.322,0.6744,0.0037,605557,0.7216,0.2784,0.0669,0.1354,0.0424,0.0318,0.0038,
"2",769221,0,0.4718,0.5258,0.0025,619356,0.6548,0.3452,0.0642,0.2309,0.0278,0.0234,0.0018,
"3",769221,0,0.454,0.5426,0.0034,624295,0.6773,0.3227,0.1064,0.1588,0.0389,0.0195,0.0016,
"4",769221,0,0.4624,0.5345,0.0031,590934,0.5533,0.4467,0.0782,0.3166,0.0358,0.0216,0.0027,
"5",769221,0,0.4001,0.5972,0.0027,606741,0.6749,0.3251,0.1086,0.128,0.0704,0.0183,0.0027,
"6",769221,0,0.3946,0.6025,0.0029,634516,0.7476,0.2524,0.0978,0.1122,0.0206,0.0206,0.0016,
"7",769221,0,0.4781,0.519,0.0029,616306,0.6459,0.3541,0.1897,0.1053,0.0472,0.0195,0.002,
"8",769220,0,0.456,0.5403,0.0036,627948,0.6849,0.3151,0.1424,0.1088,0.0455,0.0208,0.0025,
"9",769221,0,0.4693,0.5274,0.0033,606265,0.4916,0.5084,0.3639,0.1067,0.0352,0.0184,0.0021,
"10",769221,0,0.6701,0.327,0.0029,605765,0.3583,0.6417,0.3041,0.2784,0.0528,0.018,0.0028,
"11",769221,0,0.4326,0.566,0.0014,622027,0.6182,0.3818,0.1982,0.1076,0.0529,0.017,0.0023,
"12",769221,0,0.4898,0.5062,0.004,611856,0.5889,0.4111,0.2481,0.107,0.0466,0.019,0.0018,
"13",769221,0,0.4833,0.5125,0.0042,643737,0.7687,0.2313,0.1028,0.0643,0.0435,0.0186,0.0018,
"14",769221,0,0.4814,0.5153,0.0033,595835,0.5517,0.4483,0.2602,0.134,0.0467,0.0207,0.0023,
"15",769221,0,0.4685,0.5271,0.0044,619782,0.6391,0.3609,0.1495,0.1505,0.0471,0.0194,0.0018,
"16",769221,0,0.4882,0.5083,0.0035,635485,0.7067,0.2933,0.1291,0.1198,0.027,0.0162,0.0014,
"17",769221,0,0.4409,0.5562,0.0028,655953,0.7812,0.2188,0.11,0.0694,0.0209,0.0152,0.0011,
"18",769221,0,0.4504,0.5459,0.0037,599646,0.5625,0.4375,0.2492,0.1531,0.0255,0.0215,0.0019,
"19",769221,0,0.3747,0.6221,0.0031,645329,0.726,0.274,0.1892,0.0507,0.0211,0.0124,0.0011,
"20",769221,0,0.7771,0.2207,0.0022,613033,0.3012,0.6988,0.2326,0.4208,0.0368,0.0114,0.0019,
"21",769221,0,0.4709,0.5258,0.0033,627454,0.6752,0.3248,0.1507,0.1311,0.0284,0.0154,0.0017,
"22",769221,0,0.5344,0.4635,0.0021,595366,0.4896,0.5104,0.3099,0.1357,0.0492,0.013,0.0016,
"23",769221,0,0.6575,0.34,0.0025,620743,0.4758,0.5242,0.259,0.2314,0.0297,0.0164,0.0017,
"24",769221,0,0.8502,0.1474,0.0025,605907,0.116,0.884,0.4092,0.4772,0.0214,0.0111,0.0015,
"25",769221,0,0.5613,0.4366,0.0021,648772,0.5899,0.4101,0.2774,0.0742,0.032,0.0098,0.0013,
"26",769221,0,0.5559,0.4421,0.002,615491,0.1254,0.8746,0.7427,0.1066,0.0388,0.0076,0.001,
"27",769221,0,0.5447,0.4531,0.0021,636033,0.1679,0.8321,0.7428,0.0706,0.0262,0.0086,0.0009,
"28",769221,0,0.5326,0.465,0.0024,609100,0.1532,0.8468,0.7325,0.1033,0.0223,0.0114,0.001,
