ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"1",769221,0,0.3064,0.6926,0.001,605557,0.7216,0.2784,0.0669,0.1354,0.0424,0.0318,0.0038,
"2",769221,0,0.4257,0.5735,0.0008,619356,0.6548,0.3452,0.0642,0.2309,0.0278,0.0234,0.0018,
"3",769221,0,0.43,0.5692,0.0008,624295,0.6773,0.3227,0.1064,0.1588,0.0389,0.0195,0.0016,
"4",769221,0,0.449,0.55,0.001,590934,0.5533,0.4467,0.0782,0.3166,0.0358,0.0216,0.0027,
"5",769221,0,0.3791,0.62,0.0009,606741,0.6749,0.3251,0.1086,0.128,0.0704,0.0183,0.0027,
"6",769221,0,0.381,0.6182,0.0008,634516,0.7476,0.2524,0.0978,0.1122,0.0206,0.0206,0.0016,
"7",769221,0,0.4555,0.543,0.0015,616306,0.6459,0.3541,0.1897,0.1053,0.0472,0.0195,0.002,
"8",769220,0,0.4302,0.5687,0.0011,627948,0.6849,0.3151,0.1424,0.1088,0.0455,0.0208,0.0025,
"9",769221,0,0.465,0.5338,0.0012,606265,0.4916,0.5084,0.3639,0.1067,0.0352,0.0184,0.0021,
"10",769221,0,0.6537,0.3448,0.0015,605765,0.3583,0.6417,0.3041,0.2784,0.0528,0.018,0.0028,
"11",769221,0,0.4204,0.5791,0.0005,622027,0.6182,0.3818,0.1982,0.1076,0.0529,0.017,0.0023,
"12",769221,0,0.4684,0.5304,0.0012,611856,0.5889,0.4111,0.2481,0.107,0.0466,0.019,0.0018,
"13",769221,0,0.4541,0.5444,0.0014,643737,0.7687,0.2313,0.1028,0.0643,0.0435,0.0186,0.0018,
"14",769221,0,0.4634,0.5355,0.0011,595835,0.5517,0.4483,0.2602,0.134,0.0467,0.0207,0.0023,
"15",769221,0,0.4518,0.547,0.0012,619782,0.6391,0.3609,0.1495,0.1505,0.0471,0.0194,0.0018,
"16",769221,0,0.4656,0.5334,0.001,635485,0.7067,0.2933,0.1291,0.1198,0.027,0.0162,0.0014,
"17",769221,0,0.4224,0.577,0.0006,655953,0.7812,0.2188,0.11,0.0694,0.0209,0.0152,0.0011,
"18",769221,0,0.4417,0.5573,0.001,599646,0.5625,0.4375,0.2492,0.1531,0.0255,0.0215,0.0019,
"19",769221,0,0.3629,0.6364,0.0007,645329,0.726,0.274,0.1892,0.0507,0.0211,0.0124,0.0011,
"20",769221,0,0.7717,0.2274,0.0009,613033,0.3012,0.6988,0.2326,0.4208,0.0368,0.0114,0.0019,
"21",769221,0,0.4555,0.5434,0.001,627454,0.6752,0.3248,0.1507,0.1311,0.0284,0.0154,0.0017,
"22",769221,0,0.526,0.4732,0.0008,595366,0.4896,0.5104,0.3099,0.1357,0.0492,0.013,0.0016,
"23",769221,0,0.659,0.3398,0.0012,620743,0.4758,0.5242,0.259,0.2314,0.0297,0.0164,0.0017,
"24",769221,0,0.8483,0.1497,0.0019,605907,0.116,0.884,0.4092,0.4772,0.0214,0.0111,0.0015,
"25",769221,0,0.554,0.4448,0.0012,648772,0.5899,0.4101,0.2774,0.0742,0.032,0.0098,0.0013,
"26",769221,0,0.5482,0.4505,0.0013,615491,0.1254,0.8746,0.7427,0.1066,0.0388,0.0076,0.001,
"27",769221,0,0.5258,0.4728,0.0014,636033,0.1679,0.8321,0.7428,0.0706,0.0262,0.0086,0.0009,
"28",769221,0,0.5175,0.4809,0.0016,609100,0.1532,0.8468,0.7325,0.1033,0.0223,0.0114,0.001,
