ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",769364,0,0.7735,0.1944,0.0321,609403,0.4426,0.5574,0.0399,0.4539,0.0474,0.0178,0.0011,
"2",769364,0,0.4735,0.5033,0.0231,598975,0.8602,0.1398,0.0266,0.0367,0.0509,0.0184,0.0009,
"3",769364,0,0.3862,0.5894,0.0244,601259,0.8625,0.1375,0.0278,0.0525,0.0247,0.0247,0.0014,
"4",769364,0,0.3076,0.6663,0.0261,589494,0.8517,0.1483,0.0403,0.0501,0.0164,0.0331,0.0031,
"5",769364,0,0.6182,0.3514,0.0305,597387,0.6188,0.3812,0.095,0.2245,0.0316,0.0314,0.0044,
"6",769364,0,0.3224,0.6536,0.0241,588295,0.8781,0.1219,0.0317,0.0419,0.0145,0.0262,0.0027,
"7",769365,0,0.291,0.6839,0.0252,594947,0.8502,0.1498,0.0496,0.0264,0.0191,0.0456,0.0045,
"8",769364,0,0.2444,0.7319,0.0237,595852,0.8828,0.1172,0.0194,0.0471,0.0114,0.0305,0.001,
"",769364,0,0.4184,0.5557,0.0259,596952,0.7797,0.2203,0.0413,0.1177,0.0271,0.0284,0.0024,
