ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",65227,0.0183,0.6326,0.2921,0.0754,50411,0.7137,0.2863,0.0679,0.1644,0.0351,0.0173,0.0009,
"2",65669,0.0252,0.5434,0.3859,0.0707,52020,0.8092,0.1908,0.0395,0.1024,0.0305,0.0131,0.0011,
"3",65250,0.0187,0.4714,0.4689,0.0597,52188,0.9012,0.0988,0.0212,0.0242,0.0358,0.0111,0.0003,
"4",64282,0.0036,0.3628,0.5516,0.0856,50576,0.9362,0.0638,0.0131,0.0142,0.0056,0.0185,0.0004,
"5",65035,0.0153,0.3263,0.6154,0.0583,51358,0.8709,0.1291,0.0608,0.0351,0.0204,0.0115,0.0016,
"6",64059,0.0001,0.3354,0.5958,0.0688,52727,0.9149,0.0851,0.0141,0.0409,0.0065,0.0148,0.0006,
"7",65917,0.0291,0.4693,0.4691,0.0616,52754,0.8683,0.1317,0.0121,0.0867,0.0096,0.015,0.0012,
"8",65051,0.0156,0.3408,0.6019,0.0574,52663,0.948,0.052,0.0104,0.0073,0.0072,0.0129,0.0004,
"9",63610,-0.0069,0.453,0.4931,0.054,50705,0.893,0.107,0.0168,0.06,0.0065,0.015,0.0006,
"10",61532,-0.0394,0.9066,0.0676,0.0258,50821,0.2935,0.7065,0.0453,0.5558,0.1066,0.0128,0.0016,
"11",64833,0.0122,0.3587,0.5759,0.0654,52255,0.9418,0.0582,0.0132,0.0161,0.0067,0.0145,0.0008,
"12",64712,0.0103,0.3562,0.5966,0.0472,50194,0.9102,0.0898,0.0207,0.0179,0.0345,0.0087,0.0007,
"13",64075,0.0003,0.3829,0.5442,0.0728,48368,0.7814,0.2186,0.1253,0.0567,0.0185,0.0169,0.0008,
"14",66854,0.0437,0.459,0.4836,0.0574,54166,0.8982,0.1018,0.0145,0.0548,0.0071,0.0174,0.001,
"15",66277,0.0347,0.4418,0.5034,0.0547,53765,0.9302,0.0698,0.0142,0.0218,0.0062,0.0153,0.0009,
"16",64976,0.0144,0.5746,0.3678,0.0575,52307,0.8306,0.1694,0.0224,0.1131,0.0102,0.0172,0.0007,
"17",65933,0.0294,0.2918,0.64,0.0682,54838,0.9286,0.0714,0.0115,0.0243,0.011,0.015,0.0008,
"18",63773,-0.0044,0.5197,0.4504,0.0299,51469,0.6676,0.3324,0.0882,0.0876,0.1444,0.0134,0.0011,
"19",61450,-0.0406,0.8156,0.1346,0.0498,50588,0.5109,0.4891,0.0361,0.4011,0.0411,0.0159,0.0014,
"20",61715,-0.0365,0.5893,0.3481,0.0625,50958,0.8459,0.1541,0.0206,0.0809,0.0342,0.013,0.0009,
"21",62076,-0.0309,0.6311,0.3029,0.066,53158,0.8877,0.1123,0.021,0.0496,0.0264,0.01,0.0007,
"22",62468,-0.0247,0.6991,0.2477,0.0531,45620,0.3288,0.6712,0.5334,0.1607,0.0192,0.0217,0.0026,
"23",61580,-0.0386,0.7623,0.179,0.0587,54574,0.7291,0.2709,0.0376,0.0573,0.1618,0.0061,0.0009,
"24",61444,-0.0407,0.852,0.0934,0.0545,52319,0.4803,0.5197,0.0337,0.3827,0.0921,0.0125,0.001,
"25",64844,0.0124,0.5895,0.3665,0.0441,52845,0.7678,0.2322,0.02,0.1557,0.0408,0.0134,0.0009,
"26",64162,0.0017,0.4294,0.4847,0.086,50609,0.8501,0.1499,0.0527,0.0444,0.0292,0.0133,0.0013,
"27",61874,-0.034,0.6404,0.3041,0.0555,51478,0.7971,0.2029,0.0221,0.0944,0.0719,0.0122,0.0009,
"28",63153,-0.014,0.4306,0.5249,0.0445,48252,0.8994,0.1006,0.0185,0.0119,0.0542,0.0078,0.0003,
"29",65554,0.0234,0.4689,0.4992,0.0319,53144,0.8903,0.1097,0.0338,0.0205,0.0406,0.007,0.0006,
"30",63488,-0.0088,0.4775,0.4773,0.0451,49555,0.868,0.132,0.0169,0.0234,0.0758,0.0077,0.0011,
"31",66821,0.0432,0.48,0.4913,0.0287,53080,0.8504,0.1496,0.0281,0.021,0.0856,0.0071,0.0006,
"32",64205,0.0024,0.6634,0.2935,0.043,52262,0.682,0.318,0.0175,0.2746,0.0124,0.0134,0.0007,
"33",61859,-0.0342,0.5576,0.3909,0.0515,49734,0.8878,0.1122,0.0172,0.0381,0.0368,0.0123,0.0008,
"34",61582,-0.0386,0.7954,0.1546,0.0499,50504,0.5594,0.4406,0.0251,0.3795,0.0262,0.0159,0.0013,
"35",64711,0.0103,0.6922,0.2615,0.0463,51758,0.6945,0.3055,0.0221,0.2589,0.0087,0.017,0.001,
"36",61727,-0.0363,0.6776,0.2555,0.0669,51175,0.7865,0.2135,0.0388,0.1174,0.0433,0.015,0.0009,
"37",66593,0.0397,0.2981,0.6402,0.0617,52287,0.9183,0.0817,0.0352,0.0172,0.0171,0.0085,0.0007,
"38",64487,0.0068,0.6236,0.3308,0.0456,52405,0.831,0.169,0.0145,0.0707,0.0679,0.0104,0.0009,
"39",65835,0.0278,0.5125,0.4445,0.043,53195,0.9181,0.0819,0.013,0.0295,0.0206,0.0113,0.0009,
"40",66305,0.0352,0.446,0.5167,0.0373,52029,0.9152,0.0848,0.0174,0.014,0.0383,0.0082,0.0007,
"41",64434,0.006,0.4235,0.5124,0.0641,50343,0.8045,0.1955,0.099,0.051,0.0395,0.0112,0.0006,
"42",63959,-0.0015,0.5889,0.3607,0.0504,50301,0.8768,0.1232,0.0266,0.0252,0.0567,0.0087,0.0007,
"43",64434,0.006,0.2872,0.6498,0.0629,48259,0.8847,0.1153,0.0573,0.0234,0.024,0.0107,0.0011,
"44",66419,0.0369,0.4769,0.4743,0.0488,52489,0.8664,0.1336,0.0287,0.0475,0.0376,0.0108,0.0008,
"45",65880,0.0285,0.5905,0.361,0.0484,53915,0.8228,0.1772,0.0233,0.1025,0.035,0.013,0.0008,
"46",66666,0.0408,0.4876,0.4654,0.047,52409,0.8881,0.1119,0.0165,0.0364,0.0413,0.0107,0.0009,
"47",64984,0.0145,0.4386,0.5104,0.051,50675,0.8272,0.1728,0.0622,0.0701,0.0267,0.0156,0.0008,
"48",65851,0.0281,0.4734,0.4768,0.0499,53599,0.8876,0.1124,0.0172,0.0624,0.0106,0.0151,0.001,
"49",62983,-0.0167,0.6574,0.2782,0.0644,48031,0.4674,0.5326,0.343,0.1683,0.0437,0.0197,0.0022,
"50",66562,0.0392,0.4888,0.4503,0.061,55021,0.9076,0.0924,0.0141,0.0439,0.0076,0.017,0.0011,
"51",65033,0.0153,0.4933,0.4601,0.0467,52483,0.9004,0.0996,0.011,0.0542,0.0056,0.0165,0.002,
"52",63125,-0.0145,0.4556,0.4967,0.0477,52225,0.9172,0.0828,0.0092,0.0459,0.0034,0.0148,0.0007,
"53",64733,0.0106,0.4917,0.4801,0.0282,51362,0.6996,0.3004,0.0667,0.0619,0.1588,0.0121,0.0014,
"54",63471,-0.0091,0.6609,0.3175,0.0215,48671,0.5372,0.4628,0.1814,0.227,0.0511,0.021,0.0018,
"55",66435,0.0372,0.4369,0.5164,0.0467,54193,0.8946,0.1054,0.0127,0.0505,0.0228,0.0112,0.0008,
"56",64562,0.008,0.4219,0.5287,0.0493,51743,0.9362,0.0638,0.0118,0.023,0.0102,0.0108,0.0005,
"57",66577,0.0394,0.4321,0.5117,0.0562,55373,0.9219,0.0781,0.0143,0.0324,0.0127,0.012,0.0007,
"58",64556,0.0079,0.458,0.4854,0.0566,52117,0.927,0.073,0.0115,0.0321,0.0078,0.0108,0.0003,
"59",66601,0.0398,0.4016,0.5426,0.0557,55022,0.952,0.048,0.0098,0.0114,0.006,0.0118,0.0004,
"60",64259,0.0032,0.4276,0.5153,0.057,52158,0.9479,0.0521,0.0065,0.0179,0.0041,0.0138,0.0005,
"61",63924,-0.002,0.4955,0.4853,0.0192,51626,0.7805,0.2195,0.0291,0.0589,0.119,0.0072,0.0007,
"62",64920,0.0135,0.424,0.502,0.074,54466,0.8999,0.1001,0.0192,0.0458,0.0153,0.0125,0.0007,
"63",65048,0.0155,0.3175,0.6223,0.0602,52156,0.9515,0.0485,0.0081,0.0138,0.0057,0.0134,0.0007,
"64",62365,-0.0263,0.3178,0.6141,0.0681,49002,0.9458,0.0542,0.0086,0.0112,0.0052,0.0178,0.0006,
"65",61937,-0.033,0.2956,0.6262,0.0783,51773,0.9185,0.0815,0.0139,0.0347,0.0054,0.0159,0.0007,
"66",62378,-0.0261,0.2783,0.6628,0.0588,48506,0.9593,0.0407,0.0071,0.0049,0.0036,0.0147,0.0006,
"67",61546,-0.0391,0.2303,0.7071,0.0626,49212,0.9299,0.0701,0.0133,0.0208,0.0073,0.017,0.0008,
"68",63772,-0.0044,0.2181,0.7153,0.0666,50456,0.945,0.055,0.0119,0.0096,0.0058,0.0195,0.0007,
"69",63457,-0.0093,0.2951,0.656,0.0489,53964,0.9305,0.0695,0.0127,0.0348,0.0043,0.0108,0.0006,
"70",65364,0.0205,0.4793,0.498,0.0227,54408,0.761,0.239,0.0449,0.111,0.0708,0.0093,0.0008,
"71",62849,-0.0188,0.4086,0.5285,0.0629,51656,0.9336,0.0664,0.0133,0.0237,0.0093,0.0115,0.0006,
"72",64105,0.0008,0.4898,0.4481,0.0621,51307,0.8894,0.1106,0.0172,0.0691,0.0071,0.0132,0.0007,
"73",61454,-0.0406,0.3615,0.5772,0.0613,51918,0.9061,0.0939,0.0357,0.0351,0.0052,0.0128,0.0003,
"74",64829,0.0121,0.4975,0.434,0.0686,48711,0.686,0.314,0.0907,0.191,0.0194,0.0189,0.001,
"75",63767,-0.0045,0.3526,0.5867,0.0607,51415,0.9504,0.0496,0.0144,0.0055,0.0076,0.013,0.0007,
"76",62712,-0.0209,0.3549,0.5817,0.0634,49529,0.9248,0.0752,0.0208,0.0215,0.0142,0.0138,0.0009,
"77",61876,-0.034,0.5092,0.4118,0.079,52470,0.7572,0.2428,0.0386,0.0391,0.1501,0.0107,0.0012,
