ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"1",65227,0.0183,0.5903,0.3415,0.0682,50411,0.7137,0.2863,0.0679,0.1644,0.0351,0.0173,0.0009,
"2",65660,0.0251,0.499,0.4438,0.0572,51739,0.8036,0.1964,0.0394,0.1008,0.0364,0.0132,0.0009,
"3",66287,0.0349,0.4319,0.5175,0.0505,52912,0.9135,0.0865,0.0195,0.0203,0.0274,0.0122,0.0004,
"4",65611,0.0243,0.3556,0.5892,0.0552,51944,0.9301,0.0699,0.0147,0.0197,0.0078,0.0174,0.0005,
"5",64650,0.0093,0.3001,0.6529,0.0469,50581,0.8851,0.1149,0.0588,0.0257,0.0151,0.0128,0.0012,
"6",61702,-0.0367,0.2986,0.6527,0.0487,50916,0.913,0.087,0.0144,0.0422,0.0066,0.0147,0.0006,
"7",66477,0.0378,0.4092,0.5458,0.045,53353,0.8696,0.1304,0.0116,0.0856,0.0096,0.015,0.0012,
"8",64717,0.0104,0.2794,0.6758,0.0447,52658,0.946,0.054,0.0105,0.0079,0.0077,0.0133,0.0003,
"9",62422,-0.0255,0.9066,0.064,0.0294,51480,0.2881,0.7119,0.0459,0.5642,0.1036,0.0121,0.0014,
"10",63610,-0.0069,0.3659,0.5886,0.0455,50705,0.893,0.107,0.0168,0.06,0.0065,0.015,0.0006,
"11",65999,0.0304,0.2887,0.6647,0.0466,53253,0.9417,0.0583,0.0134,0.0159,0.0068,0.0141,0.0008,
"12",62962,-0.017,0.3386,0.6261,0.0354,48460,0.9112,0.0888,0.0207,0.0177,0.0348,0.0084,0.0007,
"13",64075,0.0003,0.4237,0.5357,0.0406,48368,0.7814,0.2186,0.1253,0.0567,0.0185,0.0169,0.0008,
"14",66108,0.0321,0.3533,0.5977,0.049,53546,0.8988,0.1012,0.0145,0.0546,0.0069,0.0174,0.001,
"15",65744,0.0264,0.3141,0.6379,0.048,53213,0.9306,0.0694,0.014,0.0216,0.0061,0.0157,0.0008,
"16",65722,0.0261,0.4652,0.4838,0.051,52927,0.8308,0.1692,0.0223,0.1126,0.0104,0.0172,0.0007,
"17",66291,0.0349,0.2365,0.7171,0.0464,54980,0.9284,0.0716,0.0119,0.0243,0.0109,0.0151,0.0007,
"18",63773,-0.0044,0.4898,0.4763,0.034,51469,0.6676,0.3324,0.0882,0.0876,0.1444,0.0134,0.0011,
"19",65400,0.021,0.7685,0.1811,0.0503,53134,0.5303,0.4697,0.035,0.3831,0.0397,0.0165,0.0013,
"20",64405,0.0055,0.5455,0.4051,0.0494,53167,0.8373,0.1627,0.0208,0.0905,0.0334,0.013,0.0009,
"21",64010,-0.0007,0.5839,0.3663,0.0498,54727,0.8868,0.1132,0.021,0.0496,0.0273,0.0098,0.0007,
"22",62987,-0.0166,0.6816,0.2589,0.0595,45760,0.2836,0.7164,0.5681,0.1748,0.02,0.0227,0.003,
"23",61478,-0.0402,0.7766,0.1798,0.0436,54435,0.7291,0.2709,0.0375,0.0572,0.1622,0.006,0.0008,
"24",62003,-0.032,0.8594,0.0949,0.0456,52603,0.4507,0.5493,0.0336,0.414,0.0912,0.0131,0.001,
"25",65694,0.0256,0.4882,0.4718,0.0399,53633,0.8239,0.1761,0.0189,0.1001,0.0419,0.0118,0.001,
"26",63933,-0.0019,0.4018,0.5576,0.0406,49669,0.8913,0.1087,0.0367,0.034,0.0189,0.0129,0.0012,
"27",61865,-0.0342,0.5774,0.3727,0.0499,51856,0.8164,0.1836,0.024,0.0725,0.0723,0.0119,0.0009,
"28",62454,-0.025,0.4426,0.5232,0.0342,46716,0.85,0.15,0.02,0.0205,0.0924,0.0078,0.001,
"29",65458,0.0219,0.4478,0.5225,0.0297,52551,0.8592,0.1408,0.051,0.0263,0.0491,0.0095,0.0012,
"30",64187,0.0021,0.421,0.5418,0.0372,51091,0.9141,0.0859,0.0156,0.0153,0.0402,0.0077,0.0005,
"31",64739,0.0107,0.5297,0.4383,0.032,51341,0.8299,0.1701,0.0379,0.0346,0.0826,0.0085,0.0007,
"32",63055,-0.0156,0.7363,0.2192,0.0445,51614,0.5082,0.4918,0.021,0.4414,0.0178,0.0161,0.0009,
"33",61859,-0.0342,0.4828,0.4707,0.0465,49734,0.8878,0.1122,0.0172,0.0381,0.0368,0.0123,0.0008,
"34",62215,-0.0287,0.6846,0.2706,0.0447,50676,0.674,0.326,0.0228,0.2716,0.0191,0.0149,0.0011,
"35",65753,0.0265,0.5797,0.3699,0.0504,52588,0.6971,0.3029,0.022,0.2565,0.0087,0.0169,0.001,
"36",64828,0.0121,0.6098,0.3286,0.0616,53973,0.7891,0.2109,0.0381,0.1169,0.0419,0.015,0.0009,
"37",66593,0.0397,0.3065,0.6594,0.0342,52287,0.9183,0.0817,0.0352,0.0172,0.0171,0.0085,0.0007,
"38",63445,-0.0095,0.5056,0.45,0.0444,51575,0.8306,0.1694,0.0146,0.0701,0.0689,0.0104,0.0009,
"39",65697,0.0257,0.3927,0.5676,0.0397,53139,0.9123,0.0877,0.0139,0.0366,0.0181,0.0116,0.0009,
"40",65323,0.0198,0.4067,0.5573,0.036,51832,0.9208,0.0792,0.0167,0.0179,0.0287,0.0087,0.0007,
"41",64649,0.0093,0.4121,0.547,0.0409,50449,0.8146,0.1854,0.0929,0.0506,0.0355,0.0105,0.0005,
"42",65481,0.0223,0.5531,0.4105,0.0364,50591,0.8739,0.1261,0.0245,0.0214,0.0659,0.0081,0.0007,
"43",64434,0.006,0.2812,0.6763,0.0425,48259,0.8847,0.1153,0.0573,0.0234,0.024,0.0107,0.0011,
"44",66419,0.0369,0.438,0.5209,0.0412,52489,0.8664,0.1336,0.0287,0.0475,0.0376,0.0108,0.0008,
"45",61671,-0.0372,0.4945,0.4614,0.0442,50964,0.8481,0.1519,0.0235,0.0758,0.0364,0.0124,0.0009,
"46",62010,-0.0319,0.3953,0.5655,0.0392,48636,0.8879,0.1121,0.0161,0.036,0.042,0.011,0.0008,
"47",64984,0.0145,0.3529,0.6014,0.0456,50675,0.8272,0.1728,0.0622,0.0701,0.0267,0.0156,0.0008,
"48",65526,0.023,0.3685,0.5919,0.0396,53393,0.8946,0.1054,0.0162,0.0544,0.0126,0.0141,0.001,
"49",63427,-0.0098,0.3393,0.6121,0.0486,52509,0.9058,0.0942,0.0148,0.0451,0.0079,0.017,0.0011,
"50",64965,0.0142,0.406,0.5553,0.0388,52211,0.819,0.181,0.0905,0.0516,0.0315,0.0118,0.0011,
