ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",767871,0,0.2004,0.7818,0.0178,616550,0.8959,0.1041,0.0376,0.0274,0.0108,0.0246,0.0011,
"2",767871,0,0.3307,0.6534,0.0159,609512,0.843,0.157,0.0434,0.063,0.0224,0.0252,0.0011,
"3",767871,0,0.3126,0.667,0.0203,606482,0.799,0.201,0.0478,0.1044,0.0188,0.0284,0.0011,
"4",767871,0,0.3763,0.6005,0.0231,586518,0.6735,0.3265,0.1113,0.1559,0.0374,0.0246,0.0014,
"5",767871,0,0.3668,0.6111,0.0221,586652,0.6362,0.3638,0.0471,0.2787,0.0174,0.0201,0.0018,
"6",767871,0,0.3666,0.6135,0.0199,614497,0.7905,0.2095,0.0548,0.1061,0.0243,0.023,0.0012,
"7",767871,0,0.3798,0.5984,0.0218,593732,0.7491,0.2509,0.0579,0.1437,0.0249,0.0233,0.0021,
"8",767871,0,0.3785,0.6008,0.0207,590123,0.6283,0.3717,0.057,0.2657,0.0309,0.0182,0.0012,
"9",767872,0,0.3753,0.6016,0.0231,580407,0.5823,0.4177,0.056,0.3167,0.0285,0.0179,0.0011,
"",767871,0,0.3416,0.638,0.0204,598275,0.7351,0.2649,0.0568,0.1606,0.0238,0.0229,0.0013,
