ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",766987,0,0.2532,0.7157,0.0311,554356,0.6762,0.3238,0.1038,0.1955,0.0102,0.0136,0.0007,
"2",766987,0,0.3228,0.626,0.0513,507308,0.5748,0.4252,0.2219,0.1365,0.0561,0.008,0.0009,
"3",766987,0,0.3287,0.6138,0.0575,527838,0.6446,0.3554,0.1385,0.1228,0.0813,0.0105,0.0007,
"4",766987,0,0.3374,0.6129,0.0498,532677,0.681,0.319,0.0944,0.1025,0.1049,0.0138,0.0008,
"5",766987,0,0.3669,0.5974,0.0358,513874,0.5804,0.4196,0.194,0.1808,0.0292,0.0144,0.0005,
"6",766987,0,0.3359,0.619,0.0451,502889,0.5837,0.4163,0.2176,0.1473,0.0388,0.0103,0.0019,
"7",766987,0,0.6326,0.3149,0.0525,450066,0.3967,0.6033,0.2295,0.1882,0.1774,0.0051,0.0004,
"8",766987,0,0.3788,0.5812,0.04,506233,0.4928,0.5072,0.2475,0.1896,0.0589,0.0096,0.0008,
"9",766987,0,0.4682,0.4981,0.0337,428810,0.3534,0.6466,0.5013,0.12,0.0177,0.007,0.0002,
"10",766987,0,0.3668,0.5759,0.0572,569418,0.6849,0.3151,0.1614,0.0975,0.0414,0.0127,0.0009,
"11",766987,0,0.3013,0.6523,0.0465,522934,0.5518,0.4482,0.3343,0.0715,0.0314,0.0101,0.0004,
"12",766987,0,0.356,0.5934,0.0506,521574,0.6172,0.3828,0.2387,0.1,0.0316,0.0103,0.0005,
"13",766987,0,0.2265,0.7282,0.0453,546288,0.6715,0.3285,0.2164,0.0755,0.0205,0.0149,0.0007,
"14",766987,0,0.3559,0.6054,0.0387,543025,0.5712,0.4288,0.1885,0.179,0.0511,0.0084,0.0004,
"15",766987,0,0.5499,0.4141,0.036,453300,0.2171,0.7829,0.7454,0.0218,0.0101,0.0055,0.0005,
"16",766987,0,0.6818,0.2602,0.058,495815,0.1464,0.8536,0.7915,0.0394,0.0139,0.0065,0.0012,
"17",766987,0,0.3582,0.5832,0.0586,545946,0.6406,0.3594,0.1932,0.116,0.0384,0.009,0.0006,
"18",766987,0,0.8209,0.1478,0.0312,486273,0.1765,0.8235,0.2383,0.5168,0.0603,0.007,0.0005,
"19",766987,0,0.2344,0.7192,0.0464,543509,0.5758,0.4242,0.3325,0.0657,0.0133,0.0118,0.0008,
"20",766987,0,0.6734,0.2718,0.0548,517906,0.2056,0.7944,0.6534,0.1113,0.0204,0.0058,0.0013,
"21",766987,0,0.3503,0.5927,0.057,600871,0.6082,0.3918,0.3081,0.0453,0.0254,0.0091,0.001,
"22",766987,0,0.3507,0.6045,0.0448,515807,0.5054,0.4946,0.2487,0.1224,0.1154,0.0076,0.0004,
"23",766987,0,0.4393,0.5088,0.0518,505769,0.3617,0.6383,0.5494,0.0501,0.0275,0.0078,0.0007,
"24",766987,0,0.3536,0.5932,0.0533,523756,0.6931,0.3069,0.1362,0.0849,0.0719,0.0099,0.0017,
"25",766987,0,0.3819,0.58,0.0381,535113,0.5586,0.4414,0.1994,0.2038,0.0253,0.0103,0.0009,
"26",766987,0,0.3248,0.6237,0.0514,551014,0.6527,0.3473,0.1499,0.1107,0.0733,0.0113,0.0008,
"27",766987,0,0.3613,0.5937,0.045,539525,0.5295,0.4705,0.3667,0.0773,0.0157,0.0094,0.0005,
"28",766987,0,0.6645,0.3006,0.0349,410884,0.1146,0.8854,0.8672,0.0077,0.0068,0.0038,0.0003,
"29",766987,0,0.7235,0.2403,0.0362,417865,0.1772,0.8228,0.4344,0.3362,0.0445,0.0065,0.0012,
"30",766987,0,0.7672,0.2054,0.0273,477398,0.1848,0.8152,0.2492,0.5164,0.0408,0.0088,0.0007,
"31",766987,0,0.3376,0.6019,0.0605,567298,0.6027,0.3973,0.193,0.1489,0.0349,0.0122,0.0037,
"32",766987,0,0.3905,0.5648,0.0447,518800,0.5871,0.4129,0.1602,0.1576,0.0813,0.011,0.0007,
"33",766987,0,0.6951,0.2614,0.0435,427046,0.3541,0.6459,0.3836,0.2028,0.0489,0.0087,0.0001,
"34",766987,0,0.5417,0.4157,0.0426,494296,0.2408,0.7592,0.7193,0.0216,0.0129,0.005,0.0003,
"35",766987,0,0.4498,0.5,0.0502,539236,0.3729,0.6271,0.5158,0.0806,0.02,0.0076,0.0013,
"36",766987,0,0.3823,0.5818,0.0359,520464,0.5408,0.4592,0.1953,0.1889,0.0629,0.0114,0.0004,
"37",766987,0,0.7473,0.1803,0.0725,554334,0.5395,0.4605,0.2858,0.1005,0.0605,0.0091,0.0005,
"38",766986,0,0.3443,0.6069,0.0488,500608,0.5673,0.4327,0.2049,0.1188,0.0992,0.0067,0.0003,
"",766987,0,0.4317,0.5215,0.0468,512372,0.4906,0.5094,0.3127,0.1387,0.0465,0.0094,0.0008,
