ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"1",766987,0,0.2476,0.7305,0.0219,553620,0.6812,0.3188,0.1031,0.1899,0.0101,0.0149,0.0007,
"2",766987,0,0.3274,0.6453,0.0272,498837,0.586,0.414,0.2264,0.1357,0.0409,0.0081,0.0012,
"3",766987,0,0.36,0.6097,0.0303,539079,0.6486,0.3514,0.1261,0.1115,0.1019,0.0093,0.0008,
"4",766987,0,0.3187,0.6531,0.0282,539055,0.7007,0.2993,0.1058,0.1014,0.0744,0.0144,0.0007,
"5",766987,0,0.3564,0.6132,0.0304,516684,0.5846,0.4154,0.1917,0.1647,0.0454,0.0124,0.0004,
"6",766987,0,0.3375,0.6291,0.0334,493723,0.5679,0.4321,0.2293,0.1597,0.0314,0.0122,0.0009,
"7",766987,0,0.5942,0.3766,0.0293,468551,0.3663,0.6337,0.2118,0.2233,0.1895,0.0061,0.0003,
"8",766987,0,0.3315,0.6433,0.0252,518854,0.56,0.44,0.2357,0.135,0.0568,0.0102,0.0009,
"9",766987,0,0.7514,0.222,0.0266,445324,0.1788,0.8212,0.2574,0.4601,0.0965,0.0064,0.0003,
"10",766987,0,0.3485,0.6165,0.035,554216,0.6498,0.3502,0.1828,0.1136,0.0405,0.0107,0.0009,
"11",766987,0,0.2662,0.7024,0.0314,522021,0.5132,0.4868,0.3312,0.1227,0.019,0.0105,0.002,
"12",766987,0,0.3624,0.6018,0.0358,553562,0.6423,0.3577,0.1892,0.1207,0.0355,0.0104,0.0006,
"13",766987,0,0.2434,0.7239,0.0327,544828,0.6738,0.3262,0.2161,0.0731,0.0206,0.0153,0.0008,
"14",766987,0,0.3376,0.6338,0.0286,549510,0.5992,0.4008,0.1953,0.1697,0.0262,0.0092,0.0004,
"15",766987,0,0.5215,0.4388,0.0396,445629,0.2171,0.7829,0.7458,0.0182,0.0138,0.0046,0.0006,
"16",766986,0,0.6647,0.2711,0.0642,494456,0.1459,0.8541,0.7932,0.0385,0.0136,0.0066,0.0011,
"17",766987,0,0.3455,0.6226,0.0318,557204,0.6183,0.3817,0.1891,0.1577,0.0196,0.0137,0.0003,
"18",766987,0,0.7214,0.2498,0.0288,469487,0.233,0.767,0.3034,0.3987,0.0565,0.0072,0.0006,
"19",766987,0,0.2393,0.7286,0.032,543509,0.5758,0.4242,0.3325,0.0657,0.0133,0.0118,0.0008,
"20",766987,0,0.6411,0.3146,0.0444,520320,0.2166,0.7834,0.6787,0.0687,0.0272,0.0056,0.0009,
"21",766987,0,0.3347,0.6307,0.0346,590088,0.6551,0.3449,0.267,0.042,0.023,0.0094,0.0009,
"22",766987,0,0.3581,0.6153,0.0267,513404,0.4898,0.5102,0.2466,0.1361,0.1187,0.0071,0.0005,
"23",766987,0,0.4356,0.5233,0.0412,504161,0.3415,0.6585,0.5745,0.048,0.0243,0.0082,0.0014,
"24",766987,0,0.3497,0.6181,0.0322,522268,0.7042,0.2958,0.13,0.0833,0.0682,0.0103,0.0018,
"25",766987,0,0.3069,0.6618,0.0312,560756,0.6678,0.3322,0.1667,0.123,0.0277,0.0112,0.0017,
"26",766987,0,0.3397,0.6253,0.035,549841,0.6637,0.3363,0.1433,0.103,0.0766,0.011,0.0008,
"27",766987,0,0.3577,0.609,0.0333,549132,0.4407,0.5593,0.4864,0.0493,0.0141,0.0085,0.0004,
"28",766987,0,0.5489,0.3991,0.052,473909,0.238,0.762,0.6867,0.0562,0.0131,0.0049,0.0003,
"29",766987,0,0.7214,0.2485,0.0301,389910,0.1375,0.8625,0.6352,0.1883,0.033,0.0045,0.0006,
"30",766987,0,0.7521,0.211,0.0369,499418,0.2404,0.7596,0.244,0.4723,0.0344,0.0086,0.0001,
"31",766987,0,0.335,0.6286,0.0364,567885,0.6653,0.3347,0.1887,0.088,0.0391,0.0129,0.0022,
"32",766987,0,0.5961,0.3639,0.04,469269,0.437,0.563,0.2305,0.2432,0.0769,0.0092,0.0007,
"33",766987,0,0.739,0.2221,0.0388,394029,0.2283,0.7717,0.4397,0.2606,0.0595,0.0082,0.0009,
"34",766987,0,0.6106,0.333,0.0564,434195,0.1166,0.8834,0.8664,0.0084,0.005,0.0032,0.0004,
"35",766987,0,0.7042,0.25,0.0458,534907,0.3571,0.6429,0.4586,0.1396,0.0326,0.0086,0.0011,
"36",766987,0,0.3195,0.655,0.0256,522843,0.5909,0.4091,0.229,0.1335,0.0373,0.0088,0.0004,
"37",766987,0,0.7012,0.2557,0.0431,562374,0.6051,0.3949,0.2296,0.0766,0.0761,0.0078,0.0006,
"38",766987,0,0.3305,0.644,0.0255,503265,0.5824,0.4176,0.1977,0.1169,0.0933,0.0073,0.0004,
