GEOID20,District
120010002011000,3
120010002011001,3
120010002011002,3
120010002011003,3
120010002011004,3
120010002011005,3
120010002011006,3
120010002011007,3
120010002011008,3
120010002011009,3
120010002011010,3
120010002011011,3
120010002011012,3
120010002011013,3
120010002011014,3
120010002011015,3
120010002011016,3
120010002011017,3
120010002011018,3
120010002011019,3
120010002011020,3
120010002011021,3
120010002011022,3
120010002011023,3
120010002011024,3
120010002011025,3
120010002011026,3
120010002012000,3
120010002012001,3
120010002012002,3
120010002012003,3
120010002012004,3
120010002012005,3
120010002012006,3
120010002012007,3
120010002012008,3
120010002012009,3
120010002012010,3
120010002012011,3
120010002012012,3
120010002012013,3
120010002012014,3
120010002012015,3
120010002012016,3
120010002012017,3
120010002012018,3
120010002012019,3
120010002012020,3
120010002012021,3
120010002012022,3
120010002012023,3
120010002012024,3
120010002012025,3
120010002012026,3
120010002012027,3
120010002012028,3
120010002012029,3
120010002013000,3
120010002013001,3
120010002013002,3
120010002013003,3
120010002013004,3
120010002013005,3
120010002013006,3
120010002013007,3
120010002013008,3
120010002013009,3
120010002013010,3
120010002013011,3
120010002013014,3
120010002013016,3
120010002021000,3
120010002021001,3
120010002021002,3
120010002021003,3
120010002021004,3
120010002021007,3
120010002021008,3
120010002021009,3
120010002021010,3
120010002021011,3
120010005001002,3
120010005001003,3
120010005001004,3
120010005001005,3
120010005001010,3
120010005001011,3
120010005001012,3
120010005001013,3
120010005001014,3
120010005001019,3
120010005001020,3
120010005001021,3
120010005001049,3
120010005001050,3
120010005001051,3
120010005001052,3
120010005001053,3
120010005001054,3
120010005001055,3
120010005001061,3
120010005001062,3
120010005001063,3
120010005001064,3
120010005001065,3
120010005001078,3
120010005001079,3
120010005001080,3
120010005001081,3
120010005001082,3
120010005001083,3
120010005001084,3
120010005001085,3
120010002013012,3
120010002013013,3
120010002013015,3
120010002013017,3
120010002013018,3
120010002013019,3
120010002013020,3
120010002013021,3
120010002013022,3
120010002013023,3
120010002013024,3
120010002013025,3
120010002013026,3
120010002013027,3
120010002013028,3
120010002014000,3
120010002014001,3
120010002014002,3
120010002014003,3
120010002014004,3
120010002014005,3
120010002014006,3
120010002014007,3
120010002014008,3
120010002014009,3
120010002014010,3
120010002021005,3
120010002021006,3
120010002021012,3
120010002021027,3
120010002021028,3
120010002021029,3
120010002022000,3
120010002022001,3
120010002022002,3
120010002022003,3
120010002022004,3
120010002022005,3
120010002022006,3
120010002022007,3
120010002022008,3
120010002022009,3
120010002022010,3
120010002022011,3
120010002022012,3
120010002022013,3
120010002022014,3
120010002022015,3
120010002022016,3
120010002022017,3
120010002022018,3
120010002023000,3
120010002023001,3
120010002023002,3
120010002023003,3
120010002023004,3
120010002023005,3
120010002023006,3
120010002023007,3
120010002023008,3
120010002023009,3
120010002023010,3
120010002023011,3
120010002023012,3
120010002023013,3
120010002023014,3
120010008061000,3
120010008061001,3
120010008061002,3
120010008061003,3
120010008061004,3
120010008061005,3
120010008061006,3
120010008061007,3
120010008061008,3
120010008062002,3
120010008062003,3
120010008062004,3
120010008062005,3
120010008062006,3
120010008062007,3
120010008081000,3
120010008081001,3
120010008081002,3
120010008081003,3
120010008081004,3
120010008081005,3
120010008082000,3
120010008082001,3
120010008082002,3
120010008082003,3
120010008082004,3
120010008082005,3
120010008082006,3
120010008082007,3
120010008082008,3
120010008082009,3
120010008082010,3
120010008082011,3
120010008082012,3
120010008082013,3
120010008082014,3
120010008083000,3
120010008083001,3
120010008083002,3
120010008083003,3
120010008083006,3
120010008083007,3
120010008083008,3
120010008083009,3
120010008083010,3
120010008083011,3
120010008083012,3
120010008083014,3
120010008083015,3
120010008083016,3
120010021011012,3
120010021011013,3
120010021011014,3
120010021011121,3
120010002021013,3
120010002021014,3
120010002021015,3
120010002021016,3
120010002021017,3
120010002021018,3
120010002021019,3
120010002021020,3
120010002021021,3
120010002021022,3
120010002021023,3
120010002021024,3
120010002021025,3
120010002021026,3
120010002021030,3
120010002021031,3
120010002021032,3
120010002021033,3
120010002021034,3
120010002021035,3
120010002021036,3
120010002021037,3
120010002021038,3
120010002021039,3
120010002021040,3
120010005001030,3
120010005001031,3
120010005001032,3
