GEOID20,District
040019426001000,7
040019426001001,7
040019426001002,7
040019426001003,7
040019426001004,7
040019426001005,7
040019426001006,7
040019426001007,7
040019426001008,7
040019426001009,7
040019426001010,7
040019426001011,7
040019426001012,7
040019426001013,7
040019426001014,7
040019426001015,7
040019426001016,7
040019426001017,7
040019426001018,7
040019426001019,7
040019426001020,7
040019426001021,7
040019426001022,7
040019426001023,7
040019426001024,7
040019426001025,7
040019426001026,7
040019426001027,7
040019426001052,7
040019426001053,7
040019426001055,7
040019426001056,7
040019426001057,7
040019426001081,7
040019426001082,7
040019426001083,7
040019426001084,7
040019426001085,7
040019426001087,7
040019426001088,7
040019426001089,7
040019426001090,7
040019426001091,7
040019426001092,7
040019426001093,7
040019426001094,7
040019426001095,7
040019426001096,7
040019426001097,7
040019426001098,7
040019426001099,7
040019426001100,7
040019426001101,7
040019426001102,7
040019426001103,7
040019426001104,7
040019426001105,7
040019426001106,7
040019426001107,7
040019426001108,7
040019426001109,7
040019426001110,7
040019426001111,7
040019426001116,7
040019426001119,7
040019426001219,7
040019426001220,7
040019426001221,7
040019426002000,7
040019426002001,7
040019426002002,7
040019426002003,7
040019426002004,7
040019426002005,7
040019426002006,7
040019426002007,7
040019426002008,7
040019426002009,7
040019426002010,7
040019426002011,7
040019426002012,7
040019426002013,7
040019426002014,7
040019426002015,7
040019426002016,7
040019426002017,7
040019426002018,7
040019426002019,7
040019426002020,7
040019426002021,7
040019426002022,7
040019426002023,7
040019426002024,7
040019426002025,7
040019426002026,7
040019426002027,7
040019426002028,7
040019426002029,7
040019426002030,7
040019426002031,7
040019426002032,7
040019426002033,7
040019426002034,7
040019426002035,7
040019426002036,7
040019426002037,7
040019426002038,7
040019426002039,7
040019426002040,7
040019426002041,7
040019426002042,7
040019426002043,7
040019426002044,7
040019426002045,7
040019426002046,7
040019426002047,7
040019426002048,7
040019426002049,7
040019426002050,7
040019426002051,7
040019426002052,7
040019426001028,7
040019426001029,7
040019426001030,7
040019426001031,7
040019426001032,7
040019426001033,7
040019426001034,7
040019426001035,7
040019426001036,7
040019426001037,7
040019426001038,7
040019426001039,7
040019426001040,7
040019426001041,7
040019426001042,7
040019426001043,7
040019426001044,7
040019426001045,7
040019426001046,7
040019426001047,7
040019426001048,7
040019426001049,7
040019426001050,7
040019426001051,7
040019426001054,7
040019426001058,7
040019426001059,7
040019426001060,7
040019426001061,7
040019426001062,7
040019426001063,7
040019426001064,7
040019426001065,7
040019426001066,7
040019426001067,7
040019426001068,7
040019426001069,7
040019426001070,7
040019426001071,7
040019426001072,7
040019426001073,7
040019426001074,7
040019426001075,7
040019426001076,7
040019426001077,7
040019426001078,7
040019426001079,7
040019426001080,7
040019426001121,7
040019426001122,7
040019426001140,7
040019426001141,7
040019426001142,7
040019426001143,7
040019426001144,7
040019426001145,7
040019426001146,7
040019426001147,7
040019426001148,7
040019426001149,7
040019426001195,7
040019426001196,7
040019426001197,7
040019426001198,7
040019426001199,7
040019426001200,7
040019426001201,7
040019426001202,7
040019426001203,7
040019426001204,7
040019426001216,7
040019426001217,7
040019426001218,7
040019427002086,7
040019427002087,7
040019427002089,7
040019427002093,7
040019427002097,7
040019427002098,7
040019427002099,7
040019427002100,7
040019427002101,7
040019427002102,7
040019427002103,7
040019427002104,7
040019427002105,7
040019427002106,7
040019427002107,7
040019427002109,7
040019427002110,7
040019427002111,7
040019427002112,7
040019427002113,7
040019427002114,7
040019427002115,7
040019427002116,7
040019427002117,7
040019427002118,7
040019427002120,7
040019427002121,7
040019427002122,7
040019427002123,7
040019427002124,7
040019427002125,7
040019427002126,7
040019427002127,7
040019427002128,7
040019427002129,7
040019427002130,7
040019427002131,7
