GEOID20,District
160010001011000,19
160010001011001,19
160010001011002,19
160010001011003,19
160010001011004,19
160010001011005,19
160010001011006,19
160010001011007,19
160010001011008,19
160010001011009,19
160010001011010,19
160010001011011,19
160010001011012,19
160010001011013,19
160010001011014,19
160010001011015,19
160010001011016,19
160010001011017,19
160010001011018,19
160010001011019,19
160010001011020,19
160010001011021,19
160010001011022,19
160010001011023,19
160010001011024,19
160010001011025,19
160010001011026,19
160010001012008,19
160010001012009,19
160010001012010,19
160010001012011,19
160010001012012,19
160010001012013,19
160010001012014,19
160010001012015,19
160010001012016,19
160010001012018,19
160010001012019,19
160010001012020,19
160010001012021,19
160010001012022,19
160010001012023,19
160010001012024,19
160010001012025,19
160010001012026,19
160010001012027,19
160010001012028,19
160010001012029,19
160010001012030,19
160010001012031,19
160010001012032,19
160010001012033,19
160010001012034,19
160010001012035,19
160010001021032,19
160010001021033,19
160010001021046,19
160010001021047,19
160010001021048,19
160010001021049,19
160010001021050,19
160010001021051,19
160010001021052,19
160010001021053,19
160010001021054,19
160010001021055,19
160010001021059,19
160010001021060,19
160010001021061,19
160010001021062,19
160010001021063,19
160010001021064,19
160010001022017,19
160010001022018,19
160010001022019,19
160010001022020,19
160010001022021,19
160010001022022,19
160010001022023,19
160010001022024,19
160010001022025,19
160010001022026,19
160010001022027,19
160010001022028,19
160010001022040,19
160010001022044,19
160010001022045,19
160010001022046,19
160010001022048,19
160010001022049,19
160010001022050,19
160010001023009,19
160010001023010,19
160010001023011,19
160010001023015,19
160010001023016,19
160010001023017,19
160010001023018,19
160010001023019,19
160010001023020,19
160010001023021,19
160010001023022,19
160010001023023,19
160010001023024,19
160010001023025,19
160010001023026,19
160010001023027,19
160010001023028,19
160010001023029,19
160010001023030,19
160010001023031,19
160010001023032,19
160010001023033,19
160010001023034,19
160010001023035,19
160010001023036,19
160010001023037,19
160010001023038,19
160010001023039,19
160010001023040,19
160010001023041,19
160010001023042,19
160010001023043,19
160010001023044,19
160010001023045,19
160010001023046,19
160010001023047,19
160010001023048,19
160010001023049,19
160010001023050,19
160010001023051,19
160010001023052,19
160010001023053,19
160010001023054,19
160010001024000,19
160010001024001,19
160010001024002,19
160010001024003,19
160010001024004,19
160010001024005,19
160010001024006,19
160010001024007,19
160010001024008,19
160010001024009,19
160010001024010,19
160010001024011,19
160010001024012,19
160010001024013,19
160010001024014,19
160010001024015,19
160010001012000,19
160010001012001,19
160010001012002,19
160010001012003,19
160010001012004,19
160010001012005,19
160010001012006,19
160010001012007,19
160010001012017,19
160010001021011,19
160010001021015,19
160010001021022,19
160010001021023,19
160010001021024,19
160010001021025,19
160010001021026,19
160010001021027,19
160010001021028,19
160010001021029,19
160010001021030,19
160010001021031,19
160010001022000,19
160010001022001,19
160010001022002,19
160010001022003,19
160010001022004,19
160010001022005,19
160010001022006,19
160010001022007,19
160010001022008,19
160010001022009,19
160010001022010,19
160010001022011,19
160010001022012,19
160010001022013,19
160010001022014,19
160010001022015,19
160010001022016,19
160010001022029,19
160010001022030,19
160010001022031,19
160010001022032,19
160010001022033,19
160010001022034,19
160010001022035,19
160010001022036,19
160010001022037,19
160010001022038,19
160010001022039,19
160010001022041,19
160010001022042,19
160010001022043,19
160010001022047,19
160010004021000,19
160010004021001,19
160010004021002,19
160010004021003,19
160010004021004,19
160010004021005,19
160010004021006,19
160010004021007,19
160010004021008,19
160010004021009,19
160010004021010,19
160010004021011,19
160010004021012,19
160010004021013,19
160010004021014,19
160010004021015,19
160010004021016,19
160010004021017,19
160010004021018,19
160010004021019,19
160010004021020,19
160010004021021,19
160010004021022,19
160010004021023,19
160010004021024,19
160010004021025,19
160010004021026,19
160010004021027,19
160010004021028,19
160010004021029,19
160010004021030,19
160010004021031,19
160010004021032,19
160010004021033,19
160010004021034,19
160010004021035,19
160010004021036,19
160010004021037,19
160010004021038,19
160010004021039,19
160010004021040,19
160010004021041,19
160010004021042,19
160010004021043,19
160010004021044,19
160010004022028,19
160010004022029,19
160010004022031,19
160010004022032,19
160010004022033,19
160010004022034,19
160010004022035,19
160010004022036,19
160010004022037,19
160010004022038,19
160010004022039,19
160010004022040,19
160010004022041,19
160010004023010,19
160010004023011,19
160010004023012,19
160010001021000,19
160010001021001,19
160010001021002,19
160010001021003,19
160010001021004,19
160010001021005,19
160010001021006,19
160010001021007,19
160010001021008,19
160010001021009,19
160010001021010,19
160010001021020,19
