GEOID20,District
100010402011000,28
100010402011001,28
100010402011002,28
100010402011003,28
100010402011004,28
100010402011005,28
100010402011006,28
100010402011007,28
100010402011009,28
100010402011010,28
100010402011011,28
100010402011012,28
100010402011013,28
100010402011015,28
100010402011016,28
100010402011017,28
100010402011018,28
100010402011020,28
100010402011021,28
100010402011022,28
100010402011023,28
100010402011024,28
100010402011025,28
100010402011026,28
100010402011027,28
100010402011028,28
100010402011029,28
100010402011030,28
100010402011045,28
100010402011046,28
100010402011047,28
100010402011048,28
100010402011049,28
100010402011050,28
100010402011051,28
100010402011052,28
100010402011053,28
100010402011056,28
100010402011057,28
100010402011058,28
100010402011059,28
100010402011060,28
100010402011061,28
100010402011062,28
100010402011065,28
100010402011066,28
100010402011067,28
100010402011068,28
100010402011069,28
100010402011070,28
100010402011071,28
100010402011072,28
100010402011073,28
100010402011074,28
100010402011008,28
100010402012030,28
100010402012031,28
100010402013010,28
100010402013011,28
100010402013012,28
100010402013013,28
100010402013014,28
100010402013015,28
100010402041021,28
100010402041022,28
100010402041027,28
100010402041028,28
100010402041029,28
100010402041030,28
100010402041031,28
100010402041032,28
100010402041033,28
100010402041034,28
100010402041035,28
100010402041036,28
100010402041037,28
100010402041038,28
100010402041040,28
100010402041042,28
100010402041081,28
100010402041082,28
100010402041083,28
100010402041084,28
100010402041085,28
100010402041086,28
100010402041087,28
100010402041088,28
100010402041089,28
100010402041090,28
100010402041098,28
100010402011054,28
100010402011055,28
100010402011063,28
100010402011064,28
100010402031000,28
100010402031001,28
100010402031002,28
100010402031003,28
100010402031004,28
100010402031006,28
100010402031007,28
100010402031043,28
100010402031044,28
100010405021012,28
100010405021016,28
100010405021017,28
100010405021024,28
100010405021025,28
100010432021000,28
100010432021001,28
100010432021002,28
100010432021003,28
100010432021004,28
100010432021005,28
100010432021006,28
100010432021007,28
100010432021008,28
100010432021009,28
100010432021010,28
100010432021011,28
100010432021012,28
100010432021013,28
100010432021014,28
100010432021015,28
100010432021016,28
100010432021017,28
100010432021018,28
100010432021022,28
100010432021023,28
100010432021024,28
100010432021025,28
100010432021026,28
100010432021027,28
100010432021028,28
100010432021029,28
100010432021030,28
100010432021031,28
100010432021032,28
100010432021033,28
100010432021034,28
100010432021035,28
100010432021036,28
100010432021037,28
100010432021038,28
100010432021039,28
100010432021040,28
100010432021041,28
100010432021043,28
100010432021087,28
100019900000001,28
100010402031005,28
100010402031008,28
100010402031009,28
100010402031010,28
100010402031011,28
100010402031012,28
100010402031013,28
100010402031014,28
100010402031015,28
100010402031016,28
100010402031017,28
100010402031018,28
100010402031019,28
100010402031020,28
100010402031021,28
100010402031022,28
100010402031023,28
100010402031024,28
100010402031025,28
100010402031026,28
100010402031027,28
100010402031028,28
100010402031029,28
100010402031030,28
100010402031031,28
100010402031032,28
100010402031033,28
100010402031035,28
100010402031036,28
100010402031037,28
100010402031038,28
100010402031039,28
100010402031040,28
100010402031041,28
100010402031042,28
100010402031045,28
100010402032000,28
100010402032001,28
100010402032002,28
100010402032003,28
100010402032004,28
100010402032005,28
100010402032006,28
100010402032007,28
100010402032008,28
100010402032009,28
100010402032010,28
100010402032011,28
100010402032012,28
100010402032013,28
100010402032014,28
100010402032015,28
100010402032016,28
100010402032017,28
100010402032018,28
100010402032019,28
100010402032020,28
100010402032021,28
100010402032022,28
100010402032023,28
100010402032024,28
100010402032025,28
100010402032026,28
100010402032027,28
100010402032028,28
100010402033013,28
100010402033014,28
100010402033025,28
100010402033026,28
100010402033027,28
100010402033028,28
100010402033029,28
100010402033030,28
100010402033031,28
100010402033032,28
100010402033033,28
100010402033034,28
100010402033035,28
100010402033036,28
100010402033037,28
100010402033038,28
100010402033039,28
100010402033040,28
100010402033041,28
100010402033042,28
100010402033043,28
100010402033044,28
100010402033045,28
100010402033046,28
100010402033047,28
100010402041064,28
100010402041065,28
100010402041066,28
100010402041068,28
100010402041069,28
100010402041091,28
100010402041092,28
100010402041093,28
100010402041094,28
100010402041095,28
100010402041096,28
100010402041097,28
100010402051000,28
100010402051001,28
100010402051002,28
100010402051003,28
100010402051004,28
100010402051005,28
100010402051006,28
