GEOID20,District
150010201001000,1
150010201001001,1
150010201001002,1
150010201001003,1
150010201001004,1
150010201001005,1
150010201001006,1
150010201001007,1
150010201001008,1
150010201001009,1
150010201001010,1
150010201001011,1
150010201001012,1
150010201001013,1
150010201001014,1
150010201001015,1
150010201001016,1
150010201001017,1
150010201001018,1
150010201001019,1
150010201001020,1
150010201001021,1
150010201001022,1
150010201001023,1
150010201001024,1
150010201001025,1
150010201002000,1
150010201002001,1
150010201002002,1
150010201002003,1
150010201002004,1
150010201002005,1
150010201002006,1
150010201002007,1
150010201002008,1
150010201002009,1
150010201002010,1
150010201002011,1
150010201002012,1
150010201002013,1
150010201002014,1
150010201002015,1
150010201002016,1
150010201002017,1
150010201002018,1
150010201002019,1
150010201002020,1
150010201002021,1
150010201002022,1
150010201002023,1
150010201002024,1
150010201002025,1
150010201002026,1
150010201002027,1
150010201002028,1
150010201002029,1
150010201002030,1
150010201002031,1
150010201002032,1
150010201002033,1
150010201002034,1
150010201002035,1
150010201002036,1
150010201002037,1
150010201002038,1
150010201002039,1
150010201002040,1
150010201002041,1
150010201002042,1
150010201002043,1
150010201002044,1
150010201002045,1
150010201002046,1
150010201002047,1
150010201002048,1
150010201002049,1
150010201002050,1
150010201002051,1
150010201002052,1
150010201002053,1
150010201002054,1
150010201002055,1
150010201002056,1
150010201003000,1
150010201003001,1
150010201003002,1
150010201003003,1
150010201003004,1
150010201003005,1
150010201003006,1
150010201003007,1
150010201003008,1
150010201003009,1
150010201003010,1
150010201003011,1
150010201003012,1
150010201003013,1
150010201003014,1
150010201003015,1
150010201003016,1
150010201003017,1
150010201003018,1
150010201003019,1
150010201003020,1
150010201003021,1
150010201003022,1
150010201003023,1
150010201003024,1
150010201003025,1
150010201003026,1
150010201003027,1
150010201003028,1
150010201003029,1
150010201003030,1
150010201003031,1
150010201003032,1
150010201003033,1
150010201003034,1
150010201003035,1
150010201003036,1
150010201003037,1
150010201003038,1
150010201003039,1
150010201003040,1
150010201003041,1
150010201003042,1
150010201003043,1
150010201003044,1
150010201003045,1
150010201003046,1
150010201003047,1
150010201003048,1
150010201003049,1
150010201003050,1
150010201003051,1
150010201003052,1
150010201003053,1
150010201003054,1
150010201003055,1
150010201003056,1
150010201003057,1
150010201003058,1
150010201003059,1
150010201003060,1
150010201003061,1
150010201003062,1
150010201003063,1
150010201003064,1
150010201003065,1
150010201003066,1
150010201003067,1
150010201003068,1
150010201003069,1
150010201003070,1
150010201003071,1
150010201003072,1
150010201003073,1
150010201003074,1
150010201003075,1
150010201003076,1
150010201003077,1
150010201003078,1
150010201003079,1
150010201003080,1
150010201003081,1
150010201003082,1
150010201003083,1
150010201003084,1
150010201003085,1
150010201003086,1
150010201003087,1
150010201003088,1
150010201003089,1
150010201004000,1
150010201004001,1
150010201004002,1
150010201004003,1
150010201004004,1
150010201004005,1
150010201004006,1
150010201004007,1
150010201004008,1
150010201004009,1
150010201004010,1
150010201004011,1
150010201004012,1
150010201004013,1
150010201004014,1
150010201004015,1
150010201004016,1
150010201004017,1
150010201004018,1
150010201004019,1
150010201004020,1
150010201004021,1
150010201004022,1
150010201004023,1
150010201004024,1
150010201004025,1
150010201004026,1
150010201004027,1
150010201004028,1
150010201004029,1
150010201004030,1
150010201004031,1
150010201004032,1
150010201004033,1
150010201004034,1
150010201004035,1
150010201004036,1
150010201004037,1
150010202022000,1
150010202022001,1
150010202022002,1
150010202022003,1
150010202022004,1
150010202022005,1
150010202022006,1
150010202022007,1
150010202022008,1
150010202022009,1
150010202022010,1
150010202022011,1
150010202022012,1
150010202022013,1
150010202022014,1
150010202022015,1
150010202022016,1
150010202022017,1
150010202022018,1
150010202022019,1
150010202022020,1
150010202022021,1
150010202022022,1
150010202022023,1
150010202022024,1
150010202022025,1
150010203001000,1
150010203001001,1
150010203001002,1
150010203001003,1
150010203001004,1
150010203001005,1
150010203001006,1
150010203001007,1
150010203001008,1
150010203001009,1
150010203001010,1
150010204001000,2
150010204001001,2
150010204001002,2
150010204001003,2
150010204001004,2
150010204001005,2
150010204001006,2
150010204001007,2
150010204001008,2
150010204001009,2
150010204001010,2
150010204001011,2
150010204002000,2
150010204002001,2
150010204002002,2
150010204002003,2
150010204002004,2
