GEOID20,District
190019601001000,20
190019601001001,20
190019601001002,20
190019601001003,20
190019601001004,20
190019601001007,20
190019601001032,20
190019601001056,20
190019601001057,20
190019601001069,20
190019601001070,20
190019601001071,20
190019601001072,20
190019601001073,20
190019601001074,20
190019601001075,20
190019601001076,20
190019601001078,20
190019601001079,20
190019601001081,20
190019601001084,20
190019601001085,20
190019601001099,20
190019601001100,20
190019601001101,20
190019601001102,20
190019601001103,20
190019601001104,20
190019601001110,20
190019601001111,20
190019601001115,20
190019601001116,20
190019601001117,20
190019601001118,20
190019601001119,20
190019601001120,20
190019601001121,20
190019601001122,20
190019601001123,20
190019601001124,20
190019601001125,20
190019601001126,20
190019601001127,20
190019601001128,20
190019601001129,20
190019601001130,20
190019601001131,20
190019601001132,20
190019601001133,20
190019601001134,20
190019601001135,20
190019601001136,20
190019601001137,20
190019601001138,20
190019601001139,20
190019601001140,20
190019601001141,20
190019601001142,20
190019601001143,20
190019601001144,20
190019601001145,20
190019601001160,20
190019601001161,20
190019601001234,20
190019601001235,20
190019601001236,20
190019601001237,20
190019601001260,20
190019601001005,20
190019601001006,20
190019601001008,20
190019601001009,20
190019601001010,20
190019601001011,20
190019601001012,20
190019601001013,20
190019601001014,20
190019601001015,20
190019601001016,20
190019601001017,20
190019601001018,20
190019601001019,20
190019601001020,20
190019601001021,20
190019601001022,20
190019601001023,20
190019601001024,20
190019601001025,20
190019601001026,20
190019601001027,20
190019601001028,20
190019601001029,20
190019601001030,20
190019601001031,20
190019601001036,20
190019601001037,20
190019601001038,20
190019601001039,20
190019601001040,20
190019601001041,20
190019601001042,20
190019601001043,20
190019601001044,20
190019601001045,20
190019601001046,20
190019601001047,20
190019601001048,20
190019601001049,20
190019601001050,20
190019601001051,20
190019601001052,20
190019601001053,20
190019601001054,20
190019601001055,20
190019601001058,20
190019601001059,20
190019601001060,20
190019601001061,20
190019601001062,20
190019601001063,20
190019601001064,20
190019601001065,20
190019601001068,20
190019601001077,20
190019601001080,20
190019601001259,20
190019601001033,20
190019601001034,20
190019601001035,20
190019601001066,20
190019601001067,20
190019601001082,20
190019601001083,20
190019601001086,20
190019601001087,20
190019601001088,20
190019601001089,20
190019601001090,20
190019601001091,20
190019601001092,20
190019601001093,20
190019601001094,20
190019601001095,20
190019601001096,20
190019601001097,20
190019601001098,20
190019601001105,20
190019601001106,20
190019601001107,20
190019601001108,20
190019601001109,20
190019601001112,20
190019601001113,20
190019601001114,20
190019601001152,20
190019601001153,20
190019601001154,20
190019601001155,20
190019601001263,20
190019601002000,20
190019601002001,20
190019601002008,20
190019601002019,20
190019601002020,20
190019601002115,20
190019601002116,20
190019601002117,20
190019601002118,20
190019601002119,20
190019601002120,20
190019601002121,20
190019601002122,20
190019601002129,20
190019601002130,20
190019601002131,20
190019601002132,20
190019601002133,20
190019601002134,20
190019601002135,20
190019601002136,20
190019601002137,20
190019601002138,20
190019601002139,20
190019601002140,20
190019601002141,20
190019601002144,20
190019601002145,20
190019601002149,20
190019601002150,20
190019601002153,20
190019601002154,20
190019601002155,20
190019601002157,20
190019601002158,20
190019601002159,20
190019601002160,20
190019601001146,20
190019601001147,20
190019601001156,20
190019601001157,20
190019601001158,20
190019601001159,20
190019601001162,20
190019601001163,20
190019601001164,20
190019601001165,20
190019601001166,20
190019601001173,20
190019601001174,20
190019601001208,20
190019601001209,20
190019601001210,20
190019601001226,20
190019601001227,20
190019601001228,20
190019601001229,20
190019601001230,20
190019601001231,20
190019601001232,20
190019601001233,20
190019601001238,20
190019601001239,20
190019601001240,20
190019601001241,20
190019601001242,20
190019601001243,20
190019601001244,20
190019601001245,20
190019601001246,20
190019601001253,20
190019601001254,20
190019601001255,20
190019601001256,20
190019601001257,20
190019602001000,20
190019602001001,20
190019602001002,20
190019602001003,20
190019602001004,20
190019602001005,20
190019602001006,20
190019602001007,20
190019601001148,20
190019601001149,20
190019601001150,20
190019601001151,20
190019601001167,20
190019601001168,20
190019601001169,20
190019601001170,20
190019601001171,20
190019601001172,20
190019601001175,20
190019601001176,20
190019601001177,20
190019601001178,20
190019601001179,20
190019601001180,20
190019601001181,20
190019601001182,20
190019601001190,20
190019601001191,20
190019601001192,20
190019601001193,20
190019601001194,20
190019601001195,20
190019601001199,20
190019601001200,20
190019601001201,20
190019601001202,20
190019601001203,20
190019601001204,20
190019601001205,20
190019601001206,20
190019601001207,20
190019601001211,20
190019601001212,20
190019601001213,20
190019601001214,20
190019601001258,20
190019601001261,20
190019601002151,20
190019601002152,20
190019601002156,20
190019601002161,20
190019601002162,20
190019601002163,20
190019601002164,20
190019601002165,20
190019601002166,20
190019602001008,20
190019602001009,20
190019602001010,20
190019602001011,20
190019602001012,20
190019603002000,20
190019603002001,20
190019603002002,20
190019601001183,20
190019601001184,20
190019601001185,20
190019601001186,20
190019601001187,20
190019601001188,20
190019601001189,20
190019601001196,20
190019601001197,20
190019601001198,20
190019601001215,20
190019601001216,20
190019601001217,20
190019601001218,20
190019601001219,20
190019601001220,20
190019601001221,20
190019601001222,20
190019601001223,20
190019601001224,20
190019601001225,20
190019601001247,20
190019601001248,20
190019601001249,20
190019601001250,20
190019601001251,20
190019601001252,20
190019601001262,20
190019601002103,20
190019601002104,20
190019601002105,20
190019601002142,20
190019601002143,20
190019601002146,20
190019601002167,20
190019601002175,20
190019601002182,20
190019601002183,20
190019601002190,20
190019601002213,20
190019601002214,20
190019601002002,20
190019601002003,20
190019601002006,20
190019601002009,20
190019601002010,20
190019601002011,20
190019601002012,20
190019601002013,20
190019601002018,20
190019601002021,20
190019601002022,20
190019601002023,20
190019601002024,20
190019601002025,20
190019601002026,20
190019601002027,20
190019601002057,20
190019601002058,20
190019601002059,20
190019601002060,20
190019601002061,20
190019601002062,20
190019601002063,20
190019601002064,20
190019601002085,20
190019601002086,20
190019601002087,20
190019601002088,20
190019601002089,20
190019601002090,20
190019601002091,20
190019601002092,20
190019601002093,20
190019601002106,20
190019601002107,20
190019601002108,20
190019601002109,20
190019601002110,20
190019601002111,20
190019601002112,20
190019601002113,20
190019601002114,20
190019601002123,20
190019601002124,20
190019601002125,20
190019601002126,20
190019601002127,20
190019601002128,20
190019601002147,20
190019601002148,20
190019601002004,20
190019601002005,20
190019601002007,20
190019601002016,20
190019601002017,20
190019601002014,20
190019601002015,20
190019601002028,20
190019601002029,20
190019601002030,20
190019601002031,20
190019601002032,20
190019601002033,20
190019601002034,20
190019601002035,20
190019601002036,20
190019601002037,20
190019601002038,20
190019601002039,20
190019601002040,20
190019601002041,20
190019601002042,20
190019601002043,20
190019601002044,20
190019601002045,20
190019601002046,20
190019601002047,20
190019601002048,20
190019601002049,20
190019601002050,20
190019601002051,20
190019601002052,20
190019601002053,20
190019601002054,20
190019601002055,20
190019601002056,20
190019601002065,20
190019601002066,20
190019601002067,20
190019601002068,20
190019601002069,20
190019601002070,20
190019601002071,20
190019601002072,20
190019601002073,20
190019601002074,20
190019601002075,20
190019601002076,20
190019601002077,20
190019601002078,20
190019601002079,20
190019601002080,20
190019601002081,20
190019601002082,20
190019601002083,20
190019601002084,20
190019601002094,20
190019601002095,20
190019601002096,20
190019601002174,20
190019601003000,20
190019601003001,20
190019601003014,20
190019601003015,20
190019601003066,20
190019601003067,20
190019601003072,20
190019601003073,20
190019601003074,20
190019601003075,20
190019601002097,20
190019601002098,20
190019601002099,20
190019601002100,20
190019601002101,20
190019601002102,20
190019601002168,20
190019601002169,20
190019601002170,20
190019601002171,20
190019601002172,20
190019601002173,20
190019601002176,20
190019601002177,20
190019601002178,20
190019601002179,20
190019601002180,20
190019601002181,20
190019601002184,20
190019601002185,20
190019601002186,20
190019601002187,20
190019601002188,20
190019601002189,20
190019601002191,20
190019601002192,20
190019601002193,20
190019601002194,20
190019601002195,20
190019601002196,20
190019601002197,20
190019601002198,20
190019601002199,20
190019601002200,20
190019601002201,20
190019601002202,20
190019601002203,20
190019601002204,20
190019601002205,20
190019601002206,20
190019601002207,20
190019601002208,20
190019601002209,20
190019601002210,20
190019601002211,20
190019601002212,20
190019601002215,20
190019601002216,20
190019601002217,20
190019601002218,20
190019601002219,20
190019601002220,20
190019602002014,20
190019602002015,20
190019602002016,20
190019602002017,20
190019602002018,20
190019602002019,20
190019602002020,20
190019602002021,20
190019602002022,20
190019602002023,20
190019602002026,20
190019602002027,20
190019602002028,20
190019602002029,20
190019602002030,20
190019602002031,20
190019602002032,20
190019602002033,20
190019602002034,20
190019602002035,20
190019602002036,20
190019602002037,20
190019602002038,20
190019602002039,20
190019602002040,20
190019602002041,20
190019602002042,20
190019602002043,20
190019602002044,20
190019602002045,20
190019602002046,20
190019602002047,20
190019602002048,20
190019602002049,20
190019602002050,20
190019602002051,20
190019602002052,20
190019602002053,20
190019602002054,20
190019602002055,20
190019602002056,20
190019602002058,20
190019602002059,20
190019602002060,20
190019602002063,20
190019602002064,20
190019602002065,20
190019602002066,20
190019602002076,20
190019602002235,20
190019602002237,20
190019602002238,20
190019602002239,20
190019602002242,20
190019602002243,20
190019601003002,20
190019601003003,20
190019601003004,20
190019601003005,20
190019601003006,20
190019601003007,20
190019601003008,20
190019601003009,20
190019601003010,20
190019601003011,20
190019601003012,20
190019601003013,20
190019601003016,20
190019601003017,20
190019601003018,20
190019601003019,20
190019601003020,20
190019601003021,20
190019601003022,20
190019601003023,20
190019601003024,20
190019601003025,20
190019601003026,20
190019601003027,20
190019601003028,20
190019601003029,20
190019601003030,20
190019601003031,20
190019601003032,20
190019601003033,20
190019601003034,20
190019601003035,20
190019601003036,20
190019601003037,20
190019601003038,20
190019601003039,20
190019601003040,20
190019601003041,20
190019601003042,20
190019601003043,20
190019601003044,20
190019601003045,20
190019601003046,20
190019601003047,20
190019601003048,20
190019601003049,20
190019601003050,20
190019601003051,20
190019601003052,20
190019601003053,20
190019601003054,20
190019601003055,20
190019601003056,20
190019601003057,20
190019601003058,20
190019601003059,20
190019601003060,20
190019601003061,20
190019601003062,20
190019601003063,20
190019601003064,20
190019601003065,20
190019601003068,20
190019601003069,20
190019601003070,20
190019601003071,20
190019601003076,20
190019601003077,20
190019602001013,20
190019602001014,20
190019602001015,20
190019602001036,20
190019602001037,20
190019602001038,20
190019602001039,20
190019602001040,20
190019602001041,20
190019602001042,20
190019602001043,20
190019602001044,20
190019602001045,20
190019602001046,20
190019602001047,20
190019602001048,20
190019602001050,20
190019602001051,20
190019602001052,20
190019602001053,20
190019602001054,20
190019602001055,20
190019602001056,20
190019602001057,20
190019602001058,20
190019602001086,20
190019602001087,20
190019602001088,20
190019602001089,20
190019602001169,20
190019602001171,20
190019602002000,20
190019602002001,20
190019602002002,20
190019602002003,20
190019602002004,20
190019602002005,20
190019602002098,20
190019602002099,20
190019602002100,20
190019602002101,20
190019603001000,20
190019603002003,20
190019603002004,20
190019603004095,20
190019602001016,20
190019602001017,20
190019602001018,20
190019602001019,20
190019602001020,20
190019602001021,20
190019602001022,20
190019602001023,20
190019602001024,20
190019602001025,20
190019602001026,20
190019602001027,20
190019602001028,20
190019602001029,20
190019602001030,20
190019602001031,20
190019602001032,20
190019602001033,20
190019602001034,20
190019602001035,20
190019602001059,20
190019602001060,20
190019602001061,20
190019602001062,20
190019602001063,20
190019602001064,20
190019602001065,20
190019602001066,20
190019602001067,20
190019602001068,20
190019602001069,20
190019602001070,20
190019602001071,20
190019602001072,20
190019602001073,20
190019602001074,20
190019602001075,20
190019602001076,20
190019602001077,20
190019602001078,20
190019602001079,20
190019602001080,20
190019602001081,20
190019602001082,20
190019602001083,20
190019602001084,20
190019602001085,20
190019602001090,20
190019602001091,20
190019602001092,20
190019602001093,20
190019602001094,20
190019602001095,20
190019602001096,20
190019602001097,20
190019602001098,20
190019602001101,20
190019602001102,20
190019602001109,20
190019602001172,20
190019602001049,20
190019603002015,20
190019603002062,20
190019603002063,20
190019603003000,20
190019603003038,20
190019603004082,20
190019603004083,20
190019603004084,20
190019603004085,20
190019603004086,20
190019602001099,20
190019602001100,20
190019602001114,20
190019602001115,20
190019602001117,20
190019602001118,20
190019602001119,20
190019602001124,20
190019602001125,20
190019602001156,20
190019602001157,20
190019602001158,20
190019602001159,20
190019602001160,20
190019602001161,20
190019602001162,20
190019602001163,20
190019602001164,20
190019602001165,20
190019602001166,20
190019602002096,20
190019602002097,20
190019602002102,20
190019602002103,20
190019602002104,20
190019602002105,20
190019602002106,20
190019602002107,20
190019602002108,20
190019602002109,20
190019602002110,20
190019602002111,20
190019602002112,20
190019602002113,20
190019602002114,20
190019602002115,20
190019602002116,20
190019602002117,20
190019602002169,20
190019602002170,20
190019602002171,20
190019602002172,20
190019602002173,20
190019602002198,20
190019602002199,20
190019602002200,20
190019602002201,20
190019602002202,20
190019602002203,20
190019602002204,20
190019602002205,20
190019602002206,20
190019602002207,20
190019602002208,20
190019602002209,20
190019602002210,20
190019602002211,20
190019602002212,20
190019602002213,20
190019602002214,20
190019602002215,20
190019602002216,20
190019602002217,20
190019602002218,20
190019602002219,20
190019602002220,20
190019602002221,20
190019602002222,20
190019602002223,20
190019602002224,20
190019602002225,20
190019602002226,20
190019602002227,20
190019602002228,20
190019602002229,20
190019602002236,20
190019602002240,20
190019602001103,20
190019602001104,20
190019602001105,20
190019602001106,20
190019602001107,20
190019602001108,20
190019602001110,20
190019602001111,20
190019602001112,20
190019602001113,20
190019602001116,20
190019602001120,20
190019602001121,20
190019602001122,20
190019602001123,20
190019602001126,20
190019602001127,20
190019602001128,20
190019602001129,20
190019602001130,20
190019602001131,20
190019602001132,20
190019602001133,20
190019602001134,20
190019602001135,20
190019602001136,20
190019602001137,20
190019602001138,20
190019602001139,20
190019602001140,20
190019602001141,20
190019602001142,20
190019602001143,20
190019602001144,20
190019602001145,20
190019602001146,20
190019602001147,20
190019602001148,20
190019602001149,20
190019602001150,20
190019602001151,20
190019602001152,20
190019602001153,20
190019602001154,20
190019602001155,20
190019602001167,20
190019602001168,20
190019602001170,20
190019602002006,20
190019602002007,20
190019602002008,20
190019602002009,20
190019602002010,20
190019602002011,20
190019602002012,20
190019602002013,20
190019602002024,20
190019602002025,20
190019602002089,20
190019603004000,20
190019603004001,20
190019603004002,20
190019603004003,20
190019603004004,20
190019603004005,20
190019603004006,20
190019603004007,20
190019603004008,20
190019603004009,20
190019603004010,20
190019603004011,20
190019603004012,20
190019603004013,20
190019603004014,20
190019603004015,20
190019603004016,20
190019603004017,20
190019603004018,20
190019603004019,20
190019603004020,20
190019603004021,20
190019603004022,20
190019603004023,20
190019603004024,20
190019603004025,20
190019603004026,20
190019603004027,20
190019603004028,20
190019603004029,20
190019603004030,20
190019603004031,20
190019603004032,20
190019603004033,20
190019603004034,20
190019603004035,20
190019603004036,20
190019603004037,20
190019603004038,20
190019603004039,20
190019603004040,20
190019603004041,20
190019603004042,20
190019603004043,20
190019603004044,20
190019603004045,20
190019603004046,20
190019603004047,20
190019603004048,20
190019603004049,20
190019603004050,20
190019603004051,20
190019603004052,20
190019603004053,20
190019603004054,20
190019603004055,20
190019603004056,20
190019603004057,20
190019603004058,20
190019603004059,20
190019603004060,20
190019603004061,20
190019603004062,20
190019603004063,20
190019603004064,20
190019603004065,20
190019603004066,20
190019603004067,20
190019603004068,20
190019603004069,20
190019603004070,20
190019603004071,20
190019603004072,20
190019603004073,20
190019603004074,20
190019603004075,20
190019603004076,20
190019603004077,20
190019603004078,20
190019603004079,20
190019603004080,20
190019603004081,20
190019603004087,20
190019603004088,20
190019603004089,20
190019603004090,20
190019603004091,20
190019603004092,20
190019603004093,20
190019603004094,20
190019603004096,20
190019603004097,20
190019603004098,20
190019603004099,20
190019603004100,20
190019603004101,20
190019602002057,20
190019602002074,20
190019602002081,20
190019602002082,20
190019602002084,20
190019602002085,20
190019602002129,20
190019602002130,20
190019602002131,20
190019602002132,20
190019602002133,20
190019602002134,20
190019602002135,20
190019602002136,20
190019602002137,20
190019602002138,20
190019602002139,20
190019602002140,20
190019602002141,20
190019602002142,20
190019602002143,20
190019602002144,20
190019602002145,20
190019602002146,20
190019602002147,20
190019602002148,20
190019602002149,20
190019602002150,20
190019602002151,20
190019602002152,20
190019602002153,20
190019602002154,20
190019602002155,20
190019602002156,20
190019602002157,20
190019602002180,20
190019602002181,20
190019602002182,20
190019602002183,20
190019602002184,20
190019602002185,20
190019602002186,20
190019602002187,20
190019602002233,20
190019602002241,20
190019602002061,20
190019602002062,20
190019602002067,20
190019602002068,20
190019602002069,20
190019602002070,20
190019602002071,20
190019602002072,20
190019602002073,20
190019602002075,20
190019602002077,20
190019602002078,20
190019602002079,20
190019602002080,20
190019602002083,20
190019602002086,20
190019602002087,20
190019602002088,20
190019602002090,20
190019602002091,20
190019602002092,20
190019602002093,20
190019602002094,20
190019602002095,20
190019602002118,20
190019602002119,20
190019602002120,20
190019602002121,20
190019602002122,20
190019602002123,20
190019602002124,20
