GEOID20,District
200019526001000,2
200019526001001,2
200019526001002,2
200019526001003,2
200019526001004,2
200019526001005,2
200019526001006,2
200019526001007,2
200019526001008,2
200019526001009,2
200019526001010,2
200019526001011,2
200019526001012,2
200019526001013,2
200019526001014,2
200019526001015,2
200019526001016,2
200019526001017,2
200019526001018,2
200019526001019,2
200019526001020,2
200019526001021,2
200019526001022,2
200019526001023,2
200019526001024,2
200019526001030,2
200019526001031,2
200019526001032,2
200019526001033,2
200019526001034,2
200019526001035,2
200019526001036,2
200019526001037,2
200019526001038,2
200019526001039,2
200019526001040,2
200019526001041,2
200019526001042,2
200019526001043,2
200019526001049,2
200019526001050,2
200019526001051,2
200019526001052,2
200019526001053,2
200019526001054,2
200019526001055,2
200019526001056,2
200019526001057,2
200019526001058,2
200019526001059,2
200019526001060,2
200019526001061,2
200019526001062,2
200019526001063,2
200019526001064,2
200019526001065,2
200019526001066,2
200019526001067,2
200019526001068,2
200019526001069,2
200019526001070,2
200019526001071,2
200019526001072,2
200019526001073,2
200019526001074,2
200019526001075,2
200019526001076,2
200019526001077,2
200019526001078,2
200019526001079,2
200019526001080,2
200019526001081,2
200019526001082,2
200019526001083,2
200019526001084,2
200019526001085,2
200019526001086,2
200019526001087,2
200019526001088,2
200019526001089,2
200019526001090,2
200019526001091,2
200019526001092,2
200019526001093,2
200019526001094,2
200019526001095,2
200019526001102,2
200019526001103,2
200019526001104,2
200019526001105,2
200019526001106,2
200019526001107,2
200019526001114,2
200019526001115,2
200019526001116,2
200019526001488,2
200019526001492,2
200019526001493,2
200019526001025,9
200019526001026,9
200019526001027,9
200019526001028,9
200019526001029,9
200019526001044,9
200019526001045,9
200019526001046,9
200019526001047,9
200019526001048,9
200019526001108,9
200019526001109,9
200019526001110,9
200019526001111,9
200019526001112,9
200019526001113,9
200019526001123,9
200019527001000,9
200019527001001,9
200019527001002,9
200019527001003,9
200019527001038,9
200019527001039,9
200019527001040,9
200019527001041,9
200019527001042,9
200019527001043,9
200019527001044,9
200019527001045,9
200019527001112,9
200019527001113,9
200019527001114,9
200019527001115,9
200019527001116,9
200019527001117,9
200019527001118,9
200019527001121,9
200019527001122,9
200019527001123,9
200019526001096,2
200019526001097,2
200019526001098,2
200019526001099,2
200019526001100,2
200019526001101,2
200019526001117,2
200019526001118,2
200019526001119,2
200019526001124,2
200019526001125,2
200019526001126,2
200019526001127,2
200019526001128,2
200019526001129,2
200019526001130,2
200019526001131,2
200019526001132,2
200019526001133,2
200019526001134,2
200019526001135,2
200019526001136,2
200019526001137,2
200019526001138,2
200019526001139,2
200019526001140,2
200019526001141,2
200019526001142,2
200019526001143,2
