GEOID20,District
230039507002104,151
230039507002105,151
230039507002112,151
230039507002113,151
230039507002114,151
230039507002115,151
230039507002116,151
230039507002117,151
230039507002118,151
230039507002122,151
230039507002123,151
230039507002154,151
230039507002155,151
230039507002156,151
230039507002157,151
230039507002158,151
230039507002159,151
230039507002160,151
230039507002161,151
230039507002162,151
230039507002163,151
230039507002164,151
230039507002165,151
230039507002166,151
230039507002167,151
230039507002168,151
230039507002169,151
230039507002193,151
230039507002196,151
230039507002197,151
230039507002198,151
230039507002199,151
230039507002200,151
230039507002201,151
230039507002202,151
230039507002203,151
230039507002204,151
230039507002205,151
230039507002206,151
230039507002207,151
230039507002253,151
230039507002254,151
230039507002986,151
230039507002987,151
230039507002991,151
230039507002992,151
230039507002993,151
230039529002000,144
230039529002001,144
230039529002002,144
230039529002003,144
230039529002004,144
230039529002005,144
230039529002006,144
230039529002007,144
230039529002008,144
230039529002009,144
230039529002010,144
230039529002011,144
230039529002013,144
230039529002014,144
230039529002015,144
230039529002016,144
230039529002020,144
230039529002021,144
230039509001056,151
230039509001057,151
230039509001058,151
230039509001059,151
230039509001060,151
230039509001061,151
230039509001062,151
230039509001063,151
230039509001064,151
230039509001065,151
230039509001066,151
230039509001067,151
230039509001068,151
230039509001069,151
230039509001070,151
230039509001071,151
230039509001072,151
230039509001073,151
230039509001074,151
230039509001078,151
230039509001079,151
230039509001080,151
230039509001081,151
230039509001082,151
230039509001083,151
230039509001084,151
230039509001085,151
230039509001086,151
230039509001087,151
230039509001088,151
230039509001089,151
230039509001090,151
230039509001091,151
230039509001092,151
230039509001093,151
230039509001094,151
230039509001095,151
230039509001096,151
230039509001099,151
230039509001100,151
230039509001101,151
230039509001102,151
230039509001103,151
230039509001104,151
230039509001121,151
230039509001122,151
230039509001126,151
230039509001134,151
230039509002000,151
230039509002001,151
230039509002002,151
230039509002003,151
230039509002004,151
230039509002005,151
230039509002006,151
230039509002007,151
230039509002008,151
230039509002009,151
230039509002010,151
230039509002011,151
