GEOID20,District
260010001001000,106
260010001001001,106
260010001001002,106
260010001001003,106
260010001001004,106
260010001001005,106
260010001001006,106
260010001001007,106
260010001001008,106
260010001001009,106
260010001001010,106
260010001001011,106
260010001001012,106
260010001001013,106
260010001001014,106
260010001001015,106
260010001001016,106
260010001001017,106
260010001001018,106
260010001001019,106
260010001001020,106
260010001001021,106
260010001001022,106
260010001001023,106
260010001001024,106
260010001001025,106
260010001001026,106
260010001001027,106
260010001001028,106
260010001001029,106
260010001001030,106
260010001001031,106
260010001001032,106
260010001001033,106
260010001001034,106
260010001001035,106
260010001001036,106
260010001001037,106
260010001001038,106
260010001001039,106
260010001001040,106
260010001001041,106
260010001001042,106
260010001001043,106
260010001001044,106
260010001001045,106
260010001001046,106
260010001001047,106
260010001001061,106
260010001001062,106
260010001001063,106
260010001001064,106
260010001001072,106
260010001001073,106
260010001001074,106
260010001001075,106
260010001001076,106
260010001001077,106
260010001001078,106
260010001001079,106
260010001001080,106
260010001001081,106
260010001001082,106
260010001001083,106
260010001001084,106
260010001001085,106
260010001001086,106
260010001001087,106
260010001001088,106
260010001001090,106
260010001001091,106
260010001001092,106
260010001001093,106
260010001001094,106
260010001001096,106
260010001001097,106
260010001001098,106
260010001002046,106
260010001002047,106
260010001002048,106
260010001002049,106
260010001002050,106
260010001002051,106
260010001002052,106
260019701001001,106
260019701001002,106
260019701001003,106
260019701001004,106
260019701001005,106
260019701001006,106
260019701001007,106
260019701001008,106
260019701001009,106
260019701001010,106
260019701001011,106
260019701001012,106
260019701001013,106
260019701001015,106
260019701001016,106
260019701001017,106
260019701001018,106
260019701001019,106
260019701001020,106
260019701001021,106
260019701001022,106
260019701001023,106
260019701001024,106
260019701001035,106
260019701001036,106
260019701001040,106
260019701001041,106
260019701001042,106
260019701001043,106
260019705002051,106
260019705002052,106
260019705002053,106
260019705002079,106
260019705002080,106
260019705002081,106
260019705002082,106
260010001001048,106
260010001001049,106
260010001001050,106
260010001001051,106
260010001001052,106
260010001001053,106
260010001001054,106
260010001001055,106
260010001001056,106
260010001001057,106
260010001001058,106
260010001001059,106
260010001001060,106
260010001001065,106
260010001001066,106
260010001001067,106
260010001001068,106
260010001001069,106
260010001001070,106
260010001001071,106
260010001001089,106
260010001001095,106
260010001001099,106
260019704001000,106
260019704001001,106
260019704001002,106
260019704001003,106
260019704001004,106
260019704001005,106
260019704001006,106
260019704001007,106
260019704001008,106
260019704001009,106
260019704001010,106
260019704001011,106
260019704001012,106
260019704001013,106
260019704001014,106
260019704001015,106
260019704001016,106
260019704001017,106
260019704001018,106
260019704001019,106
260019704001020,106
260019704001021,106
260019704001022,106
260019704001023,106
260019704001024,106
260019704001025,106
260019704001026,106
260019704001027,106
260019704001028,106
260019704001029,106
260019704001030,106
260019704001031,106
260019704001032,106
260019704001033,106
260019704001034,106
260019704001035,106
260019704001036,106
260019704001037,106
260019704001038,106
260019704001042,106
260019704001043,106
260019704001044,106
260019704001062,106
260019704001096,106
260019704001097,106
260019704002034,106
260019704002035,106
260019705002050,106
260019705002070,106
260019705002071,106
260019705002072,106
260019705002073,106
260019705002074,106
260019705002075,106
260019705002076,106
260019705002077,106
260019705002078,106
260019705002083,106
260019705002084,106
260019705002085,106
260019705002087,106
260019705002088,106
260019705002089,106
