GEOID20,District
300010001001000,72
300010001001001,72
300010001001002,72
300010001001003,72
300010001001004,72
300010001001005,72
300010001001006,72
300010001001007,72
300010001001008,72
300010001001009,72
300010001001010,72
300010001001011,72
300010001001012,72
300010001001013,72
300010001001014,72
300010001001015,72
300010001001016,72
300010001001017,72
300010001001018,72
300010001001019,72
300010001001020,72
300010001001021,72
300010001001022,72
300010001001023,72
300010001001024,72
300010001001025,72
300010001001026,72
300010001001027,72
300010001001028,72
300010001001029,72
300010001001030,72
300010001001031,72
300010001001032,72
300010001001033,72
300010001001034,72
300010001001035,72
300010001001036,72
300010001001038,72
300010001001040,72
300010001001041,72
300010001001042,72
300010001001043,72
300010001001044,72
300010001001045,72
300010001001046,72
300010001001047,72
300010001001048,72
300010001001049,72
300010001001293,72
300010001001294,72
300010001001295,72
300010001001296,72
300010001001297,72
300010001001298,72
300010001001299,72
300010001001300,72
300010001001301,72
300010001001302,72
300010001001303,72
300010001001304,72
300010001001305,72
300010001001306,72
300010001001307,72
300010001001308,72
300010001001309,72
300010001001310,72
300010001001311,72
300010001001312,72
300010001001313,72
300010001001314,72
300010001001315,72
300010001001316,72
300010001001317,72
300010001001318,72
300010001001319,72
300010001001320,72
300010001001322,72
300010001001323,72
300010001001324,72
300010001001325,72
300010001001326,72
300010001001327,72
300010001001328,72
300010001001335,72
300010001001336,72
300010001001337,72
300010001001338,72
300010001001341,72
300010001001342,72
300010001001343,72
300010001001344,72
300010001001345,72
300010001001346,72
300010001001347,72
300010001001348,72
300010001001349,72
300010001001350,72
300010001001351,72
300010001001352,72
300010001001353,72
300010001001354,72
300010001001355,72
300010001001356,72
300010001001358,72
300010001001359,72
300010001001360,72
300010001001363,72
300010001001457,72
300010001001458,72
300010001001459,72
300010001001460,72
300010001001461,72
300010001001462,72
300010001001465,72
300010001001466,72
300010001001467,72
300010001001468,72
300010001001469,72
300010001001470,72
300010001001471,72
300010001001472,72
300010001001473,72
300010001001474,72
300010001001475,72
300010001001476,72
300010001001477,72
300010001001478,72
300010001001479,72
300010001001480,72
300010001001484,72
300010001001485,72
300010001001486,72
300010001001487,72
300010001001488,72
300010001001492,72
300010002004000,72
300010002004153,72
300010001001037,72
300010001001039,72
300010001001050,72
300010001001051,72
300010001001052,72
300010001001053,72
300010001001054,72
300010001001055,72
300010001001056,72
300010001001057,72
300010001001059,72
300010001001060,72
300010001001061,72
300010001001062,72
300010001001063,72
300010001001064,72
300010001001065,72
300010001001066,72
300010001001067,72
300010001001068,72
300010001001069,72
300010001001070,72
300010001001071,72
300010001001072,72
300010001001073,72
300010001001074,72
300010001001075,72
300010001001076,72
300010001001077,72
300010001001078,72
300010001001079,72
300010001001080,72
300010001001081,72
300010001001082,72
300010001001083,72
300010001001084,72
300010001001085,72
300010001001086,72
300010001001087,72
300010001001088,72
300010001001089,72
300010001001090,72
300010001001091,72
300010001001092,72
300010001001093,72
300010001001094,72
300010001001095,72
300010001001096,72
300010001001097,72
300010001001098,72
300010001001099,72
300010001001100,72
300010001001101,72
300010001001102,72
300010001001103,72
300010001001104,72
300010001001105,72
300010001001106,72
300010001001107,72
300010001001108,72
300010001001109,72
300010001001110,72
300010001001111,72
300010001001112,72
300010001001113,72
300010001001114,72
300010001001115,72
300010001001116,72
300010001001117,72
300010001001118,72
300010001001119,72
300010001001120,72
300010001001121,72
300010001001122,72
300010001001123,72
300010001001124,72
300010001001125,72
300010001001126,72
300010001001127,72
300010001001128,72
300010001001129,72
300010001001130,72
300010001001131,72
300010001001132,72
300010001001133,72
300010001001134,72
300010001001135,72
300010001001136,72
300010001001137,72
300010001001138,72
300010001001139,72
300010001001140,72
300010001001141,72
300010001001142,72
300010001001143,72
300010001001144,72
300010001001145,72
300010001001146,72
300010001001147,72
300010001001148,72
300010001001149,72
300010001001150,72
300010001001151,72
300010001001152,72
300010001001153,72
300010001001154,72
300010001001155,72
300010001001156,72
300010001001157,72
300010001001158,72
300010001001159,72
300010001001160,72
300010001001161,72
300010001001162,72
300010001001163,72
300010001001164,72
300010001001165,72
300010001001166,72
300010001001167,72
300010001001168,72
300010001001169,72
300010001001170,72
300010001001171,72
300010001001172,72
300010001001173,72
300010001001174,72
300010001001175,72
300010001001176,72
300010001001177,72
300010001001178,72
300010001001179,72
300010001001180,72
300010001001181,72
300010001001182,72
300010001001187,72
300010001001188,72
300010001001193,72
300010001001195,72
300010001001196,72
300010001001199,72
300010001001200,72
300010001001201,72
300010001001202,72
300010001001203,72
300010001001204,72
300010001001205,72
300010001001206,72
300010001001207,72
300010001001208,72
300010001001209,72
300010001001210,72
300010001001211,72
300010001001247,72
300010001001248,72
300010001001249,72
300010001001428,72
300010001001429,72
300010001001430,72
300010001001431,72
300010001001432,72
300010001001433,72
300010001001434,72
300010001001435,72
300010001001436,72
300010001001439,72
300010001001440,72
300010001001441,72
300010001001442,72
300010001001443,72
300010001001444,72
300010001001445,72
300010001001446,72
300010001001447,72
300010001001448,72
300010001001449,72
300010001001450,72
300010001001452,72
300010001001453,72
300010001001454,72
300010001001455,72
300010001001456,72
300010001001463,72
300010001001464,72
300010001001481,72
300010001001482,72
300010001001483,72
300010001001058,72
300010001001183,72
300010001001184,72
300010001001185,72
300010001001186,72
300010001001189,72
300010001001190,72
300010001001191,72
300010001001192,72
300010001001194,72
300010001001197,72
300010001001198,72
300010001001212,72
