GEOID20,District
120010002011000,8
120010002011001,8
120010002011002,8
120010002011003,8
120010002011004,8
120010002011005,8
120010002011006,8
120010002011007,8
120010002011008,8
120010002011009,8
120010002011010,8
120010002011011,8
120010002011012,8
120010002011013,8
120010002011014,8
120010002011015,8
120010002011016,8
120010002011017,8
120010002011018,8
120010002011019,8
120010002011020,8
120010002011021,8
120010002011022,8
120010002011023,8
120010002011024,8
120010002011025,8
120010002011026,8
120010002012000,8
120010002012001,8
120010002012002,8
120010002012003,8
120010002012004,8
120010002012005,8
120010002012006,8
120010002012007,8
120010002012008,8
120010002012009,8
120010002012010,8
120010002012011,8
120010002012012,8
120010002012013,8
120010002012014,8
120010002012015,8
120010002012016,8
120010002012017,8
120010002012018,8
120010002012019,8
120010002012020,8
120010002012021,8
120010002012022,8
120010002012023,8
120010002012024,8
120010002012025,8
120010002012026,8
120010002012027,8
120010002012028,8
120010002012029,8
120010002013000,8
120010002013001,8
120010002013002,8
120010002013003,8
120010002013004,8
120010002013005,8
120010002013006,8
120010002013007,8
120010002013008,8
120010002013009,8
120010002013010,8
120010002013011,8
120010002013014,8
120010002013016,8
120010002021000,8
120010002021001,8
120010002021002,8
120010002021003,8
120010002021004,8
120010002021007,8
120010002021008,8
120010002021009,8
120010002021010,8
120010002021011,8
120010005001002,8
120010005001003,8
120010005001004,8
120010005001005,8
120010005001010,8
120010005001011,8
120010005001012,8
120010005001013,8
120010005001014,8
120010005001019,8
120010005001020,8
120010005001021,8
120010005001049,8
120010005001050,8
120010005001051,8
120010005001052,8
120010005001053,8
120010005001054,8
120010005001055,8
120010005001061,8
120010005001062,8
120010005001063,8
120010005001064,8
120010005001065,8
120010005001078,8
120010005001079,8
120010005001080,8
120010005001081,8
120010005001082,8
120010005001083,8
120010005001084,8
120010005001085,8
120010002013012,8
120010002013013,8
120010002013015,8
120010002013017,8
120010002013018,8
120010002013019,8
120010002013020,8
120010002013021,8
120010002013022,8
120010002013023,8
120010002013024,8
120010002013025,8
120010002013026,8
120010002013027,8
120010002013028,8
120010002014000,8
120010002014001,8
120010002014002,8
120010002014003,8
120010002014004,8
120010002014005,8
120010002014006,8
120010002014007,8
120010002014008,8
120010002014009,8
120010002014010,8
120010002021005,8
120010002021006,8
120010002021012,8
120010002021027,8
120010002021028,8
120010002021029,8
120010002022000,8
120010002022001,8
120010002022002,8
120010002022003,8
120010002022004,8
120010002022005,8
120010002022006,8
120010002022007,8
120010002022008,8
120010002022009,8
120010002022010,8
