GEOID20,District
130019501001000,19
130019501001001,19
130019501001002,19
130019501001003,19
130019501001004,19
130019501001005,19
130019501001006,19
130019501001007,19
130019501001008,19
130019501001009,19
130019501001010,19
130019501001011,19
130019501001012,19
130019501001013,19
130019501001014,19
130019501001015,19
130019501001016,19
130019501001017,19
130019501001018,19
130019501001019,19
130019501001020,19
130019501001021,19
130019501001022,19
130019501001023,19
130019501001024,19
130019501001025,19
130019501001026,19
130019501001027,19
130019501001028,19
130019501001029,19
130019501001030,19
130019501001031,19
130019501001032,19
130019501001033,19
130019501001034,19
130019501001035,19
130019501001036,19
130019501001037,19
130019501001038,19
130019501001039,19
130019501001040,19
130019501001041,19
130019501001042,19
130019501001043,19
130019501001044,19
130019501001045,19
130019501001046,19
130019501001047,19
130019501001048,19
130019501001049,19
130019501001050,19
130019501001051,19
130019501001052,19
130019501001053,19
130019501001054,19
130019501001055,19
130019501001056,19
130019501001057,19
130019501001058,19
130019501001059,19
130019501001060,19
130019501001061,19
130019501001062,19
130019501001063,19
130019501001064,19
130019501001065,19
130019501001066,19
130019501001067,19
130019501001068,19
130019501001069,19
130019501001070,19
130019501001071,19
130019501001072,19
130019501001073,19
130019501001074,19
130019501001075,19
130019501001076,19
130019501001077,19
130019501001078,19
130019501001079,19
130019501001080,19
130019501001082,19
130019501001083,19
130019501001090,19
130019501001091,19
130019501001092,19
130019501001093,19
130019501001094,19
130019501001095,19
130019501003015,19
130019501003016,19
130019501003017,19
130019501003018,19
130019501003019,19
130019501003020,19
130019501003021,19
130019501003022,19
130019501003023,19
130019501003024,19
130019501003025,19
130019501003026,19
130019501003027,19
130019501003028,19
130019501003029,19
130019501003030,19
130019501003031,19
130019501003032,19
130019501003033,19
130019501003034,19
130019501003035,19
130019501003036,19
130019501003037,19
130019501003044,19
130019501003045,19
130019501003046,19
130019501003047,19
130019501003048,19
130019501003049,19
130019501003053,19
130019501003054,19
130019501003055,19
130019501003056,19
130019501003057,19
130019501003058,19
130019501003059,19
130019501003060,19
130019501003061,19
130019501003062,19
130019501003063,19
130019501003064,19
130019501003065,19
130019501003066,19
130019501003067,19
130019501003068,19
130019501003069,19
130019501003072,19
130019501001081,19
130019501001084,19
130019501001085,19
130019501001086,19
130019501001087,19
130019501001088,19
130019501001089,19
130019501003070,19
130019501003071,19
130019501003073,19
130019502012000,19
130019502012001,19
130019502012002,19
130019502012003,19
130019502012004,19
130019502012005,19
130019502012006,19
130019502012007,19
130019502012008,19
130019502012009,19
130019502012010,19
130019502012011,19
130019502012012,19
130019502012013,19
130019502012014,19
130019502012015,19
130019502021000,19
130019502021001,19
130019502021002,19
130019502021003,19
130019502021004,19
130019502021005,19
130019502021006,19
130019502021007,19
130019502021008,19
130019502021010,19
130019502021011,19
130019502021013,19
130019502021014,19
130019502021015,19
130019502021016,19
130019502021017,19
130019502021018,19
130019502021019,19
130019502021020,19
130019502021021,19
130019502021022,19
130019502021023,19
130019502021024,19
130019502021025,19
130019502021026,19
130019502021027,19
130019502021035,19
130019502021042,19
130019502021043,19
