GEOID20,District
200019526001000,12
200019526001001,12
200019526001002,12
200019526001003,12
200019526001004,12
200019526001005,12
200019526001006,12
200019526001007,12
200019526001008,12
200019526001009,12
200019526001010,12
200019526001011,12
200019526001012,12
200019526001013,12
200019526001014,12
200019526001015,12
200019526001016,12
200019526001017,12
200019526001018,12
200019526001019,12
200019526001020,12
200019526001021,12
200019526001022,12
200019526001023,12
200019526001024,12
200019526001030,12
200019526001031,12
200019526001032,12
200019526001033,12
200019526001034,12
200019526001035,12
200019526001036,12
200019526001037,12
200019526001038,12
200019526001039,12
200019526001040,12
200019526001041,12
200019526001042,12
200019526001043,12
200019526001049,12
200019526001050,12
200019526001051,12
200019526001052,12
200019526001053,12
200019526001054,12
200019526001055,12
200019526001056,12
200019526001057,12
200019526001058,12
200019526001059,12
200019526001060,12
200019526001061,12
200019526001062,12
200019526001063,12
200019526001064,12
200019526001065,12
200019526001066,12
200019526001067,12
200019526001068,12
200019526001069,12
200019526001070,12
200019526001071,12
200019526001072,12
200019526001073,12
200019526001074,12
200019526001075,12
200019526001076,12
200019526001077,12
200019526001078,12
200019526001079,12
200019526001080,12
200019526001081,12
200019526001082,12
200019526001083,12
200019526001084,12
200019526001085,12
200019526001086,12
200019526001087,12
200019526001088,12
200019526001089,12
200019526001090,12
200019526001091,12
200019526001092,12
200019526001093,12
200019526001094,12
200019526001095,12
200019526001102,12
200019526001103,12
200019526001104,12
200019526001105,12
200019526001106,12
200019526001107,12
200019526001114,12
200019526001115,12
200019526001116,12
200019526001488,12
200019526001492,12
200019526001493,12
200019526001025,12
200019526001026,12
200019526001027,12
200019526001028,12
200019526001029,12
200019526001044,12
200019526001045,12
200019526001046,12
200019526001047,12
200019526001048,12
200019526001108,12
200019526001109,12
200019526001110,12
200019526001111,12
200019526001112,12
200019526001113,12
200019526001123,12
200019527001000,12
200019527001001,12
200019527001002,12
200019527001003,12
200019527001038,12
200019527001039,12
200019527001040,12
200019527001041,12
200019527001042,12
200019527001043,12
200019527001044,12
200019527001045,12
200019527001112,12
200019527001113,12
200019527001114,12
200019527001115,12
200019527001116,12
200019527001117,12
200019527001118,12
200019527001121,12
200019527001122,12
200019527001123,12
200019526001096,12
200019526001097,12
200019526001098,12
200019526001099,12
200019526001100,12
200019526001101,12
200019526001117,12
200019526001118,12
200019526001119,12
200019526001124,12
200019526001125,12
200019526001126,12
200019526001127,12
200019526001128,12
200019526001129,12
200019526001130,12
200019526001131,12
200019526001132,12
200019526001133,12
200019526001134,12
200019526001135,12
200019526001136,12
200019526001137,12
200019526001138,12
200019526001139,12
200019526001140,12
200019526001141,12
200019526001142,12
200019526001143,12
200019526001144,12
200019526001145,12
200019526001146,12
200019526001147,12
200019526001154,12
200019526001158,12
200019526001159,12
200019526001160,12
200019526001161,12
200019526001162,12
200019526001163,12
200019526001164,12
200019526001165,12
200019526001166,12
200019526001167,12
200019526001168,12
200019526001169,12
200019526001170,12
200019526001171,12
200019526001172,12
200019526001173,12
200019526001174,12
200019526001175,12
200019526001176,12
200019526001177,12
200019526001178,12
200019526001179,12
200019526001180,12
200019526001181,12
200019526001182,12
200019526001183,12
200019526001184,12
200019526001185,12
200019526001186,12
200019526001187,12
200019526001188,12
200019526001189,12
200019526001190,12
200019526001191,12
200019526001192,12
200019526001193,12
200019526001194,12
200019526001195,12
200019526001196,12
200019526001197,12
200019526001198,12
200019526001199,12
200019526001200,12
