GEOID20,District
220019601011000,26
220019601011001,26
220019601011002,26
220019601011003,26
220019601011004,26
220019601011005,26
220019601011006,26
220019601013000,26
220019601013001,26
220019601013002,26
220019601013003,26
220019601013004,26
220019601013005,26
220019601013006,26
220019601013007,26
220019601013008,26
220019601013009,26
220019601013010,26
220019601013011,26
220019601013012,26
220019601013013,26
220019601013014,26
220019601013015,26
220019601013016,26
220019601013017,26
220019601013018,26
220019601013019,26
220019601013020,26
220019601013021,26
220019601013022,26
220019601013023,26
220019601013024,26
220019601013025,26
220019601013026,26
220019601013027,26
220019601013028,26
220019601013029,26
220019601014000,26
220019601014001,26
220019601014002,26
220019601014003,26
220019601014004,26
220019601014005,26
220019601015005,26
220019601015006,26
220019601015007,26
220019601015008,26
220019601017000,26
220019601017001,26
220019601017002,26
220019601017003,26
220019601017004,26
220019601017005,26
220019601017006,26
220019601017007,26
220019601017008,26
220019601017009,26
220019601017010,26
220019601017011,26
220019601017012,26
220019601017013,26
220019601017014,26
220019601017015,26
220019601017016,26
220019601017017,26
220019601017018,26
220019601017019,26
220019601017020,26
220019601017021,26
220019601017022,26
220019601017023,26
220019601017024,26
220019601017025,26
220019601017026,26
220019601017027,26
220019601017028,26
220019601017029,26
220019601017030,26
220019601017031,26
220019601017032,26
220019601017033,26
220019601021000,26
220019601021001,26
220019601021002,26
220019601021007,26
220019601021008,26
220019601021016,26
220019601021017,26
220019601012000,26
220019601012001,26
220019601012002,26
220019601012003,26
220019601012004,26
220019601012005,26
220019601012006,26
220019601012014,26
220019601012015,26
220019601012016,26
220019601012017,26
220019601012018,26
220019601012019,26
220019601012020,26
220019601021003,26
220019601021004,26
220019601021005,26
220019601021006,26
220019601021009,26
220019601021010,26
220019601021011,26
220019601021012,26
220019601021013,26
220019601021014,26
220019601021015,26
220019601021018,26
220019601021019,26
220019601023022,26
220019601023023,26
220019601023024,26
220019601024000,26
220019601024001,26
220019601024002,26
220019601024003,26
220019601024004,26
220019601024005,26
220019601024006,26
220019601024007,26
220019601024008,26
220019601024009,26
220019601024010,26
220019601012007,26
220019601012008,26
220019601012009,26
220019601012010,26
220019601012011,26
220019601012012,26
220019601012013,26
220019601012021,26
220019601012022,26
220019601016000,26
220019601016001,26
220019601016002,26
220019601016003,26
220019601016004,26
220019601016005,26
220019601016006,26
220019601016007,26
220019601016008,26
220019601016009,26
220019601016010,26
220019601016011,26
220019601016012,26
220019601022003,26
220019601022004,26
220019601022005,26
220019601022006,26
220019601022007,26
220019601022008,26
220019601022009,26
220019601022010,26
220019601022011,26
220019601022012,26
220019601023015,26
220019601023016,26
220019601023019,26
220019601023020,26
220019601023021,26
220019602011000,28
220019602011001,28
220019602011002,28
220019602011006,28
220019602011007,28
220019602011008,28
220019602011009,28
220019602011010,28
220019602011011,28
220019602011012,28
220019602011013,28
220019602011014,28
220019602011020,28
220019602011021,28
220019602011022,28
220019602011023,28
220019602011024,28
220019602011025,28
220019602011026,28
220019602011027,28
220019602012000,28
220019602012001,28
220019602012002,28
220019602012003,28
220019602012004,28
220019602012005,28
220019602012006,28
220019602012007,28
220019602012008,28
220019602012009,28
220019602012010,28
220019602012011,28
220019602012012,28
220019602012013,28
220019602012014,28
220019602012015,28
220019602012016,28
220019602012017,28
220019602012018,28
220019602012019,28
220019602012020,28
220019602012021,28
220019602012022,28
220019602012023,28
220019602012024,28
220019602012025,28
220019602012026,28
220019602012027,28
220019602012028,28
220019602012029,28
220019602012030,28
220019602012031,28
220019602012032,28
220019602013006,28
220019602013007,28
220019602013008,28
220019602013013,28
220019602013014,28
220019602013015,28
220019602013018,28
220019602013019,28
220019602013020,28
220019602013021,28
220019602013022,28
220019602013023,28
220019602013024,28
220019602013025,28
220019602013026,28
220019602013027,28
220019602013028,28
220019602013029,28
220019602013030,28
220019602013031,28
220019602016000,28
220019602016005,28
220019602016006,28
220019602016007,28
220019602016008,28
220019602016009,28
220019602016010,28
220019602016014,28
220019602016015,28
220019602016016,28
220019602016017,28
220019602016018,28
220019602016019,28
220019602016020,28
220019602011003,28
220019602011004,28
220019602011005,28
220019602011015,28
220019602011016,28
220019602011017,28
220019602011018,28
220019602011019,28
220019602011030,28
220019602015000,28
220019602015001,28
220019602015002,28
220019602015003,28
220019602015004,28
220019602015005,28
220019602015006,28
220019602015007,28
220019602015008,28
220019602015009,28
220019602015010,28
220019602015011,28
220019602015012,28
220019602015013,28
220019602015014,28
220019602016001,28
220019602016002,28
220019602016003,28
220019602016004,28
220019602016011,28
220019602016012,28
220019602016013,28
220019602023000,28
220019602023001,28
220019602023002,28
220019602023003,28
220019602023004,28
220019602023005,28
220019602023006,28
220019602023007,28
220019602023008,28
220019602023009,28
220019602023017,28
220019602023018,28
220019602023019,28
220019602023020,28
220019602023021,28
220019602023022,28
220019602023023,28
220019602023024,28
220019602023025,28
220019602023026,28
220019602011028,25
220019602011029,25
220019602023031,25
220019602023032,25
220019602023033,25
220019604011000,25
220019604011001,25
220019604011002,25
220019604011003,25
220019604011004,25
220019604011005,25
220019604011006,25
220019604011007,25
220019604011008,25
220019604011009,25
220019604011010,25
220019604011011,25
220019604011012,25
220019604011013,25
220019604011014,25
220019604011015,25
220019604011016,25
220019604012000,25
220019604012001,25
220019604012002,25
220019604012003,25
220019604012004,25
220019604012005,25
220019604012006,25
220019604012007,25
220019604012008,25
220019604012009,25
220019604014000,25
220019604014001,25
220019604014002,25
220019604014003,25
220019604014004,25
220019604014005,25
220019604014006,25
220019604014007,25
220019604014008,25
220019604014009,25
220019604014010,25
220019604014011,25
220019604014012,25
220019604014013,25
220019604014014,25
220019604014015,25
220019604015002,25
220019604032002,25
220019604032003,25
220019604032004,25
220019604032005,25
220019605031000,25
220019605031001,25
