GEOID20,District
250010101001000,40
250010101001001,40
250010101001002,40
250010101001003,40
250010101001004,40
250010101001005,40
250010101001006,40
250010101001007,40
250010101001008,40
250010101001009,40
250010101001010,40
250010101001011,40
250010101001012,40
250010101001013,40
250010101001014,40
250010101001015,40
250010101001016,40
250010101001017,40
250010101001018,40
250010101001019,40
250010101001020,40
250010101001021,40
250010101001022,40
250010101001023,40
250010101001024,40
250010101001025,40
250010101001026,40
250010101001027,40
250010101001028,40
250010101001029,40
250010101001030,40
250010101001031,40
250010101001032,40
250010101001033,40
250010101001034,40
250010101001035,40
250010101001036,40
250010101001037,40
250010101001038,40
250010101001039,40
250010101001040,40
250010101001041,40
250010101001042,40
250010101001043,40
250010101001044,40
250010101001045,40
250010101001046,40
250010101001047,40
250010101001048,40
250010101001049,40
250010101001050,40
250010101001051,40
250010101001052,40
250010101001053,40
250010101001054,40
250010101001055,40
250010101001056,40
250010101002000,40
250010101002001,40
250010101002002,40
250010101002003,40
250010101002004,40
250010101002005,40
250010101002006,40
250010101002007,40
250010101002008,40
250010101002009,40
250010101002010,40
250010101002011,40
250010101002012,40
250010101002013,40
250010101002014,40
250010101002015,40
250010101002016,40
250010101002017,40
250010101002018,40
250010101002019,40
250010101002020,40
250010101003000,40
250010101003001,40
250010101003002,40
250010101003003,40
250010101003004,40
250010101003005,40
250010101003006,40
250010101003007,40
250010101003008,40
250010101003009,40
250010101003010,40
250010101003011,40
250010101003012,40
250010101003013,40
250010101003014,40
250010101004000,40
250010101004001,40
250010101004002,40
250010101004003,40
250010101004004,40
250010101004005,40
250010101004006,40
250010101004007,40
250010101004008,40
250010101004009,40
250010101004010,40
250010101004011,40
250010101004012,40
250010101004013,40
250010101004014,40
250010101004015,40
250010101004016,40
250010101004017,40
250010101004018,40
250010101005000,40
250010101005001,40
250010101005002,40
250010101005003,40
250010101005004,40
250010101005005,40
250010101005006,40
250010101005007,40
250010101005008,40
250010101005009,40
250010101005010,40
250010101005011,40
250010101005012,40
250010101005013,40
250010101005014,40
250010101005015,40
250010101005016,40
250010101005017,40
250010101005018,40
250010101005019,40
250010101005020,40
250010101005021,40
250010101005022,40
250010101005023,40
250010101005024,40
250010101005025,40
250010101005026,40
250010101005027,40
250010101005028,40
250010101005029,40
250010101005030,40
250019900000009,40
250019900000062,40
250010102061000,40
250010102061001,40
250010102061002,40
250010102061003,40
250010102061004,40
250010102061005,40
250010102061006,40
250010102061007,40
250010102061008,40
250010102061009,40
250010102061010,40
250010102061011,40
250010102061012,40
250010102061013,40
250010102061014,40
250010102061015,40
250010102061016,40
250010102061017,40
250010102061018,40
250010102061019,40
250010102061020,40
250010102061021,40
250010102061022,40
250010102061023,40
250010102061024,40
250010102061025,40
250010102061026,40
250010102061027,40
250010102061028,40
250010102061029,40
250010102061030,40
250010102061031,40
250010102061032,40
250010102061033,40
250010102061034,40
250010102061035,40
250010102061036,40
250010102061037,40
250010102061038,40
250010102061039,40
250010102061040,40
250010102061041,40
250010102061042,40
250010102061043,40
250010102061044,40
250010102061045,40
250010102061046,40
250010102062000,40
250010102062001,40
250010102062002,40
250010102062003,40
250010102062004,40
250010102062005,40
