GEOID20,District
260010001001000,36
260010001001001,36
260010001001002,36
260010001001003,36
260010001001004,36
260010001001005,36
260010001001006,36
260010001001007,36
260010001001008,36
260010001001009,36
260010001001010,36
260010001001011,36
260010001001012,36
260010001001013,36
260010001001014,36
260010001001015,36
260010001001016,36
260010001001017,36
260010001001018,36
260010001001019,36
260010001001020,36
260010001001021,36
260010001001022,36
260010001001023,36
260010001001024,36
260010001001025,36
260010001001026,36
260010001001027,36
260010001001028,36
260010001001029,36
260010001001030,36
260010001001031,36
260010001001032,36
260010001001033,36
260010001001034,36
260010001001035,36
260010001001036,36
260010001001037,36
260010001001038,36
260010001001039,36
260010001001040,36
260010001001041,36
260010001001042,36
260010001001043,36
260010001001044,36
260010001001045,36
260010001001046,36
260010001001047,36
260010001001061,36
260010001001062,36
260010001001063,36
260010001001064,36
260010001001072,36
260010001001073,36
260010001001074,36
260010001001075,36
260010001001076,36
260010001001077,36
260010001001078,36
260010001001079,36
260010001001080,36
260010001001081,36
260010001001082,36
260010001001083,36
260010001001084,36
260010001001085,36
260010001001086,36
260010001001087,36
260010001001088,36
260010001001090,36
260010001001091,36
260010001001092,36
260010001001093,36
260010001001094,36
260010001001096,36
260010001001097,36
260010001001098,36
260010001002046,36
260010001002047,36
260010001002048,36
260010001002049,36
260010001002050,36
260010001002051,36
260010001002052,36
260019701001001,36
260019701001002,36
260019701001003,36
260019701001004,36
260019701001005,36
260019701001006,36
260019701001007,36
260019701001008,36
260019701001009,36
260019701001010,36
260019701001011,36
260019701001012,36
260019701001013,36
260019701001015,36
260019701001016,36
260019701001017,36
260019701001018,36
260019701001019,36
260019701001020,36
260019701001021,36
260019701001022,36
260019701001023,36
260019701001024,36
260019701001035,36
260019701001036,36
260019701001040,36
260019701001041,36
260019701001042,36
260019701001043,36
260019705002051,36
260019705002052,36
260019705002053,36
260019705002079,36
260019705002080,36
260019705002081,36
260019705002082,36
260010001001048,36
260010001001049,36
260010001001050,36
260010001001051,36
260010001001052,36
260010001001053,36
260010001001054,36
260010001001055,36
260010001001056,36
260010001001057,36
260010001001058,36
260010001001059,36
260010001001060,36
260010001001065,36
260010001001066,36
260010001001067,36
260010001001068,36
260010001001069,36
260010001001070,36
260010001001071,36
260010001001089,36
260010001001095,36
260010001001099,36
260019704001000,36
260019704001001,36
260019704001002,36
260019704001003,36
260019704001004,36
260019704001005,36
260019704001006,36
260019704001007,36
260019704001008,36
260019704001009,36
260019704001010,36
260019704001011,36
260019704001012,36
260019704001013,36
260019704001014,36
260019704001015,36
260019704001016,36
260019704001017,36
260019704001018,36
260019704001019,36
260019704001020,36
260019704001021,36
260019704001022,36
260019704001023,36
260019704001024,36
260019704001025,36
260019704001026,36
260019704001027,36
260019704001028,36
260019704001029,36
260019704001030,36
260019704001031,36
260019704001032,36
260019704001033,36
260019704001034,36
260019704001035,36
260019704001036,36
260019704001037,36
260019704001038,36
260019704001042,36
260019704001043,36
260019704001044,36
260019704001062,36
260019704001096,36
260019704001097,36
260019704002034,36
260019704002035,36
260019705002050,36
260019705002070,36
260019705002071,36
260019705002072,36
260019705002073,36
260019705002074,36
260019705002075,36
260019705002076,36
260019705002077,36
260019705002078,36
260019705002083,36
260019705002084,36
260019705002085,36
260019705002087,36
260019705002088,36
260019705002089,36
260019705002090,36
260019705002091,36
260019705002092,36
260019705002093,36
260019705002095,36
260019705002096,36
260019705002107,36
260010001002000,36
260010001002001,36
260010001002002,36
260010001002003,36
260010001002004,36
260010001002005,36
260010001002006,36
260010001002007,36
260010001002008,36
260010001002009,36
260010001002010,36
260010001002011,36
260010001002012,36
260010001002013,36
260010001002014,36
260010001002015,36
260010001002016,36
260010001002017,36
260010001002018,36
260010001002019,36
260010001002020,36
260010001002021,36
260010001002022,36
260010001002023,36
260010001002024,36
260010001002025,36
260010001002026,36
260010001002027,36
260010001002028,36
260010001002029,36
260010001002030,36
260010001002031,36
260010001002032,36
260010001002033,36
260010001002034,36
260010001002035,36
260010001002036,36
260010001002037,36
260010001002038,36
260010001002039,36
260010001002040,36
260010001002041,36
260010001002042,36
260010001002043,36
260010001002044,36
260010001002045,36
260010001002053,36
260019705002000,36
260019705002001,36
260019705002002,36
260019705002003,36
260019705002004,36
260019705002005,36
260019705002006,36
260019705002007,36
260019705002021,36
260019705002022,36
260019705002023,36
260019705002024,36
260019705002025,36
260019705002026,36
260019705002027,36
260019705002028,36
260019705002029,36
260019705002054,36
260019705002106,36
260019701001000,36
260019701001027,36
260019701001029,36
260019701001031,36
260019701001032,36
260019701002000,36
260019706001000,36
260019900000001,36
260019900000002,36
260019701001014,36
260019701001025,36
260019701001026,36
260019701001028,36
260019701001030,36
260019701001033,36
260019701001034,36
260019701001037,36
260019701001038,36
260019701001039,36
260019701001044,36
260019701001045,36
260019701001046,36
260019701001047,36
260019701001048,36
260019701001049,36
260019701001050,36
260019701001051,36
260019701001052,36
260019701001053,36
260019701001054,36
260019701001055,36
260019701001056,36
260019701001057,36
260019701001058,36
260019701001059,36
260019701001060,36
260019701001061,36
260019701001062,36
260019701001063,36
260019701001064,36
260019701001065,36
260019701001066,36
260019701001067,36
260019701001068,36
260019701001069,36
260019701001070,36
260019701001071,36
260019701001072,36
260019701001073,36
260019701001074,36
260019701001075,36
260019701001076,36
260019701001077,36
260019701001078,36
260019701001079,36
260019701002001,36
260019701002004,36
260019701002005,36
260019701002006,36
260019701002007,36
260019701002008,36
260019701002009,36
260019701002010,36
260019701002011,36
260019701002015,36
260019701002016,36
260019701002017,36
260019701002025,36
260019701002026,36
260019701002029,36
260019701002030,36
260019701002031,36
260019701002032,36
260019701002033,36
260019701002034,36
260019701002043,36
260019701002044,36
260019701002047,36
260019701002048,36
260019701002049,36
260019701002050,36
260019701002051,36
260019701002052,36
260019701002053,36
260019701002054,36
260019701002055,36
260019704001055,36
260019704001056,36
260019704001065,36
260019704001066,36
260019704001093,36
260019704001094,36
260019704002000,36
260019704002001,36
260019704002002,36
260019704002003,36
260019704002004,36
260019704002005,36
260019704002006,36
260019704002007,36
260019704002008,36
260019704002009,36
260019704002010,36
260019704002011,36
260019704002012,36
260019704002015,36
260019704002133,36
260019701002002,36
260019701002003,36
260019701002012,36
260019701002013,36
260019701002014,36
260019701002018,36
260019701002019,36
260019701002020,36
260019701002021,36
260019701002022,36
260019701002023,36
260019701002024,36
260019701002027,36
260019701002028,36
260019701002035,36
260019701002036,36
260019701002037,36
260019701002038,36
260019701002039,36
260019701002040,36
260019701002041,36
260019701002042,36
260019701002045,36
260019701002060,36
260019701002046,36
260019701002056,36
260019701002057,36
260019701002058,36
260019701002059,36
260019704002013,36
260019704002014,36
260019704002134,36
260019706001001,36
260019706001002,36
260019706001003,36
260019706001004,36
260019706001005,36
260019706001006,36
260019706001007,36
260019706001008,36
260019706001009,36
260019706001010,36
260019706001011,36
260019706001012,36
260019706001013,36
260019706001014,36
260019706001015,36
260019706001016,36
260019706001017,36
260019706001018,36
260019706001019,36
260019706001020,36
260019706001021,36
260019706001022,36
260019706001023,36
260019706001024,36
260019706001025,36
260019706001026,36
260019706001027,36
260019706002000,36
260019706002001,36
260019706002002,36
260019706002003,36
260019706002004,36
260019706002005,36
260019706002006,36
260019706002007,36
260019706002008,36
260019706002009,36
260019706002010,36
260019706002011,36
260019706002012,36
260019706002015,36
260019706002016,36
260019706002022,36
260019706002023,36
260019706002024,36
260019706002025,36
260019706002026,36
260019706002032,36
260019704001039,36
260019704001040,36
260019704001041,36
260019704001045,36
260019704001046,36
260019704001047,36
260019704001048,36
260019704001049,36
260019704001050,36
260019704001051,36
260019704001052,36
260019704001053,36
260019704001054,36
260019704001057,36
260019704001058,36
260019704001059,36
260019704001060,36
260019704001061,36
260019704001063,36
260019704001064,36
260019704001067,36
260019704001068,36
260019704001069,36
260019704001070,36
260019704001071,36
260019704001072,36
260019704001073,36
260019704001074,36
260019704001075,36
260019704001076,36
260019704001077,36
260019704001078,36
260019704001079,36
260019704001080,36
260019704001081,36
260019704001082,36
260019704001083,36
260019704001084,36
260019704001085,36
260019704001086,36
260019704001087,36
260019704001088,36
260019704001089,36
260019704001090,36
260019704001091,36
260019704001092,36
260019704001095,36
260019704001098,36
260019704001099,36
260019704002016,36
260019704002017,36
260019704002018,36
260019704002019,36
260019704002020,36
260019704002021,36
260019704002022,36
260019704002023,36
260019704002024,36
260019704002025,36
260019704002052,36
260019704002053,36
260019704002054,36
260019704002058,36
260019704002064,36
260019704002065,36
260019704002066,36
260019704002132,36
260019704002026,36
260019704002027,36
260019704002028,36
260019704002029,36
260019704002030,36
