GEOID20,District
310019654001000,33
310019654001001,33
310019654001002,33
310019654001003,33
310019654001004,33
310019654001005,33
310019654001006,33
310019654001007,33
310019654001008,33
310019654001009,33
310019654001010,33
310019654001011,33
310019654001012,33
310019654001013,33
310019654001014,33
310019654001015,33
310019654001016,33
310019654001017,33
310019654001018,33
310019654001019,33
310019654001020,33
310019654001021,33
310019654001022,33
310019654001023,33
310019654001024,33
310019654001025,33
310019654001026,33
310019654001027,33
310019654001028,33
310019654001029,33
310019654001030,33
310019654001031,33
310019654001032,33
310019654001033,33
310019654001034,33
310019654001035,33
310019654001036,33
310019654001037,33
310019654001038,33
310019654001039,33
310019654001040,33
310019654001041,33
310019654001042,33
310019654001043,33
310019654001044,33
310019654001045,33
310019654001046,33
310019654001047,33
310019654001048,33
310019654001049,33
310019654001050,33
310019654001051,33
310019654001052,33
310019654001053,33
310019654001054,33
310019654001055,33
310019654001056,33
310019654001057,33
310019654001058,33
310019654001060,33
310019654001063,33
310019654001064,33
310019654001065,33
310019654001066,33
310019654001067,33
310019654001068,33
310019654001069,33
310019654001070,33
310019654001075,33
310019654001085,33
310019654001086,33
310019654001093,33
310019654001094,33
310019654001095,33
310019654001096,33
310019654001097,33
310019654001101,33
310019654001102,33
310019654001104,33
310019654001105,33
310019654001106,33
310019654001107,33
310019654001108,33
310019654003000,33
310019654003001,33
310019654003002,33
310019654003003,33
310019654003004,33
310019655001006,33
310019655001007,33
310019655001008,33
310019655001010,33
310019655001011,33
310019655001012,33
310019655001014,33
310019655001018,33
310019655001019,33
310019655001020,33
310019655001024,33
310019655001027,33
310019655001035,33
310019655001036,33
310019655001037,33
310019655001038,33
310019655001068,33
310019655001070,33
310019655001071,33
310019655001072,33
310019655001073,33
310019655001074,33
310019655001075,33
310019655001076,33
310019656001000,33
310019656001001,33
310019656001002,33
310019656001005,33
310019656001007,33
310019656001008,33
310019656001009,33
310019656001017,33
310019656001018,33
310019656001020,33
310019656001021,33
310019656001023,33
310019659001000,33
310019659001001,33
310019659001016,33
310019654001059,33
310019654001061,33
310019654001062,33
310019654001071,33
310019654001072,33
310019654001073,33
310019654001074,33
310019654001076,33
310019654001077,33
310019654001078,33
310019654001079,33
310019654001080,33
310019654001081,33
310019654001082,33
310019654001083,33
310019654001084,33
310019654001087,33
310019654001088,33
310019654001089,33
310019654001100,33
310019654001103,33
310019655001002,33
310019655001003,33
310019655001004,33
310019655001005,33
310019655001009,33
310019655001013,33
310019655001015,33
310019655001016,33
310019655001017,33
310019655001021,33
310019655001022,33
310019655001023,33
310019655001025,33
310019655001026,33
310019655001028,33
310019655001029,33
310019655001030,33
310019655001031,33
310019655001032,33
310019655001033,33
310019655001034,33
310019655001039,33
310019655001040,33
310019655001041,33
310019655001042,33
310019655001043,33
310019655001044,33
310019655001045,33
310019655001047,33
310019655001048,33
310019655001050,33
310019655001051,33
310019655001057,33
310019655001061,33
310019655001062,33
310019655001090,33
310019655001091,33
310019655001092,33
310019655001100,33
310019655001101,33
310019655001108,33
310019655003002,33
310019655003003,33
310019655003004,33
310019655003011,33
310019655003012,33
310019655003017,33
310019655003018,33
310019655003019,33
310019655004000,33
310019655004001,33
310019659001033,33
310019654001090,33
310019654001091,33
310019654001092,33
