GEOID20,District
291892189021009,1
291892189021015,1
291892189021016,1
291892189021017,1
291892189021018,1
291892189021019,1
291892189022011,1
291892189022013,1
291892189022014,1
291892189022015,1
291892189022016,1
291892133022021,1
291892133022022,1
291892133023000,1
291892133023001,1
291892133023002,1
291892133023003,1
291892133023004,1
291892133023005,1
291892134022007,1
291892133022017,1
291892133022018,1
291892134022002,1
291892134022003,1
291892134022004,1
291892134022005,1
291892134022006,1
291892134022009,1
291892109262014,1
291892109253003,1
291892109253005,1
291892149011000,1
291892149011001,1
291892149011002,1
291892149011003,1
291892149012004,1
291892159023011,1
290019503001002,6
290019503001012,6
290019503001013,6
290019503001015,6
290019503001018,6
290019503001019,6
290019503001020,6
290019503001026,6
290019503001027,6
290019503001028,6
290019503001029,6
290019503001030,6
290019503001032,6
290019503001033,6
290019503001034,6
290019503001035,6
290019503001036,6
290019503001037,6
290019503001038,6
290019503001039,6
290019503002011,6
290019503002012,6
290019503002013,6
290019503002014,6
290019503002015,6
290019503002016,6
290019503002017,6
290019503002018,6
290019503002021,6
290019503002022,6
290019503002023,6
290019503002024,6
290019503002033,6
290019503002034,6
290019503002035,6
290019503002036,6
290019503002037,6
290019503002038,6
290019503002039,6
290019503002040,6
290019503002041,6
290019505011003,6
290019505011004,6
290019505011005,6
290019505011006,6
290019505011007,6
290019505011008,6
290019505011009,6
290019505011010,6
290019505011011,6
290019505011012,6
290019505011013,6
290019505011014,6
290019505011015,6
290019505011016,6
290019505011017,6
290019505011018,6
290019505011019,6
290019505011020,6
290019505011021,6
290019505011022,6
290019505011023,6
290019505011024,6
290019505011025,6
290019505011026,6
290019505011027,6
290019505011028,6
290019505011029,6
290019505011061,6
290019505011062,6
290019505011063,6
290019505012000,6
290019505012001,6
290019505012002,6
290019505012003,6
290019505012004,6
290019505012005,6
290019505012006,6
290019505012007,6
290019505012008,6
290019505012009,6
290019505012010,6
290019505012011,6
290019505012012,6
290019505012013,6
290019505012014,6
290019505012015,6
290019505012016,6
290019505012017,6
290019505012021,6
290019505012022,6
290019505012023,6
290019505012024,6
290019505012025,6
290019505012026,6
290019505012027,6
290019505012029,6
290019505012030,6
290019505012031,6
290019505012032,6
290019505012033,6
290019505013001,6
290019505013002,6
290019505013003,6
290019505013004,6
290019505013005,6
290019505013006,6
290019505013007,6
290019505013008,6
290019505013011,6
290019505013012,6
290019505013013,6
290019505013014,6
290019505013015,6
290019505013016,6
290019505013017,6
290019505013035,6
290019505013046,6
