GEOID20,District
390017702002020,2
390017702002021,2
390017702002022,2
390017702002023,2
390017702002024,2
390017702002025,2
390017702002026,2
390017702002027,2
390017702002028,2
390017702002029,2
390017702002030,2
390017702002031,2
390017702002032,2
390017702002051,2
390017702002052,2
390017702002053,2
390017702002054,2
390017702002055,2
390017702002056,2
390017702002060,2
390017702002061,2
390017702004001,2
390017702004002,2
390017702004003,2
390017702004004,2
390017702004011,2
390017702004012,2
390017702004013,2
390017702004016,2
390017702004048,2
390017702004049,2
390017702004050,2
390017702004051,2
390017702004055,2
390017702004056,2
390017702004062,2
390017703012012,2
390017703012013,2
390017703012014,2
390017703012017,2
390017703012018,2
390017703012019,2
390017703012020,2
390017703012021,2
390017703012055,2
390017703012056,2
390017703012057,2
390017703012058,2
390017703012059,2
390017703012061,2
390017703021000,2
390017703021001,2
390017703021005,2
390017703021006,2
390017703021007,2
390017703021009,2
390017703021010,2
390017703021011,2
390017703021012,2
390017703021016,2
390017703021017,2
390017703021018,2
390017703021019,2
390017703021020,2
390017703021021,2
390017703021022,2
390719551011024,2
390719551011025,2
390719551011026,2
390719551011027,2
390719551011028,2
390719551011029,2
390719551011030,2
390719551011031,2
390719551011032,2
390719551011033,2
390719551011034,2
390719551011035,2
390719551011036,2
390719551011037,2
390719551011038,2
390719551011039,2
390719551011054,2
390719551011056,2
390719551011071,2
390719551011072,2
390719551011073,2
390719551011074,2
390719551011075,2
390719551011076,2
390719551011077,2
390719551011078,2
390719551011079,2
390719551011080,2
390719551011081,2
390719551011082,2
390719551011083,2
390719551011084,2
390719551011085,2
390719551011086,2
390719551011087,2
390719551011088,2
390719551011089,2
390719551022025,2
390719551022026,2
390719551022027,2
390719551022028,2
390719551022029,2
390719551022030,2
390719551022031,2
390719551022032,2
390719551022033,2
390719551022034,2
390719551022071,2
390719551022072,2
390719551022073,2
390719551022074,2
390719551022075,2
390719551022076,2
390719551022077,2
390719551022078,2
390719551022079,2
390719551022083,2
390719551022084,2
390719551022085,2
390719551022086,2
390719551022087,2
390719551022088,2
390719551022089,2
390719551022090,2
390719552002047,2
390719552002062,2
390719552002063,2
390719552002065,2
390719552002066,2
390719552002067,2
390719552002068,2
390719552002070,2
390719552002071,2
390719552004000,2
390719552004001,2
390159512021009,2
390159512021010,2
390159512021011,2
390159512021012,2
390159512021013,2
390159512021014,2
390159512021015,2
390159512021017,2
390159512021018,2
390159512021019,2
390159512021020,2
390159512021022,2
390159512021023,2
390159512021024,2
390159512021027,2
390159512021028,2
390159512021029,2
390159512021030,2
390159512021031,2
390159512023000,2
390159512023009,2
390159512023010,2
390159512023011,2
390159512023012,2
390159512023033,2
390159512023036,2
390159512023037,2
390159512023040,2
390159512023041,2
390159513011002,2
390159513011018,2
390159513013000,2
390159513013001,2
390159513013027,2
390159513013028,2
390159513013029,2
390159513013030,2
390159512021000,2
390159512021001,2
390159512021002,2
390159512021003,2
390159512021004,2
390159512021005,2
390159512021006,2
390159512021007,2
390159512021008,2
390159512022015,2
390159512022016,2
390159512022017,2
390159512022018,2
390159512022022,2
390159512022023,2
390159512022024,2
390159512022025,2
390159512022026,2
390159512022029,2
390159512022030,2
390159512022031,2
390159512024016,2
390159512024017,2
390159512024043,2
390719552001031,2
390719552001032,2
390719552001040,2
390719552001046,2
390719552001047,2
390719552001048,2
390719552001065,2
390719552001066,2
390719552001067,2
390719552001068,2
390719552001072,2
390719552001073,2
390719552001074,2
390719552001075,2
390719552001076,2
390719552001077,2
390719552002077,2
390719552003001,2
390719552003002,2
390719552003003,2
390719552003004,2
390719552003005,2
390719552003006,2
390719552003007,2
390719552003008,2
390719552003009,2
390719552003010,2
390719552003011,2
390719552003012,2
390719552003013,2
390719552003014,2
390719552003015,2
390719552003016,2
390719552003017,2
390719552003018,2
390719552003019,2
390719552003022,2
390719552003023,2
390719552003024,2
390719552003025,2
390719552003026,2
390719552003027,2
390719552003028,2
390719552003029,2
390719552003030,2
390719552003031,2
390719552003032,2
390719552003033,2
390719552003034,2
390719552003035,2
390719552003036,2
390719552003037,2
390719552003038,2
390719552003039,2
390719552003040,2
390719552003041,2
390719552003042,2
390719552003043,2
390719552003048,2
390719552003049,2
390719552003050,2
390719552003051,2
390719552003052,2
390719552003053,2
390719552003054,2
390719552003055,2
390719552003056,2
390719552003066,2
390719552003067,2
390719552003068,2
390719552004010,2
390159518001015,2
390159518001017,2
390159518001018,2
390159518001019,2
390159518001020,2
390159518001021,2
390159518001023,2
390159518001025,2
390159518001031,2
390159518001033,2
390159518001034,2
390159518003021,2
390159518003022,2
390159518003025,2
390159518003026,2
390159518003027,2
