GEOID20,District
191070804003004,88
191070804003006,88
191070804003007,88
191070804003008,88
191070804003009,88
191070804003010,88
191070804003011,88
191070804003012,88
191070804003013,88
191070804003014,88
191070804003015,88
191070804003016,88
191070804003017,88
191070804003018,88
191070804003019,88
191070804003020,88
191070804003021,88
191070804003022,88
191070804003023,88
191070804003024,88
191070804003025,88
191070804003026,88
191070804003027,88
191070804003028,88
191070804003029,88
191070804003030,88
191070804003031,88
191070804003032,88
191070804003033,88
191070804003034,88
191070804003035,88
191070804003036,88
191070804003037,88
191070804003038,88
191070804003039,88
191070804003040,88
191070804003041,88
191070804003042,88
191070804003043,88
191070804003044,88
191070804003045,88
191070804003046,88
191070804003047,88
191070804003048,88
191070804003049,88
191070804003050,88
191070804003051,88
191070804003052,88
191070804003053,88
191070804003054,88
191070804003055,88
191070804003056,88
191070804003057,88
191070804003058,88
191070804003059,88
191070804003060,88
191070804001018,88
191070804001019,88
191070804001020,88
191070804001021,88
191070804001025,88
191070804001064,88
191070804001065,88
191070804001066,88
191070804001080,88
191070804001081,88
191070804001082,88
191070804001083,88
191070804001084,88
191070804001085,88
191070804001086,88
191070804001087,88
191070804001088,88
191070804001089,88
191070804001090,88
191070804001091,88
191070804001092,88
191070804001093,88
191070804001094,88
191070804001095,88
191070804001096,88
191070804001097,88
191070804001098,88
191070804001099,88
191070804002017,88
191070804002018,88
191070804002027,88
191070804002028,88
191070804002029,88
191070804002030,88
191070804002031,88
191070804002090,88
191070804002091,88
191070804001012,88
191070804001030,88
191070804001031,88
191070804001032,88
191070804001033,88
191070804001034,88
191070804001035,88
191070804001036,88
191070804001037,88
191070804001038,88
191070804001039,88
191070804001040,88
191070804001041,88
191070804001042,88
191070804001043,88
191070804001044,88
191070804001045,88
191070804001046,88
191070804001047,88
191070804001048,88
191070804001049,88
191070804001050,88
191070804001051,88
191070804001052,88
191070804001053,88
191070804001054,88
191070804001055,88
191070804001056,88
191070804001057,88
191070804001058,88
191070804001059,88
191070804001067,88
191070804001068,88
191070804001069,88
191070804001070,88
191070804001071,88
191070804001072,88
191070804001073,88
191070804001074,88
191070804001075,88
191070804001076,88
191070804001077,88
191070804001078,88
191070804001079,88
191070804001100,88
191070804001101,88
191070804003000,88
191070804003001,88
191070804003002,88
191070804003003,88
191070804003005,88
191070803001003,88
191070803001004,88
191070803001005,88
191070803001006,88
191070803001007,88
191070803001008,88
191070803001009,88
191070803001010,88
191070803001011,88
191070803001012,88
191070803001013,88
191070803001014,88
191070803001015,88
191070803001016,88
191070803001017,88
191070803001018,88
191070803001019,88
191070803001020,88
191070803001021,88
191070803001022,88
191070803001023,88
191070803001024,88
191070803001025,88
191070803001026,88
191070803001027,88
191070803001028,88
191070803001029,88
191070803001030,88
191070803001031,88
191070803001032,88
191070803001033,88
191070803001034,88
191070803001035,88
191070803001036,88
191070803001037,88
191070803001038,88
191070803001039,88
191070803001040,88
191070803001041,88
191070803001042,88
191070803001043,88
191070803001044,88
191070803001045,88
191070803001046,88
191070803001047,88
191070803001048,88
191070803001049,88
191070803001050,88
191070803001051,88
191070803001052,88
191070803001053,88
191070803001054,88
191070803001055,88
191070803001064,88
191070803001068,88
191070803001069,88
191070803001070,88
191070803001071,88
191070803001072,88
191070804001010,88
191070804001011,88
191070804001013,88
191070803001067,88
191070804001000,88
191070804001001,88
191070804001002,88
191070804001003,88
191070804001004,88
191070804001005,88
191070804001006,88
191070804001007,88
191070804001008,88
191070804001009,88
191070804001014,88
191070804001015,88
191070804001016,88
191070804001017,88
191070804001022,88
191070804001023,88
191070804001024,88
191070804001026,88
191070804001027,88
191070804001028,88
191070804001029,88
191070804001060,88
191070804001061,88
191070804001062,88
191070804001063,88
191070804001102,88
191070804001103,88
191070804001104,88
190470703002220,12
190470703002221,12
190470703002222,12
190470703003070,12
190470703003071,12
190470703003075,12
190470705001060,12
190470705001061,12
190470705001062,12
190470705001063,12
190470705001064,12
190470705001070,12
190470705001071,12
190470705001072,12
190470705001073,12
190470705001076,12
