GEOID20,District
211099601011027,89
211099601011028,89
211099601011029,89
211099601011041,89
211099601011049,89
211099601011050,89
211099601011055,89
211099601011056,89
211099601012001,89
211099601012002,89
211099601012003,89
211099601012004,89
211099601012005,89
211099601012006,89
211099601012007,89
211099601012008,89
211099601012009,89
211099601012010,89
211099601012011,89
211099601012012,89
211099601012013,89
211099601012014,89
211099601012015,89
211099601012016,89
211099601012017,89
211099601012019,89
211099601012020,89
211099601012021,89
211099601012022,89
211099601012024,89
211099601012025,89
211099601012026,89
211099601012027,89
211099601012028,89
211099601012029,89
211099601012036,89
211099601012039,89
211099601012040,89
211099601012041,89
211099601012042,89
211099601012043,89
211099601012044,89
211099601012046,89
211099601012047,89
211099601012048,89
211099601012055,89
211099601012037,89
211099601012038,89
211099601012045,89
211099601012049,89
211099601012050,89
211099601012051,89
211099601012052,89
211099601012053,89
211099601012054,89
211099601012056,89
211099603011000,89
211099603011001,89
211099603011002,89
211099603011003,89
211099603011004,89
211099603011005,89
211099603011006,89
211099603011007,89
211099603011008,89
211099603011009,89
211099603011010,89
211099603011011,89
211099603011012,89
211099603011013,89
211099603011014,89
211099603011015,89
211099603011016,89
211099603011017,89
211099603011018,89
211099603011019,89
211099603011020,89
211099603011021,89
211099603011022,89
211099603011023,89
211099603011024,89
211099603011025,89
211099603011026,89
211099603011027,89
211099603011028,89
211099603011029,89
211099603011030,89
211099603011031,89
211099603011032,89
211099603011033,89
211099603011034,89
211099603011035,89
211099603011036,89
211099603011037,89
211099603011038,89
211099603011039,89
211099603011040,89
211099603011041,89
211099603011042,89
211099603011043,89
211099603011044,89
211099603011045,89
211099603011046,89
211099603011047,89
211099603011048,89
211099603011049,89
211099603011050,89
211099603011051,89
211099603011052,89
211099603011053,89
211099603011054,89
211099603011055,89
211099603011056,89
211099603011057,89
211099603011058,89
211099603011059,89
211099603011060,89
211099603011061,89
211099603011062,89
211099603012000,89
211099603012013,89
211099603012014,89
211099603012015,89
211099603012016,89
211899302001013,84
211899302001015,84
211899302001018,84
211899302001019,84
211899302001020,84
211899302001027,84
211899302001028,84
211899302001029,84
211899302001032,84
211899302001033,84
211899302001034,84
211899302001035,84
211899302001036,84
211899302001037,84
211899302001038,84
211899302001039,84
211899302001040,84
211899302001041,84
211899302001042,84
211899302001043,84
211899302001044,84
211899302001045,84
211899302001046,84
211899302001047,84
211899302001048,84
211899302001049,84
211899302001050,84
211899302001051,84
211899302001052,84
211899302001053,84
211899302001054,84
211899302001055,84
211899302001056,84
211899302001057,84
211899302001058,84
211899302001059,84
211899302001062,84
211899302001063,84
211899302001064,84
211899302001065,84
211899302001066,84
211899302001067,84
211899302001069,84
211899302001070,84
211899302001071,84
211899302001072,84
211899302001073,84
211899302001074,84
211899302001075,84
211899302001076,84
211899302001077,84
211899302001101,84
211899302001124,84
211899302001125,84
211899302001126,84
211899302001127,84
211899302001128,84
211899302001129,84
211899302001130,84
211899302001139,84
211899302001140,84
211899302001141,84
211899302001142,84
211899302001143,84
211899302001146,84
211899302001147,84
211899302001148,84
211899302001149,84
211899302001165,84
211899302001166,84
211899302001167,84
211899302001168,84
211899302001169,84
211899302001170,84
211899302001171,84
211099601011000,89
211099601012000,89
211099601012018,89
211099601021001,89
211099601021012,89
211099601021013,89
211099601021014,89
211099601021015,89
211099601021016,89
211099601021017,89
211099601021018,89
211099601021019,89
211099601021020,89
211099601021021,89
211099601021023,89
211099601021029,89
211099601021030,89
211099601021031,89
211099603012001,89
211099603012002,89
211099603012003,89
211099603012004,89
211099603012005,89
211099603012008,89
211099603012009,89
211099603012010,89
211099603012011,89
211099603012012,89
211099603012017,89
211099603012018,89
211099603012019,89
211099603012020,89
211099603012021,89
211099603012022,89
211099603012023,89
211099603012024,89
211099603012025,89
211099603012026,89
211099603012030,89
211099603012032,89
211099603012033,89
211099603012034,89
211099603012035,89
211099603012036,89
211099603012037,89
211099603012038,89
211099603012039,89
211099603012040,89
211099603012041,89
211099603012042,89
211099603012043,89
211099603012051,89
211099603012052,89
211099603012053,89
211099603012054,89
211099603012058,89
211099603022000,89
211099603022001,89
211099603022002,89
211099603022003,89
211099603022004,89
211099603022005,89
211099603022006,89
211099603022007,89
211099603022008,89
211099603022009,89
211099603022010,89
211099603022011,89
211099603022012,89
211099603022013,89
211099603022014,89
211099603022015,89
211099603022016,89
211099603022017,89
211099603022018,89
211099603022019,89
211099603022020,89
211099603022021,89
211099603022022,89
211099603022023,89
211099603022024,89
211099603022027,89
211099603022030,89
211099603022031,89
211099603022057,89
211099603022074,89
211099602001030,89
211099602001031,89
211099602001032,89
211099602001034,89
211099603012006,89
211099603012007,89
211099603021000,89
211099603021001,89
211099603021004,89
211099603021005,89
211099603021006,89
211099603021007,89
211099603021009,89
211099603021010,89
211099603021011,89
211099603021012,89
211099603021013,89
211099603021014,89
211099603021015,89
211099603021016,89
211099603021017,89
211099603021018,89
211099603021019,89
211099603021020,89
211099603021026,89
211099603021027,89
211099603021028,89
211099603021029,89
211099603021030,89
211099603021031,89
211099603021032,89
211099603021034,89
211099603021035,89
211099603021036,89
211099603021037,89
211099603021038,89
211099603021039,89
211099603021040,89
211099603021041,89
211099603021042,89
211099603021043,89
211099603021044,89
211099603021045,89
211099603021046,89
211099603021047,89
211099603021048,89
211099601011005,89
211099601011007,89
211099601011009,89
211099601011010,89
211099601011011,89
211099601011012,89
211099601011013,89
211099601011014,89
211099601011017,89
211099601011018,89
211099601011019,89
211099601011020,89
211099601011021,89
211099601011022,89
211099601011023,89
211099601011024,89
211099601011025,89
211099601011026,89
211099601011032,89
211099601011033,89
211099601011034,89
211099601011035,89
211099601011036,89
211099601011037,89
211099601011039,89
211099601011040,89
211099601011042,89
211099601011046,89
211099601011047,89
211099601011048,89
211099601022007,89
211099601022008,89
211099601022009,89
211099601022010,89
211099601022011,89
211099601022012,89
211099601022018,89
211099601022019,89
211099601022020,89
211099601022021,89
211099601022022,89
211099601022023,89
211099601022024,89
211099601022025,89
211099601022026,89
211099601022027,89
211099601022028,89
211099601022029,89
211099601022030,89
211099602001023,89
211099602001024,89
211099602001025,89
211099602001026,89
211099602001027,89
211099603021002,89
211099603021003,89
211099603021008,89
211099601011031,89
211099601011038,89
211099601011043,89
211099601011044,89
211099601011045,89
211099601011051,89
211099601011052,89
211099601011053,89
211099601011054,89
211099601012023,89
211099601012030,89
211099601012031,89
211099601012032,89
211099601012033,89
211099601012034,89
211099601012035,89
211099601011001,89
211099601011002,89
211099601011003,89
211099601011004,89
211099601011006,89
211099601011008,89
211099601011015,89
211099601011016,89
211099601011030,89
211099601021022,89
211099601021032,89
211099601022002,89
211099601022003,89
211099601022013,89
211099601022014,89
211099601022015,89
211099601022016,89
211099601022017,89
211099601022031,89
211099601022032,89
211099601022033,89
211099601022034,89
211099602001002,89
211099602001003,89
211099602001004,89
211099602001005,89
211099602001006,89
211099602001007,89
211099602001008,89
211099602001009,89
211099602001010,89
211099602001011,89
211099602001012,89
211099602001013,89
211099602001014,89
211099602001015,89
211099602001016,89
211099602001017,89
211099602001019,89
211099602001022,89
211099602001033,89
211099602001035,89
211099602001036,89
211099602002009,89
211099602002010,89
211099602002011,89
211099602002014,89
211099602002015,89
211099602003013,89
211099602003014,89
211099602003015,89
211099602003016,89
211099602002001,89
211099602002006,89
211099602002007,89
211099602002008,89
211099602003002,89
211099602003003,89
211099602003004,89
211099602003005,89
211099602003006,89
211099602003007,89
211099602003008,89
211099602003009,89
211099602003010,89
211099602003011,89
211099602003012,89
211099601022004,89
211099602002003,89
211099602002004,89
211099602002005,89
211099602002012,89
211099602002013,89
211099602002016,89
211099602002017,89
211099601021000,89
211099601021002,89
211099601021003,89
211099601021004,89
211099601021005,89
211099601021006,89
211099601021007,89
211099601021008,89
211099601021009,89
211099601021010,89
211099601021011,89
211099601021024,89
211099601021025,89
211099601021026,89
211099601021027,89
211099601021028,89
211099601022000,89
211099601022001,89
211099602002000,89
211099602002002,89
211099602003000,89
211099602003001,89
210659204001002,91
210659204001003,91
210659204001008,91
210659204001009,91
210659204001010,91
210659204001011,91
210659204001012,91
210659204001013,91
210659204001014,91
210659204001017,91
210659204001018,91
210659204001019,91
210659204001020,91
210659204001021,91
210659204001022,91
210659204001023,91
210659204001024,91
210659204001025,91
210659204001032,91
210659204001033,91
210659204001034,91
210659204001035,91
210659204002000,91
210659204002001,91
210659204002002,91
210659204002003,91
210659204002004,91
210659204002005,91
210659204002006,91
210659204002007,91
210659204002008,91
210659204002009,91
210659204002010,91
210659204002011,91
210659204002012,91
210659204002013,91
210659204002014,91
210659204002015,91
210659204002016,91
210659204002021,91
210659204001000,91
210659204001001,91
210659204001004,91
210659204001005,91
210659204001006,91
210659204001007,91
210659204001026,91
210659204001027,91
210659204001028,91
210659204001029,91
210659204001030,91
210659204001031,91
210659204002017,91
210659204002018,91
210659204002019,91
210659204002020,91
211299501002014,89
211299501002015,89
211299501002016,89
211299501002017,89
211299501002019,89
211299501002020,89
211299501002021,89
211299501002022,89
211299501002023,89
211299502001001,89
211299502001002,89
211299502001003,89
211299502001004,89
211299502001005,89
211299502001006,89
211299502001007,89
211299502001008,89
211299502001009,89
211299502001010,89
211299502001011,89
211299502001012,89
211299502001013,89
211299502001014,89
211299502001015,89
211299502001016,89
211299502001032,89
211299502001035,89
211299502001036,89
211299502001037,89
211299502001038,89
211299502001039,89
211299502001040,89
211299502001041,89
211299502001042,89
211299502001043,89
211299502001044,89
211299502001045,89
211299502001046,89
211299502001047,89
211299502001048,89
211299502001049,89
211299502001050,89
211299502001051,89
211299502001052,89
211299502001053,89
211299502001054,89
211299502001055,89
211299502001059,89
211299502001060,89
211299502001063,89
211299502001066,89
210659203021021,91
210659203021022,91
210659203023001,91
210659203023002,91
210659203023003,91
210659203023004,91
210659203023005,91
210659203023006,91
210659203023007,91
210659203023008,91
210659203023009,91
210659203023010,91
210659203023011,91
210659203023012,91
210659203023013,91
210659203023014,91
210659203023015,91
210659203023016,91
