GEOID20,District
390017701001007,90
390017701001008,90
390017701001009,90
390017701001010,90
390017701001013,90
390017701001014,90
390017701001015,90
390017701001016,90
390017701001017,90
390017701001019,90
390017701001023,90
390017701001024,90
390017701001075,90
390017701002001,90
390017701002002,90
390017701002003,90
390017702001000,90
390017702001001,90
390017702001002,90
390017702001003,90
390017702001004,90
390017702001005,90
390017702001006,90
390017702001007,90
390017702001008,90
390017702001009,90
390017702001010,90
390017702001011,90
390017702001012,90
390017702001013,90
390017702001014,90
390017702001015,90
390017702001016,90
390017702001024,90
390017702001025,90
390017702001026,90
390017702001027,90
390017702001028,90
390017702001029,90
390017702001030,90
390017702001031,90
390017702001032,90
390017702001033,90
390017702001034,90
390017702002000,90
390017702002012,90
390017702002013,90
390017705001011,90
390017705001012,90
390017705001013,90
390017705001026,90
390017705001027,90
390017705001028,90
390017705001029,90
390017705001030,90
390017705001031,90
390017705001032,90
390017705001033,90
390017705001034,90
390017705001035,90
390017705001036,90
390017705001037,90
390017705001038,90
390017705001039,90
390017705001040,90
390017705001041,90
390017705001042,90
390017705001043,90
390017705001044,90
390017705001045,90
390017705001046,90
390017705001048,90
390017705001049,90
390017705001050,90
390017705001051,90
390017705001052,90
390017705001053,90
390017705001054,90
390017705001055,90
390017705001056,90
390017705001066,90
390017705001068,90
390017705003002,90
390017705003003,90
390017705003004,90
390017705003005,90
390017705003006,90
390017705003007,90
390017705003008,90
390017705003009,90
390017705003010,90
390017705003011,90
390017705003012,90
390017705003013,90
390017705003016,90
390017705003017,90
390017705003018,90
390017705003025,90
390017705003029,90
390017705003058,90
390017701001000,90
390017701001001,90
390017701001002,90
390017701001003,90
390017701001004,90
390017701001005,90
390017701001006,90
390017701001011,90
390017701001012,90
390017701001018,90
390017701001020,90
390017701001021,90
390017701001022,90
390017701001025,90
390017701001026,90
390017701001027,90
390017701001028,90
390017701001029,90
390017701001030,90
390017701001031,90
390017701001032,90
390017701001033,90
390017701001034,90
390017701001035,90
390017701001036,90
390017701001037,90
390017701001038,90
390017701001039,90
390017701001040,90
390017701001041,90
390017701001042,90
390017701001043,90
390017701001044,90
390017701001045,90
390017701001046,90
390017701001047,90
390017701001048,90
390017701001049,90
390017701001050,90
390017701001051,90
390017701001052,90
390017701001053,90
390017701001054,90
390017701001055,90
390017701001056,90
390017701001057,90
390017701001058,90
390017701001059,90
390017701001060,90
390017701001061,90
390017701001062,90
390017701001063,90
390017701001064,90
390017701001065,90
390017701001066,90
390017701001067,90
390017701001068,90
390017701001069,90
390017701001070,90
390017701001071,90
390017701001072,90
390017701001073,90
390017701001074,90
390017701001076,90
390017701001077,90
390017701001078,90
390017701001079,90
390017701001080,90
390017701001081,90
390017701001082,90
390017701001083,90
390017701001084,90
390017701001085,90
390017701002000,90
390017701003000,90
390017701003001,90
390017701003002,90
390017701003003,90
390017701003004,90
390017701003005,90
390017701003006,90
390017701003007,90
390017701003008,90
390017701003009,90
390017701003010,90
390017701003014,90
390017701003015,90
390017701003016,90
390017701003054,90
390017701004000,90
390017701004001,90
390017701004002,90
390017701004003,90
390017701004004,90
390017701004005,90
390017701004006,90
390017701004007,90
390017701004008,90
390017701004009,90
390017701004010,90
390017701004014,90
390017701004015,90
390017701004016,90
390017701004017,90
390017701004018,90
390017701004019,90
390017701004020,90
390017701004021,90
390017701004026,90
390017701004027,90
390017705002028,90
390017705002030,90
390017705002031,90
390017705002032,90
390017705002033,90
390017705002034,90
390017705002035,90
390017705002036,90
390017705002037,90
390017705002038,90
390017705002039,90
390017705002040,90
390017705002041,90
390017705002042,90
390017705002043,90
390017705002045,90
390017705002046,90
390017705002047,90
390017705002048,90
390017705002049,90
390017705002050,90
390017705002051,90
390017705002052,90
390017705003014,90
390017705003015,90
390017705003019,90
390017705003020,90
390017705003021,90
390017705003022,90
390017705003023,90
390017705003024,90
390017705003026,90
390017705003027,90
390017705003028,90
390017705003030,90
390017705003031,90
390017705003032,90
390017705003033,90
390017705003034,90
390017705003035,90
390017705003036,90
390017705003037,90
390017705003038,90
390017705003039,90
390017705003040,90
390017705003041,90
390017705003042,90
390017705003043,90
390017705003044,90
390017705003045,90
390017705003046,90
390017705003047,90
390017705003048,90
390017705003049,90
390017705003050,90
390017705003051,90
390017705003052,90
390017705003053,90
390017705003054,90
390017705003056,90
390017705003057,90
390017701004059,90
390017701004060,90
390017701004061,90
390017705001017,90
390017705001021,90
390017705001022,90
390017705001023,90
390017705001024,90
390017705001025,90
390017705001047,90
390017705001057,90
390017705001058,90
390017705001059,90
390017705001060,90
390017705001061,90
390017705001062,90
390017705001063,90
390017705001064,90
390017705001065,90
390017705001067,90
390017705002000,90
390017705002001,90
390017705002002,90
390017705002003,90
390017705002004,90
390017705002005,90
390017705002006,90
390017705002007,90
390017705002008,90
390017705002009,90
390017705002010,90
390017705002011,90
390017705002012,90
390017705002013,90
390017705002014,90
390017705002015,90
390017705002016,90
390017705002017,90
390017705002018,90
390017705002019,90
390017705002020,90
390017705002021,90
390017705002022,90
390017705002023,90
390017705002024,90
390017705002025,90
390017705002026,90
390017705002027,90
390017705002029,90
390017705002044,90
390017705003000,90
390017705003001,90
390017705003055,90
390017703012089,90
390017703012090,90
390017703012097,90
390017703012099,90
390017703012100,90
390017703012101,90
390017703012102,90
390017703012103,90
390017703012104,90
390017703012105,90
390017703012106,90
390017703012107,90
390017703012115,90
390017703021042,90
390017703021043,90
390017703021044,90
390017703021045,90
390017703021049,90
390017703021050,90
390017703021051,90
390017703021052,90
390017703021053,90
390017703021054,90
390017703021055,90
390017703021056,90
390017703021057,90
390017703021058,90
390017703021059,90
390017703021060,90
390017703022001,90
390017703022002,90
390017703022003,90
390017703022004,90
390017703022005,90
390017703022006,90
390017703022007,90
390017703022008,90
390017703022009,90
390017703022010,90
