GEOID20,District
022820001001000,A
022820001001001,A
022820001001002,A
022820001001003,A
022820001001004,A
022820001001005,A
022820001001006,A
022820001001007,A
022820001001008,A
022820001001009,A
022820001001010,A
022820001001011,A
022820001001012,A
022820001001093,A
022820001001094,A
022820001001095,A
022820001001096,A
022820001001097,A
022820001001098,A
022820001001099,A
022820001001100,A
022820001001101,A
022820001001102,A
022820001001103,A
022820001001104,A
022820001001105,A
022820001001106,A
022820001001107,A
022820001001108,A
022820001001109,A
022820001001110,A
022820001001111,A
022820001001112,A
022820001001113,A
022820001001114,A
022820001001115,A
022820001001116,A
022820001001117,A
022820001001118,A
022820001001119,A
022820001001120,A
022820001001121,A
022820001001122,A
022820001001123,A
022820001001124,A
022820001001125,A
022820001001126,A
022820001001127,A
022820001001128,A
022820001001129,A
022820001001130,A
022820001001131,A
022820001001132,A
022820001001133,A
022820001001134,A
022820001001135,A
022820001001136,A
022820001001137,A
022820001001138,A
022820001001139,A
022820001001140,A
022820001001141,A
022820001001142,A
022820001001143,A
022820001001144,A
022820001001145,A
022820001001146,A
022820001001147,A
022820001001148,A
022820001001149,A
022820001001150,A
022820001001151,A
022820001001152,A
022820001001153,A
022820001001154,A
022820001001155,A
022820001001156,A
022820001001157,A
022820001001158,A
022820001001159,A
022820001001160,A
022820001001161,A
022820001001162,A
022820001001163,A
022820001001164,A
022820001001165,A
022820001001166,A
022820001001167,A
022820001001168,A
022820001001169,A
022820001001170,A
022820001001171,A
022820001001172,A
022820001001173,A
022820001001174,A
022820001001175,A
022820001001176,A
022820001001177,A
022820001001178,A
022820001001179,A
022820001001180,A
022820001001181,A
022820001001182,A
022820001001183,A
022820001001184,A
022820001001185,A
022820001001186,A
022820001001187,A
022820001001188,A
022820001001189,A
022820001001190,A
022820001001191,A
022820001001192,A
022820001001193,A
022820001001194,A
022820001001195,A
022820001001196,A
022820001001197,A
022820001001198,A
022820001001199,A
022820001001200,A
022820001001201,A
022820001001202,A
022820001001203,A
022820001001204,A
022820001001205,A
022820001001206,A
022820001001207,A
022820001001208,A
022820001001209,A
022820001001210,A
022820001001211,A
022820001001212,A
022820001001213,A
022820001001214,A
022820001001215,A
022820001001216,A
022820001001217,A
022820001001218,A
022820001001223,A
022820001001224,A
022820001001225,A
022820001001226,A
022820001001227,A
022820001001228,A
022820001001230,A
021850002001011,T
021850002001026,T
021850002001027,T
021850002001028,T
021850002001029,T
021850002001030,T
021850002001031,T
021850002001032,T
021850002001033,T
021850002001034,T
021850002001035,T
021850002001036,T
021850002001037,T
021850002001038,T
021850002001039,T
021850002001040,T
021850002001041,T
021850002001042,T
021850002001043,T
021850002001044,T
021850002001045,T
021850002001046,T
021850002001047,T
021850002001048,T
021850002001049,T
021850002001050,T
021850002001051,T
021850002001052,T
021850002001053,T
021850002001054,T
021850002001055,T
021850002001056,T
021850002001057,T
021850002001058,T
021850002001059,T
021850002001060,T
021850002001061,T
021850002001062,T
021850002001063,T
021850002001064,T
021850002001065,T
021850002001066,T
021850002001067,T
021850002001068,T
021850002001069,T
021850002001070,T
021850002001071,T
021850002001072,T
021850002001073,T
021850002001074,T
021850002001075,T
021850002001076,T
021850002001077,T
021850002001078,T
021850002001079,T
021850002001080,T
021850002001086,T
021850002002071,T
021850002002072,T
021850002002073,T
021850002002074,T
021850002002075,T
021850002002076,T
021850002002077,T
021850002002078,T
021850002002079,T
021850002002080,T
021850002002081,T
021850002002082,T
021850002002083,T
021850002002084,T
021850002002085,T
021850002002086,T
021850002002087,T
021850002002088,T
021850002002089,T
021850002002090,T
021850002002091,T
021850002002092,T
021850002002093,T
021850002002094,T
021850002002095,T
021850002002096,T
021850002002097,T
021850002002098,T
021850002002101,T
021850002002102,T
021850002002103,T
021850002002104,T
021850002002105,T
021850002002106,T
021850002002107,T
021850002002108,T
021850002002109,T
