GEOID20,District
190019601003002,12
190019601003003,12
190019601003004,12
190019601003005,12
190019601003006,12
190019601003007,12
190019601003008,12
190019601003009,12
190019601003010,12
190019601003011,12
190019601003012,12
190019601003013,12
190019601003016,12
190019601003017,12
190019601003018,12
190019601003019,12
190019601003020,12
190019601003021,12
190019601003022,12
190019601003023,12
190019601003024,12
190019601003025,12
190019601003026,12
190019601003027,12
190019601003028,12
190019601003029,12
190019601003030,12
190019601003031,12
190019601003032,12
190019601003033,12
190019601003034,12
190019601003035,12
190019601003036,12
190019601003037,12
190019601003038,12
190019601003039,12
190019601003040,12
190019601003041,12
190019601003042,12
190019601003043,12
190019601003044,12
190019601003045,12
190019601003046,12
190019601003047,12
190019601003048,12
190019601003049,12
190019601003050,12
190019601003051,12
190019601003052,12
190019601003053,12
190019601003054,12
190019601003055,12
190019601003056,12
190019601003057,12
190019601003058,12
190019601003059,12
190019601003060,12
190019601003061,12
190019601003062,12
190019601003063,12
190019601003064,12
190019601003065,12
190019601003068,12
190019601003069,12
190019601003070,12
190019601003071,12
190019601003076,12
190019601003077,12
190019601002014,12
190019601002015,12
190019601002028,12
190019601002029,12
190019601002030,12
190019601002031,12
190019601002032,12
190019601002033,12
190019601002034,12
190019601002035,12
190019601002036,12
190019601002037,12
190019601002038,12
190019601002039,12
190019601002040,12
190019601002041,12
190019601002042,12
190019601002043,12
190019601002044,12
190019601002045,12
190019601002046,12
190019601002047,12
190019601002048,12
190019601002049,12
190019601002050,12
190019601002051,12
190019601002052,12
190019601002053,12
190019601002054,12
190019601002055,12
190019601002056,12
190019601002065,12
190019601002066,12
190019601002067,12
190019601002068,12
190019601002069,12
190019601002070,12
190019601002071,12
190019601002072,12
190019601002073,12
190019601002074,12
190019601002075,12
190019601002076,12
190019601002077,12
190019601002078,12
190019601002079,12
190019601002080,12
190019601002081,12
190019601002082,12
190019601002083,12
190019601002084,12
190019601002094,12
190019601002095,12
190019601002096,12
190019601002174,12
190019601003000,12
190019601003001,12
190019601003014,12
190019601003015,12
190019601003066,12
190019601003067,12
190019601003072,12
190019601003073,12
190019601003074,12
190019601003075,12
190019601002002,12
190019601002003,12
190019601002006,12
190019601002009,12
190019601002010,12
190019601002011,12
190019601002012,12
190019601002013,12
190019601002018,12
190019601002021,12
190019601002022,12
190019601002023,12
190019601002024,12
190019601002025,12
190019601002026,12
190019601002027,12
190019601002057,12
190019601002058,12
190019601002059,12
190019601002060,12
190019601002061,12
190019601002062,12
190019601002063,12
190019601002064,12
190019601002085,12
190019601002086,12
190019601002087,12
190019601002088,12
190019601002089,12
190019601002090,12
190019601002091,12
190019601002092,12
190019601002093,12
190019601002106,12
190019601002107,12
190019601002108,12
190019601002109,12
190019601002110,12
190019601002111,12
190019601002112,12
190019601002113,12
190019601002114,12
190019601002123,12
190019601002124,12
190019601002125,12
190019601002126,12
190019601002127,12
190019601002128,12
190019601002147,12
190019601002148,12
190019601002004,12
190019601002005,12
190019601002007,12
190019601002016,12
190019601002017,12
190019601001033,12
190019601001034,12
190019601001035,12
190019601001066,12
190019601001067,12
190019601001082,12
190019601001083,12
190019601001086,12
190019601001087,12
190019601001088,12
190019601001089,12
190019601001090,12
190019601001091,12
190019601001092,12
190019601001093,12
190019601001094,12
190019601001095,12
190019601001096,12
190019601001097,12
190019601001098,12
190019601001105,12
190019601001106,12
190019601001107,12
190019601001108,12
190019601001109,12
190019601001112,12
190019601001113,12
190019601001114,12
190019601001152,12
190019601001153,12
190019601001154,12
190019601001155,12
190019601001263,12
190019601002000,12
190019601002001,12
190019601002008,12
190019601002019,12
190019601002020,12
190019601002115,12
190019601002116,12
190019601002117,12
190019601002118,12
190019601002119,12
190019601002120,12
190019601002121,12
190019601002122,12
190019601002129,12
190019601002130,12
190019601002131,12
190019601002132,12
190019601002133,12
190019601002134,12
190019601002135,12
190019601002136,12
190019601002137,12
190019601002138,12
190019601002139,12
190019601002140,12
190019601002141,12
190019601002144,12
190019601002145,12
190019601002149,12
190019601002150,12
190019601002153,12
190019601002154,12
190019601002155,12
190019601002157,12
190019601002158,12
190019601002159,12
190019601002160,12
190019601001000,12
190019601001001,12
190019601001002,12
