GEOID20,District
211099601011027,25
211099601011028,25
211099601011029,25
211099601011041,25
211099601011049,25
211099601011050,25
211099601011055,25
211099601011056,25
211099601012001,25
211099601012002,25
211099601012003,25
211099601012004,25
211099601012005,25
211099601012006,25
211099601012007,25
211099601012008,25
211099601012009,25
211099601012010,25
211099601012011,25
211099601012012,25
211099601012013,25
211099601012014,25
211099601012015,25
211099601012016,25
211099601012017,25
211099601012019,25
211099601012020,25
211099601012021,25
211099601012022,25
211099601012024,25
211099601012025,25
211099601012026,25
211099601012027,25
211099601012028,25
211099601012029,25
211099601012036,25
211099601012039,25
211099601012040,25
211099601012041,25
211099601012042,25
211099601012043,25
211099601012044,25
211099601012046,25
211099601012047,25
211099601012048,25
211099601012055,25
211099601012037,25
211099601012038,25
211099601012045,25
211099601012049,25
211099601012050,25
211099601012051,25
211099601012052,25
211099601012053,25
211099601012054,25
211099601012056,25
211099603011000,25
211099603011001,25
211099603011002,25
211099603011003,25
211099603011004,25
211099603011005,25
211099603011006,25
211099603011007,25
211099603011008,25
211099603011009,25
211099603011010,25
211099603011011,25
211099603011012,25
211099603011013,25
211099603011014,25
211099603011015,25
211099603011016,25
211099603011017,25
211099603011018,25
211099603011019,25
211099603011020,25
211099603011021,25
211099603011022,25
211099603011023,25
211099603011024,25
211099603011025,25
211099603011026,25
211099603011027,25
211099603011028,25
211099603011029,25
211099603011030,25
211099603011031,25
211099603011032,25
211099603011033,25
211099603011034,25
211099603011035,25
211099603011036,25
211099603011037,25
211099603011038,25
211099603011039,25
211099603011040,25
211099603011041,25
211099603011042,25
211099603011043,25
211099603011044,25
211099603011045,25
211099603011046,25
211099603011047,25
211099603011048,25
211099603011049,25
211099603011050,25
211099603011051,25
211099603011052,25
211099603011053,25
211099603011054,25
211099603011055,25
211099603011056,25
211099603011057,25
211099603011058,25
211099603011059,25
211099603011060,25
211099603011061,25
211099603011062,25
211099603012000,25
211099603012013,25
211099603012014,25
211099603012015,25
211099603012016,25
211899302001013,25
211899302001015,25
211899302001018,25
211899302001019,25
211899302001020,25
211899302001027,25
211899302001028,25
211899302001029,25
211899302001032,25
211899302001033,25
211899302001034,25
211899302001035,25
211899302001036,25
211899302001037,25
211899302001038,25
211899302001039,25
211899302001040,25
211899302001041,25
211899302001042,25
211899302001043,25
211899302001044,25
211899302001045,25
211899302001046,25
211899302001047,25
211899302001048,25
211899302001049,25
211899302001050,25
211899302001051,25
211899302001052,25
211899302001053,25
211899302001054,25
211899302001055,25
211899302001056,25
211899302001057,25
211899302001058,25
211899302001059,25
211899302001062,25
211899302001063,25
211899302001064,25
211899302001065,25
211899302001066,25
211899302001067,25
211899302001069,25
211899302001070,25
211899302001071,25
211899302001072,25
211899302001073,25
211899302001074,25
211899302001075,25
211899302001076,25
211899302001077,25
211899302001101,25
211899302001124,25
211899302001125,25
211899302001126,25
211899302001127,25
211899302001128,25
211899302001129,25
211899302001130,25
211899302001139,25
211899302001140,25
211899302001141,25
211899302001142,25
211899302001143,25
211899302001146,25
211899302001147,25
211899302001148,25
211899302001149,25
211899302001165,25
211899302001166,25
211899302001167,25
211899302001168,25
211899302001169,25
211899302001170,25
211899302001171,25
211099601011000,25
211099601012000,25
211099601012018,25
211099601021001,25
211099601021012,25
211099601021013,25
211099601021014,25
211099601021015,25
211099601021016,25
211099601021017,25
211099601021018,25
211099601021019,25
211099601021020,25
211099601021021,25
211099601021023,25
211099601021029,25
211099601021030,25
211099601021031,25
211099603012001,25
211099603012002,25
211099603012003,25
211099603012004,25
211099603012005,25
211099603012008,25
211099603012009,25
211099603012010,25
211099603012011,25
211099603012012,25
211099603012017,25
211099603012018,25
211099603012019,25
211099603012020,25
211099603012021,25
211099603012022,25
211099603012023,25
211099603012024,25
211099603012025,25
211099603012026,25
211099603012030,25
211099603012032,25
211099603012033,25
211099603012034,25
211099603012035,25
211099603012036,25
211099603012037,25
211099603012038,25
211099603012039,25
211099603012040,25
211099603012041,25
211099603012042,25
211099603012043,25
211099603012051,25
211099603012052,25
211099603012053,25
211099603012054,25
211099603012058,25
211099603022000,25
211099603022001,25
211099603022002,25
211099603022003,25
211099603022004,25
211099603022005,25
211099603022006,25
211099603022007,25
211099603022008,25
211099603022009,25
211099603022010,25
211099603022011,25
211099603022012,25
211099603022013,25
211099603022014,25
211099603022015,25
211099603022016,25
211099603022017,25
211099603022018,25
211099603022019,25
211099603022020,25
211099603022021,25
211099603022022,25
211099603022023,25
211099603022024,25
211099603022027,25
211099603022030,25
211099603022031,25
211099603022057,25
211099603022074,25
211099602001030,25
211099602001031,25
211099602001032,25
211099602001034,25
211099603012006,25
211099603012007,25
211099603021000,25
211099603021001,25
211099603021004,25
211099603021005,25
211099603021006,25
211099603021007,25
211099603021009,25
211099603021010,25
211099603021011,25
211099603021012,25
211099603021013,25
211099603021014,25
211099603021015,25
211099603021016,25
211099603021017,25
211099603021018,25
211099603021019,25
211099603021020,25
211099603021026,25
211099603021027,25
211099603021028,25
211099603021029,25
211099603021030,25
211099603021031,25
211099603021032,25
211099603021034,25
211099603021035,25
211099603021036,25
211099603021037,25
211099603021038,25
211099603021039,25
211099603021040,25
211099603021041,25
211099603021042,25
211099603021043,25
211099603021044,25
211099603021045,25
211099603021046,25
211099603021047,25
211099603021048,25
211099601011005,25
211099601011007,25
211099601011009,25
211099601011010,25
211099601011011,25
211099601011012,25
211099601011013,25
211099601011014,25
211099601011017,25
211099601011018,25
211099601011019,25
211099601011020,25
211099601011021,25
211099601011022,25
211099601011023,25
211099601011024,25
211099601011025,25
211099601011026,25
211099601011032,25
211099601011033,25
211099601011034,25
211099601011035,25
211099601011036,25
211099601011037,25
211099601011039,25
211099601011040,25
211099601011042,25
211099601011046,25
211099601011047,25
211099601011048,25
211099601022007,25
211099601022008,25
211099601022009,25
211099601022010,25
211099601022011,25
211099601022012,25
211099601022018,25
211099601022019,25
211099601022020,25
211099601022021,25
211099601022022,25
211099601022023,25
211099601022024,25
211099601022025,25
211099601022026,25
211099601022027,25
211099601022028,25
211099601022029,25
211099601022030,25
211099602001023,25
211099602001024,25
211099602001025,25
211099602001026,25
211099602001027,25
211099603021002,25
211099603021003,25
211099603021008,25
211099601011031,25
211099601011038,25
211099601011043,25
211099601011044,25
211099601011045,25
211099601011051,25
211099601011052,25
211099601011053,25
211099601011054,25
211099601012023,25
211099601012030,25
211099601012031,25
211099601012032,25
211099601012033,25
211099601012034,25
211099601012035,25
211099601011001,25
211099601011002,25
211099601011003,25
211099601011004,25
211099601011006,25
211099601011008,25
211099601011015,25
211099601011016,25
211099601011030,25
211099601021022,25
211099601021032,25
211099601022002,25
211099601022003,25
211099601022013,25
211099601022014,25
211099601022015,25
211099601022016,25
211099601022017,25
211099601022031,25
211099601022032,25
211099601022033,25
211099601022034,25
211099602001002,25
211099602001003,25
211099602001004,25
211099602001005,25
211099602001006,25
211099602001007,25
211099602001008,25
211099602001009,25
211099602001010,25
211099602001011,25
211099602001012,25
211099602001013,25
211099602001014,25
211099602001015,25
211099602001016,25
211099602001017,25
211099602001019,25
211099602001022,25
211099602001033,25
211099602001035,25
211099602001036,25
211099602002009,25
211099602002010,25
211099602002011,25
211099602002014,25
211099602002015,25
211099602003013,25
211099602003014,25
211099602003015,25
211099602003016,25
211099602002001,25
211099602002006,25
211099602002007,25
211099602002008,25
211099602003002,25
211099602003003,25
211099602003004,25
211099602003005,25
211099602003006,25
211099602003007,25
211099602003008,25
211099602003009,25
211099602003010,25
211099602003011,25
211099602003012,25
211099601022004,25
211099602002003,25
211099602002004,25
211099602002005,25
211099602002012,25
211099602002013,25
211099602002016,25
211099602002017,25
211099601021000,25
211099601021002,25
211099601021003,25
211099601021004,25
211099601021005,25
211099601021006,25
211099601021007,25
211099601021008,25
211099601021009,25
211099601021010,25
211099601021011,25
211099601021024,25
211099601021025,25
211099601021026,25
211099601021027,25
211099601021028,25
211099601022000,25
211099601022001,25
211099602002000,25
211099602002002,25
211099602003000,25
211099602003001,25
210659204001002,30
210659204001003,30
210659204001008,30
210659204001009,30
210659204001010,30
210659204001011,30
210659204001012,30
210659204001013,30
210659204001014,30
210659204001017,30
210659204001018,30
210659204001019,30
210659204001020,30
210659204001021,30
210659204001022,30
210659204001023,30
210659204001024,30
210659204001025,30
210659204001032,30
210659204001033,30
210659204001034,30
210659204001035,30
210659204002000,30
210659204002001,30
210659204002002,30
210659204002003,30
210659204002004,30
210659204002005,30
210659204002006,30
210659204002007,30
210659204002008,30
210659204002009,30
210659204002010,30
210659204002011,30
210659204002012,30
210659204002013,30
210659204002014,30
210659204002015,30
210659204002016,30
210659204002021,30
210659204001000,30
210659204001001,30
210659204001004,30
210659204001005,30
210659204001006,30
210659204001007,30
210659204001026,30
210659204001027,30
210659204001028,30
210659204001029,30
210659204001030,30
210659204001031,30
210659204002017,30
210659204002018,30
210659204002019,30
210659204002020,30
211299501002014,30
211299501002015,30
211299501002016,30
211299501002017,30
211299501002019,30
211299501002020,30
211299501002021,30
211299501002022,30
211299501002023,30
211299502001001,30
211299502001002,30
211299502001003,30
211299502001004,30
211299502001005,30
211299502001006,30
211299502001007,30
211299502001008,30
211299502001009,30
211299502001010,30
211299502001011,30
211299502001012,30
211299502001013,30
211299502001014,30
211299502001015,30
211299502001016,30
211299502001032,30
211299502001035,30
211299502001036,30
211299502001037,30
211299502001038,30
211299502001039,30
211299502001040,30
211299502001041,30
211299502001042,30
211299502001043,30
211299502001044,30
211299502001045,30
211299502001046,30
211299502001047,30
211299502001048,30
211299502001049,30
211299502001050,30
211299502001051,30
211299502001052,30
211299502001053,30
211299502001054,30
211299502001055,30
211299502001059,30
211299502001060,30
211299502001063,30
211299502001066,30
210659203021021,30
210659203021022,30
210659203023001,30
210659203023002,30
210659203023003,30
210659203023004,30
210659203023005,30
210659203023006,30
210659203023007,30
210659203023008,30
210659203023009,30
210659203023010,30
210659203023011,30
210659203023012,30
210659203023013,30
210659203023014,30
210659203023015,30
210659203023016,30
210659203023017,30
210659203023018,30
210659203023019,30
210659203023020,30
210659203023021,30
210659203023022,30
210659203023023,30
210659203023024,30
210659203023025,30
210659203023026,30
210659203023027,30
210659203023028,30
210659203023029,30
210659203023030,30
210659203023031,30
210659203023032,30
210659203023033,30
210659203023034,30
210659203023035,30
210659204001015,30
210659204001016,30
210659204001036,30
210659203011004,30
210659203011005,30
210659203011007,30
210659203011008,30
210659203011009,30
210659203011010,30
210659203011011,30
210659203011012,30
210659203011019,30
210659203021000,30
210659203021001,30
210659203021002,30
210659203021003,30
210659203021004,30
210659203021005,30
210659203021006,30
210659203021007,30
210659203021008,30
210659203021009,30
210659203021010,30
210659203021011,30
210659203021012,30
210659203021013,30
210659203021014,30
210659203021015,30
210659203021016,30
210659203021017,30
210659203021018,30
210659203021019,30
210659203021020,30
210659203021023,30
210659203023000,30
210659202011017,30
210659202011018,30
210659202011019,30
210659202011020,30
210659202012015,30
210659202012016,30
210659202012017,30
210659202012018,30
210659202012019,30
210659202012020,30
210659202012022,30
210659202012023,30
210659202021009,30
210659202022000,30
210659202022001,30
210659202022002,30
210659202024008,30
210659202024009,30
210659202024010,30
210659202024011,30
210659202024012,30
210659202024013,30
210659202024014,30
210659202024015,30
210659202024016,30
210659202024018,30
210659201001023,30
210659201001024,30
210659201001025,30
210659201001034,30
210659201001035,30
210659201001036,30
210659201001037,30
210659201001038,30
210659201001039,30
210659201001047,30
210659201001048,30
210659201002000,30
210659201002015,30
210659201002017,30
210659201002022,30
210659201002023,30
210659201002024,30
210659201002032,30
210659201002033,30
210659201002034,30
210659202021000,30
210659202021001,30
210659202021002,30
210659202021003,30
210659202021006,30
210659202021008,30
210659202021010,30
210659202021011,30
210659202021013,30
210659202021015,30
210659202021016,30
210659202021017,30
210659202021018,30
210659202021019,30
