GEOID20,District
371139703032008,50
371139703032009,50
371139703032010,50
371139703032011,50
371139703032012,50
371139703032013,50
371139703032014,50
371139703032015,50
371139703032016,50
371139703032017,50
371139703032018,50
371139703032019,50
371139703032020,50
371139703032021,50
371139703032022,50
371139703032023,50
371139703032024,50
371139703032025,50
371139703032026,50
371139703032027,50
371139703032028,50
371139703032029,50
371139703032030,50
371139703032031,50
371139703032032,50
371139703032034,50
371139703041000,50
371139703041001,50
371139703041002,50
371139703041003,50
371139703041004,50
371139703041005,50
371139703041006,50
371139703041007,50
371139703041008,50
371139703041009,50
371139703041010,50
371139703041011,50
371139703041012,50
371139703041013,50
371139703041014,50
371139703041015,50
371139703041016,50
371139703041017,50
371139703041018,50
371139703041019,50
371139703041020,50
371139703041021,50
371139703041022,50
371139703041023,50
371139703041024,50
371139703041025,50
371139703041026,50
371139703041027,50
371139703041028,50
371139703041029,50
371139703041030,50
371139703041031,50
371139703041032,50
371139703042016,50
371139703042017,50
371139703042018,50
371139703042019,50
371139703042020,50
371139703042021,50
371139703042047,50
371139703042048,50
371139703042049,50
371139703042050,50
371139703042051,50
371139703042052,50
371139703042053,50
371139703042054,50
371139703042055,50
371139703042056,50
371139703042057,50
371139704001049,50
371139704001050,50
371139704001051,50
371139704001052,50
371139704001053,50
371139704001054,50
371139704001055,50
371139704001056,50
371139704001057,50
371139704001058,50
371139704002099,50
371139704002100,50
371139704002103,50
371139704002104,50
371139704002105,50
371139704002106,50
371139704002107,50
371139704002108,50
371139704002113,50
371139704002114,50
371139704002118,50
371139706002000,50
371139706002001,50
371139706002002,50
371139706002003,50
371139706002004,50
371139706002005,50
371139706002006,50
371139706002007,50
371139706002008,50
371139706002009,50
371139706002010,50
371139706002011,50
371139706002012,50
371139706002013,50
371139706002014,50
371139706002015,50
371139706002016,50
371139706002017,50
371139706002018,50
371139706002019,50
371139706002020,50
371139706002021,50
371139706002022,50
371139706002023,50
371139706002025,50
371139706002026,50
371139706002027,50
371139706002028,50
371139706002029,50
371139706002030,50
371139706002031,50
371139706002032,50
371139706002033,50
371139706002034,50
371139706002035,50
371139706002036,50
371139706002037,50
371139706002038,50
371139706002039,50
371139706002040,50
371139706002041,50
371139706002042,50
371139706002043,50
371139706002044,50
371139706002045,50
371139706002046,50
371139706002047,50
371139706002049,50
371139706002058,50
371139706002059,50
371139706002060,50
371139706002061,50
371139706003014,50
371139706003015,50
371139706003016,50
371139706003017,50
371139706003018,50
371139706003019,50
371139706003020,50
371139706003036,50
371139706003037,50
371139706003038,50
371139706003073,50
371139706004027,50
370399302001004,50
370399302001007,50
370399302001008,50
370399302001009,50
370399302001010,50
370399302001011,50
370399302001012,50
370399302001013,50
370399302001014,50
370399302001015,50
370399302001016,50
370399302001017,50
370399302001018,50
370399302001020,50
370399302001021,50
370399302001022,50
370399302001023,50
370399302001024,50
370399302001025,50
370399302001026,50
370399302001027,50
370399302001028,50
370399302001029,50
370399302001030,50
370399302001031,50
370399302001032,50
370399302001033,50
370399302001034,50
370399302001035,50
370399302001036,50
370399302001037,50
370399302001038,50
370399302001039,50
370399302001040,50
370399302001056,50
370399302001057,50
370399302001058,50
370399302001062,50
370399302001063,50
370399302001064,50
370399302001065,50
370399302001066,50
370399302001067,50
370399302001068,50
370399302001069,50
370399302001070,50
370399302001071,50
370399302001072,50
370399302001073,50
370399302001074,50
370399302001075,50
370399302001076,50
370399302001077,50
370399302001078,50
370399302001079,50
370399302001080,50
370399302001081,50
370399302001082,50
370399302001083,50
370399302001084,50
370399302001085,50
370399302001086,50
370399302001087,50
370399302001088,50
370399302001089,50
370399302001090,50
370399302001091,50
370399302001092,50
370399302001093,50
370399302001094,50
370399302001095,50
370399302001096,50
370399302001097,50
370399302001098,50
370399302001099,50
370399302001100,50
370399302001101,50
370399302001102,50
370399302001103,50
370399302001104,50
