GEOID20,District
490011001001216,28
490011001001217,28
490011001001289,28
490011001001290,28
490011001002020,28
490011001002021,28
490011001002024,28
490011001002025,28
490011001002026,28
490011001002029,28
490011001002030,28
490011001002031,28
490011001002032,28
490011001002033,28
490011001002034,28
490011001002035,28
490011001002036,28
490011001002037,28
490011001002038,28
490011001002039,28
490011001002041,28
490011001002042,28
490011001002043,28
490011001002044,28
490011001002045,28
490011001002046,28
490011001002047,28
490011001002048,28
490011001002049,28
490011001002050,28
490011001002051,28
490011001002052,28
490011001002053,28
490011001002054,28
490011001002055,28
490011001002056,28
490011001002057,28
490011001002058,28
490011001002059,28
490011001002060,28
490011001002061,28
490011001002062,28
490011001002063,28
490011001002065,28
490011001002066,28
490011001002067,28
490011001003012,28
490011001003013,28
490011001003014,28
490011001003015,28
490011001003016,28
490011001003017,28
490011001003030,28
490011001003031,28
490011001003032,28
490011001003033,28
490011001003034,28
490011001003035,28
490011001003048,28
490011001003049,28
490011001003050,28
490011001003051,28
490011001003052,28
490011001003053,28
490011001003054,28
490011001003067,28
490011001003068,28
490011001003069,28
490011001003070,28
490011001003071,28
490011001001011,28
490011001001012,28
490011001001042,28
490011001001043,28
490011001001045,28
490011001001046,28
490011001001047,28
490011001001048,28
490011001001049,28
490011001001050,28
490011001001051,28
490011001001052,28
490011001001053,28
490011001001054,28
490011001001055,28
490011001001056,28
490011001001057,28
490011001001058,28
490011001001059,28
490011001001060,28
490011001001061,28
490011001001062,28
490011001001063,28
490011001001064,28
490011001001065,28
490011001001066,28
490011001001067,28
490011001001068,28
490011001001069,28
490011001001070,28
490011001001071,28
490011001001072,28
490011001001075,28
490011001001076,28
490011001001077,28
490011001001083,28
490011001001085,28
490011001001086,28
490011001001087,28
490011001001088,28
490011001001089,28
490011001001090,28
490011001001091,28
490011001001092,28
490011001001093,28
490011001001094,28
490011001001095,28
490011001001096,28
490011001001097,28
490011001001098,28
490011001001099,28
490011001001100,28
490011001001195,28
490011001001196,28
490011001001197,28
490011001001198,28
490011001001199,28
490011001001200,28
490011001001201,28
490011001001202,28
490011001001205,28
490011001001206,28
490011001001207,28
490011001001208,28
490011001001254,28
490011001001285,28
490011001001288,28
490011001002000,28
490011001002002,28
490011001002003,28
490011001002013,28
490011001002022,28
490011001002023,28
490011001001120,28
490011001001121,28
490011001001122,28
490011001001123,28
490011001001124,28
490011001001152,28
490011001001158,28
490011001001159,28
490011001001160,28
490011001001175,28
490011001001176,28
490011001002008,28
490011001002009,28
490011001002019,28
490011001002027,28
490011001002028,28
490011001002071,28
490011001002072,28
490011001002073,28
490011001002074,28
490011001002075,28
490011001002076,28
490011001002077,28
490011001002078,28
490011001002079,28
490011001003000,28
490011001003001,28
490011001003002,28
490011001003003,28
490011001003004,28
490011001003005,28
490011001003006,28
490011001003007,28
490011001003008,28
490011001003009,28
490011001003010,28
490011001003011,28
490011001003018,28
490011001003019,28
490011001003020,28
490011001003021,28
490011001003022,28
490011001003023,28
490011001003024,28
490011001003025,28
490011001003026,28
490011001003027,28
490011001003028,28
490011001003029,28
490011001003036,28
490011001003037,28
490011001003038,28
490011001003039,28
490011001003040,28
490011001003041,28
490011001003042,28
490011001003043,28
490011001003044,28
490011001003045,28
490011001003046,28
490011001003047,28
490011001003055,28
490011001003056,28
490011001003057,28
490011001003058,28
490011001003059,28
490011001003060,28
490011001003061,28
490011001003062,28
490011001003063,28
490011001003064,28
490011001003065,28
490011001003066,28
490011001003072,28
490011001003073,28
490011001003074,28
490011001003075,28
490011001003076,28
490011001001017,28
490011001001018,28
490011001001019,28
490011001001020,28
490011001001021,28
490011001001022,28
490011001001023,28
490011001001024,28
490011001001025,28
490011001001026,28
490011001001027,28
490011001001029,28
490011001001030,28
490011001001031,28
490011001001032,28
490011001001033,28
490011001001034,28
490011001001035,28
490011001001036,28
490011001001037,28
490011001001038,28
490011001001039,28
490011001001040,28
490011001001041,28
490011001001101,28
490011001001102,28
490011001001103,28
490011001001104,28
490011001001105,28
490011001001106,28
490011001001107,28
490011001001108,28
490011001001109,28
490011001001110,28
490011001001111,28
490011001001112,28
490011001001113,28
490011001001116,28
490011001001117,28
490011001001118,28
490011001001119,28
490011001001125,28
490011001001126,28
490011001001127,28
490011001001132,28
490011001001133,28
490011001001134,28
490011001001135,28
490011001001136,28
490011001001137,28
490011001001140,28
490011001001141,28
490011001001142,28
490011001001147,28
490011001001174,28
490011001002006,28
490011001002007,28
490011002001000,28
490011002001672,28
490011001002001,28
490011001002004,28
490011001002005,28
490011001002010,28
490011001002011,28
490011001002012,28
490011001002014,28
490011001002015,28
490011001002016,28
490011001002017,28
490011001002018,28
490011001001139,28
490011001001145,28
490011001001146,28
490011001001148,28
490011001001149,28
490011001001150,28
490011001001151,28
490011001001153,28
490011001001157,28
490011001001161,28
490011001001162,28
490011001001163,28
490011001001164,28
490011001001165,28
490011001001167,28
490011001001000,28
490011001001001,28
490011001001002,28
490011001001003,28
490011001001004,28
490011001001005,28
490011001001006,28
490011001001007,28
490011001001008,28
490011001001009,28
490011001001010,28
490011001001013,28
490011001001014,28
490011001001015,28
490011001001016,28
490011001001044,28
490011001001287,28
490011001001245,28
490011001001246,28
490011001001247,28
490011001001248,28
490011001001249,28
490011001001250,28
490011001001251,28
490011001001252,28
490011001001253,28
490011001001255,28
490011001001257,28
490011001001258,28
490011001001259,28
490011001001260,28
490011001001261,28
490011001001263,28
490011001001264,28
490011001001265,28
490011001001073,28
490011001001074,28
490011001001078,28
490011001001079,28
490011001001080,28
490011001001081,28
490011001001082,28
490011001001226,28
490011001001227,28
490011001001228,28
490011001001229,28
490011001001230,28
490011001001231,28
490011001001232,28
490011001001233,28
490011001001234,28
490011001001235,28
490011001001236,28
490011001001237,28
490011001001238,28
490011001001239,28
490011001001240,28
490011001001241,28
490011001001242,28
490011001001243,28
490011001001244,28
490011001001256,28
490011001001262,28
490011001001266,28
490011001001267,28
490011001001268,28
490011001001275,28
490011001001276,28
490011001001277,28
490011001001278,28
490011001001279,28
490011001001280,28
490011001001281,28
490011001001282,28
490011001001291,28
490011001001084,28
490011001001166,28
490011001001177,28
490011001001178,28
490011001001179,28
490011001001180,28
490011001001181,28
490011001001182,28
490011001001183,28
490011001001184,28
490011001001185,28
490011001001186,28
490011001001187,28
490011001001188,28
490011001001189,28
490011001001190,28
490011001001191,28
490011001001192,28
490011001001193,28
490011001001194,28
490011001001203,28
490011001001204,28
490011001001209,28
490011001001210,28
490011001001211,28
490011001001212,28
490011001001213,28
490011001001214,28
490011001001215,28
490011001001218,28
490011001001219,28
490011001001220,28
490011001001221,28
490011001001222,28
490011001001223,28
490011001001224,28
490011001001225,28
490011001001269,28
490011001001270,28
490011001001271,28
490011001001272,28
490011001001273,28
490011001001274,28
490011001001283,28
490011001001284,28
490011001001286,28
490011001002040,28
490011001002064,28
490011001002068,28
490011001002069,28
490011001002070,28
490011001001114,28
490011001001115,28
490011001001128,28
490011001001129,28
490011001001130,28
490011001001131,28
490011001001173,28
490011002001389,28
490011002001390,28
490011002001391,28
490011002001392,28
490011002001394,28
490011002001396,28
490011002001399,28
490011002001400,28
490011002001401,28
490011002001402,28
490011002001412,28
490011002001416,28
490011001001138,28
490011001001143,28
490011001001144,28
490011001001154,28
490011001001155,28
490011001001156,28
490011001001168,28
490011001001169,28
490011001001170,28
490011001001171,28
490011001001172,28
490011002001403,28
490011002001404,28
490011002001408,28
490011002001409,28
490011002001410,28
490011002001413,28
490011002001414,28
490011002001415,28
490011002001143,28
490011002001144,28
490011002001185,28
490011002001186,28
490011002001255,28
490011002003000,28
490011002003017,28
490011002003018,28
490011002003021,28
490011002003022,28
490011002003023,28
490011002003024,28
490011002003040,28
490011002003041,28
490011002003042,28
490011002003043,28
490011002003044,28
490011002003045,28
490011002003046,28
490011002003047,28
490011002003070,28
490011002003071,28
490011002003072,28
490011002003073,28
490011002003074,28
490011002003092,28
490011002001179,28
490011002001180,28
490011002001181,28
490011002001182,28
490011002001183,28
490011002001184,28
490011002001252,28
490011002001254,28
490011002001256,28
490011002001257,28
490011002001258,28
490011002001259,28
490011002001260,28
490011002001261,28
490011002001262,28
490011002001263,28
490011002001264,28
490011002001265,28
490011002001266,28
490011002001267,28
490011002001268,28
490011002001269,28
490011002001270,28
490011002001271,28
490011002001272,28
490011002001273,28
490011002001274,28
490011002001275,28
490011002001276,28
490011002001277,28
490011002001278,28
490011002001279,28
490011002001280,28
490011002001281,28
490011002001285,28
490011002001289,28
490011001001028,28
490011002001001,28
490011002001002,28
490011002001003,28
490011002001004,28
490011002001005,28
490011002001006,28
490011002001007,28
490011002001008,28
490011002001009,28
490011002001010,28
490011002001011,28
490011002001012,28
490011002001013,28
490011002001014,28
490011002001015,28
490011002001129,28
490011002001130,28
490011002001132,28
490011002001187,28
490011002001188,28
490011002001189,28
490011002001190,28
490011002001191,28
490011002001192,28
490011002001193,28
490011002001194,28
490011002001195,28
490011002001196,28
490011002001197,28
490011002001198,28
490011002001199,28
490011002001200,28
490011002001201,28
490011002001202,28
490011002001203,28
490011002001204,28
490011002001205,28
490011002001206,28
490011002001207,28
490011002001208,28
490011002001209,28
490011002001210,28
490011002001211,28
490011002001212,28
490011002001213,28
490011002001214,28
490011002001215,28
490011002001216,28
490011002001217,28
490011002001218,28
490011002001219,28
490011002001220,28
490011002001221,28
490011002001222,28
490011002001223,28
490011002001224,28
490011002001225,28
490011002001226,28
490011002001227,28
490011002001228,28
490011002001229,28
490011002001230,28
490011002001231,28
490011002001232,28
490011002001233,28
490011002001234,28
490011002001235,28
490011002001236,28
490011002001237,28
490011002001238,28
490011002001239,28
490011002001240,28
490011002001241,28
490011002001242,28
490011002001243,28
490011002001244,28
490011002001245,28
490011002001246,28
490011002001247,28
490011002001248,28
490011002001249,28
490011002001250,28
490011002001251,28
